,Rank,Player (age that year),Fielding % as SS,Year,Throws
119,118.,Dick Schofield (24),.9840,1987,R
120,121.,Mark Belanger (30),.9839,1974,R
121,121.,Cal Ripken Jr.+ (31),.9839,1992,R
122,121.,Marco Scutaro (33),.9839,2009,R
123,124.,David Eckstein (28),.9838,2003,R
124,124.,Adeiny Hechavarria (26),.9838,2015,R
125,124.,Ruben Tejada (24),.9838,2014,R
126,127.,Xander Bogaerts (22),.9837,2015,R
127,127.,Zack Cozart (28),.9837,2014,R
128,129.,Larry Bowa (28),.9836,1974,R
129,129.,Francisco Lindor (23),.9836,2017,R
130,129.,Jimmy Rollins (27),.9836,2006,R
131,129.,Andrelton Simmons (28),.9836,2018,R
132,129.,Troy Tulowitzki (25),.9836,2010,R
133,129.,Jose Vizcaino (27),.9836,1995,R
134,129.,Michael Young (31),.9836,2008,R
135,136.,Orlando Cabrera (32),.9835,2007,R
136,136.,Stephen Drew (27),.9835,2010,R
137,136.,Alex Gonzalez (32),.9835,2009,R
138,139.,Orlando Arcia (25),.9834,2020,R
139,139.,Dick Schofield (25),.9834,1988,R
140,141.,Tony Fernandez (30),.9832,1992,R
141,141.,Rey Ordóñez (26),.9832,1997,R
142,141.,Alan Trammell+ (23),.9832,1981,R
143,144.,Mike Bordick (29),.9831,1995,R
144,144.,Craig Counsell (33),.9831,2004,R
145,144.,Deivi Cruz (25),.9831,1998,R
146,144.,J.J. Hardy (26),.9831,2009,R
147,144.,José Iglesias (28),.9831,2018,R
