,Rank,Player (age that year),Championship WPA (cWPA),Year,Bats
361,362.,Nick Etten (30),9.28,1944,L
362,363.,Babe Herman (27),9.26,1930,L
363,364.,Tommy Davis (24),9.25,1963,R
364,365.,Steve Garvey (25),9.23,1974,R
365,366.,Bobby Thomson (28),9.18,1952,R
366,367.,Roberto Clemente+ (25),9.14,1960,R
367,367.,Reggie Jackson+ (23),9.14,1969,L
368,369.,Reggie Jackson+ (31),9.12,1977,L
369,370.,Joe Adcock (28),9.10,1956,R
370,371.,Mel Ott+ (21),9.07,1930,L
371,372.,Pie Traynor+ (30),9.05,1929,R
372,373.,Babe Ruth+ (39),9.04,1934,L
373,374.,Buddy Myer (29),9.03,1933,L
374,375.,Bill Terry+ (28),9.02,1927,L
375,376.,Edd Roush+ (27),9.00,1920,L
376,377.,Whitey Kurowski (29),8.99,1947,R
377,378.,Harmon Killebrew+ (26),8.97,1962,R
378,379.,Willie Horton (25),8.96,1968,R
379,379.,Jackie Robinson+ (37),8.96,1956,R
380,379.,Duke Snider+ (24),8.96,1951,L
381,382.,Hal Trosky (27),8.95,1940,L
382,383.,Don Mincher (27),8.94,1965,L
383,384.,Kiki Cuyler+ (30),8.93,1929,R
384,384.,Frank Demaree (26),8.93,1936,R
385,384.,Dick Dietz (29),8.93,1971,R
386,387.,Stan Hack (28),8.92,1938,L
387,387.,Harry Hooper+ (28),8.92,1916,L
388,389.,Riggs Stephenson (29),8.91,1927,R
389,390.,Whitey Kurowski (28),8.90,1946,R
390,391.,Bob Allison (32),8.89,1967,R
391,392.,Earle Combs+ (29),8.87,1928,L
392,393.,Mickey Mantle+ (26),8.86,1958,B
393,394.,Babe Ruth+ (34),8.84,1929,L
394,394.,Leon Wagner (28),8.84,1962,L
395,396.,Rogers Hornsby+ (31),8.82,1927,R
396,396.,Charlie Keller (24),8.82,1941,L
397,398.,Augie Galan (34),8.80,1946,B
398,398.,Adrian Gonzalez (25),8.80,2007,L
399,400.,Jimmie Foxx+ (21),8.79,1929,R
400,401.,Nellie Fox+ (29),8.78,1957,L
401,402.,Carl Yastrzemski+ (32),8.77,1972,L
402,403.,Lou Brock+ (25),8.74,1964,L
403,403.,Walt Dropo (27),8.74,1950,R
404,405.,Matt Holliday (27),8.68,2007,R
405,405.,Andy Seminick (29),8.68,1950,R
406,405.,Arky Vaughan+ (21),8.68,1933,L
407,408.,Jim Landis (25),8.67,1959,R
408,408.,Jim Lefebvre (23),8.67,1965,B
409,410.,Joe DiMaggio+ (36),8.64,1951,R
410,411.,Goose Goslin+ (33),8.61,1934,L
411,412.,Tommy Henrich (29),8.60,1942,L
412,413.,Joe DiMaggio+ (23),8.58,1938,R
413,414.,Bobby Doerr+ (30),8.54,1948,R
414,414.,Fred Luderus (30),8.54,1916,L
415,416.,Rico Carty (29),8.50,1969,R
416,416.,Eddie Mathews+ (26),8.50,1958,L
417,416.,Irish Meusel (32),8.50,1925,R
418,416.,Casey Stengel+ (32),8.50,1923,L
419,420.,John Romano (24),8.48,1959,R
420,421.,Joe Torre+ (33),8.46,1974,R
421,422.,Kirk Gibson (31),8.45,1988,L
422,423.,Goody Rosen (32),8.42,1945,L
423,424.,Curt Flood (29),8.36,1967,R
424,425.,Andy High (32),8.34,1930,L
425,426.,Cesar Cedeno (29),8.33,1980,R
426,426.,Terry Moore (29),8.33,1941,R
427,428.,Billy Southworth+ (33),8.31,1926,L
428,428.,Stan Spence (33),8.31,1948,L
429,430.,Cesar Cedeno (21),8.30,1972,R
430,431.,Brooks Robinson+ (29),8.29,1966,R
431,432.,Joe Harris (36),8.28,1927,R
432,432.,Al Simmons+ (27),8.28,1929,R
433,432.,Mickey Stanley (25),8.28,1968,R
434,435.,Pete Ward (26),8.27,1964,L
435,436.,Frankie Frisch+ (33),8.26,1931,B
436,436.,Keith Hernandez (28),8.26,1982,L
437,436.,Tris Speaker+ (33),8.26,1921,L
438,439.,Hack Wilson+ (24),8.25,1924,R
439,440.,Orlando Cepeda+ (26),8.23,1964,R
440,440.,Shoeless Joe Jackson (29),8.23,1917,L
441,442.,Jim Hickman (33),8.22,1970,R
442,442.,Buck Weaver (28),8.22,1919,B
443,444.,Billy Williams+ (32),8.21,1970,L
444,445.,Rod Carew+ (31),8.19,1977,L
445,446.,Carlos Beltran (31),8.18,2008,B
446,447.,Kiki Cuyler+ (25),8.17,1924,R
447,448.,Rickey Henderson+ (29),8.16,1988,R
448,449.,Albert Pujols (26),8.13,2006,R
449,450.,Johnny Mize+ (24),8.12,1937,L
450,450.,Stan Musial+ (29),8.12,1950,L
451,452.,Mickey Cochrane+ (32),8.10,1935,L
452,452.,Woody English (26),8.10,1932,R
453,454.,John Olerud (24),8.09,1993,L
454,455.,Eric Davis (25),8.08,1987,R
455,455.,Jeff Heath (33),8.08,1948,L
456,455.,Willie Mays+ (40),8.08,1971,R
457,455.,Del Pratt (32),8.08,1920,R
458,455.,Ted Simmons+ (24),8.08,1974,B
459,460.,Tom Tresh (24),8.07,1963,B
460,461.,Tony Gwynn+ (24),8.06,1984,L
461,461.,Keith Hernandez (31),8.06,1985,L
462,461.,Tris Speaker+ (28),8.06,1916,L
463,464.,Lou Brock+ (29),8.05,1968,L
464,464.,Eddie Collins+ (30),8.05,1917,L
465,466.,Stan Musial+ (21),8.04,1942,L
466,467.,Steve Balboni (27),8.03,1984,R
