,Rank,Player (age that year),Range Factor/Game as SS,Year,Throws
214,215.,Bob Smith (29),5.663,1924,R
215,215.,Tony Smith (26),5.663,1910,R
216,217.,Bones Ely (35),5.662,1898,R
217,217.,Bones Ely (36),5.662,1899,R
218,219.,Joe Tinker+ (23),5.657,1904,R
219,220.,Herman Long (25),5.655,1891,R
220,221.,Dave Brain (24),5.653,1903,R
221,221.,Donie Bush (22),5.653,1910,R
222,223.,Honus Wagner+ (40),5.652,1914,R
223,224.,John Peters (27),5.650,1877,R
224,224.,Heinie Wagner (28),5.650,1909,R
225,226.,Bobby Wallace+ (30),5.648,1904,R
226,227.,Doc Lavan (28),5.647,1919,R
227,228.,Freddy Parent (26),5.645,1902,R
228,229.,Charlie Hollocher (25),5.642,1921,R
229,229.,Tommy Thevenow (27),5.642,1931,R
230,229.,Buck Weaver (23),5.642,1914,R
231,232.,Joe Sewell+ (25),5.641,1924,R
232,233.,Art Fletcher (31),5.639,1916,R
233,234.,Tommy Corcoran (30),5.637,1899,R
234,235.,Herman Long (29),5.634,1895,R
235,236.,Dave Bancroft+ (33),5.633,1924,R
236,237.,Herman Long (26),5.631,1892,R
237,237.,Joe Tinker+ (27),5.631,1908,R
238,239.,Tommy Corcoran (31),5.629,1900,R
239,240.,Bobby Wallace+ (37),5.621,1911,R
240,241.,Hod Ford (31),5.620,1929,R
241,241.,Travis Jackson+ (22),5.620,1926,R
242,241.,Herman Long (32),5.620,1898,R
243,244.,Ed Abbaticchio (28),5.618,1905,R
244,245.,Dick Bartell (23),5.617,1931,R
245,245.,Ray Chapman (27),5.617,1918,R
246,247.,Luke Appling+ (26),5.616,1933,R
247,248.,Mark Koenig (22),5.615,1927,R
248,248.,Honus Wagner+ (38),5.615,1912,R
249,250.,Jack Glasscock (32),5.613,1890,R
250,251.,Skeeter Newsome (25),5.610,1936,R
251,252.,Mickey Witek (24),5.607,1940,R
252,253.,Shorty Fuller (26),5.604,1894,R
253,253.,Buddy Kerr (21),5.604,1944,R
254,255.,Bill Dahlen (33),5.601,1903,R
255,256.,Bones Ely (39),5.600,1902,R
256,256.,George McBride (25),5.600,1906,R
257,258.,Dave Bancroft+ (37),5.597,1928,R
258,258.,Jack Glasscock (35),5.597,1893,R
259,260.,Luis Aparicio+ (26),5.595,1960,R
260,261.,Herman Long (35),5.594,1901,R
261,262.,Ike Caveney (27),5.593,1922,R
262,263.,Heinie Wagner (32),5.592,1913,R
263,263.,Robin Yount+ (22),5.592,1978,R
264,265.,Don Zimmer (27),5.588,1958,R
265,266.,Bill Dahlen (34),5.586,1904,R
266,267.,Rabbit Maranville+ (29),5.582,1921,R
267,268.,Bobby Wallace+ (32),5.580,1906,R
268,269.,Rocky Bridges (29),5.578,1957,R
269,270.,Germany Smith (36),5.575,1895,R
270,271.,Tommy Corcoran (25),5.574,1894,R
271,272.,Donie Bush (21),5.573,1909,R
272,273.,George McBride (31),5.572,1912,R
273,274.,Barry McCormick (25),5.571,1900,R
274,275.,Art Fletcher (32),5.570,1917,R
275,276.,Dick Bartell (27),5.569,1935,R
276,276.,Lonny Frey (23),5.569,1934,R
277,276.,Shorty Fuller (25),5.569,1893,R
278,276.,Eddie Lake (29),5.569,1945,R
279,280.,Ernie Johnson (33),5.567,1921,R
280,281.,Bones Ely (32),5.559,1895,R
281,282.,Joe Cassidy (21),5.556,1904,R
282,282.,Bobby Wallace+ (29),5.556,1903,R
283,284.,Joe Hoover (29),5.555,1944,R
284,285.,Howard Freigau (20),5.552,1923,R
285,286.,George Davis+ (31),5.550,1902,R
286,287.,Freddy Parent (32),5.542,1908,R
287,288.,Ed Brinkman (28),5.541,1970,R
288,288.,Mickey Doolin (33),5.541,1913,R
289,288.,Harry Lochhead (23),5.541,1899,R
290,291.,Charlie Hollocher (23),5.539,1919,R
291,291.,Rabbit Maranville+ (21),5.539,1913,R
292,291.,Marty Marion (30),5.539,1947,R
293,294.,Bill Dahlen (35),5.537,1905,R
294,295.,Monte Cross (26),5.536,1896,R
295,296.,Donie Bush (25),5.533,1913,R
296,296.,Roy McMillan (26),5.533,1956,R
297,296.,Charley O'Leary (28),5.533,1904,R
298,296.,Danny Richardson (31),5.533,1894,R
299,296.,Roxey Roach (32),5.533,1915,R
300,301.,Ray Chapman (29),5.532,1920,R
301,302.,Arky Vaughan+ (26),5.531,1938,R
302,303.,Woody English (25),5.529,1931,R
303,304.,Joe Tinker+ (28),5.525,1909,R
304,305.,Rick Burleson (30),5.523,1981,R
305,305.,Joe Tinker+ (22),5.523,1903,R
