,Rank,Player (age that year),Putouts as P,Year,Throws
164,156.,Erik Hanson (25),30,1990,R
165,156.,Guy Hecker (29),30,1885,R
166,156.,Charlie Hough (39),30,1987,R
167,156.,Larry Jansen (29),30,1950,R
168,156.,Walter Johnson+ (26),30,1914,R
169,156.,Tim Keefe+ (28),30,1885,R
170,156.,Jon Lieber (30),30,2000,R
171,156.,Greg Maddux+ (26),30,1992,R
172,156.,Joe Musgrove (26),30,2019,R
173,156.,Kid Nichols+ (21),30,1891,R
174,156.,Phil Niekro+ (34),30,1973,R
175,156.,Jim Palmer+ (29),30,1975,R
176,156.,Tom Parrott (27),30,1895,R
177,156.,Gaylord Perry+ (31),30,1970,R
178,156.,Dan Petry (24),30,1983,R
179,156.,Bob Purkey (30),30,1960,R
180,156.,Steve Rogers (24),30,1974,R
181,156.,James Shields (25),30,2007,R
182,156.,Jack Stivetts (28),30,1896,R
183,156.,Mel Stottlemyre (23),30,1965,R
184,156.,Todd Stottlemyre (26),30,1991,R
185,156.,Walt Terrell (28),30,1986,R
186,156.,George Uhle (27),30,1926,R
187,156.,Tim Wakefield (38),30,2005,R
188,156.,Ed Walsh+ (25),30,1906,R
189,156.,Doc White (31),30,1910,L
190,191.,Bronson Arroyo (29),29,2006,R
191,191.,Mike Boddicker (32),29,1990,R
192,191.,Tommy Bond (21),29,1877,R
193,191.,Kevin Brown (28),29,1993,R
194,191.,Kevin Brown (31),29,1996,R
195,191.,Clay Buchholz (27),29,2012,R
196,191.,Jim Bunning+ (33),29,1965,R
197,191.,Bob Caruthers (25),29,1889,R
198,191.,Larry Corcoran (21),29,1881,R
199,191.,Bert Cunningham (32),29,1898,R
200,191.,Murry Dickson (35),29,1952,R
201,191.,Doug Drabek (25),29,1988,R
202,191.,Doug Drabek (29),29,1992,R
203,191.,Freddy Garcia (24),29,2001,R
204,191.,Pretzels Getzien (24),29,1888,R
205,191.,Mark Gubicza (25),29,1988,R
206,191.,Bill Hart (30),29,1896,R
207,191.,Pink Hawley (21),29,1894,R
208,191.,Felix Hernandez (23),29,2009,R
209,191.,Joe Horlen (29),29,1967,R
210,191.,Jay Hughes (24),29,1898,R
211,191.,Larry Jansen (30),29,1951,R
212,191.,Pat Jarvis (29),29,1970,R
213,191.,Fergie Jenkins+ (35),29,1978,R
214,191.,Ed Karger (24),29,1907,L
215,191.,Tim Keefe+ (29),29,1886,R
216,191.,Tim Keefe+ (31),29,1888,R
217,191.,Vern Law (35),29,1965,R
218,191.,Greg Maddux+ (33),29,1999,R
219,191.,Juan Marichal+ (26),29,1964,R
220,191.,Jack Morris+ (28),29,1983,R
221,191.,Jack Morris+ (29),29,1984,R
222,191.,Carl Morton (26),29,1970,R
223,191.,Carl Morton (31),29,1975,R
224,191.,Tony Mullane (28),29,1887,R
225,191.,Charles Nagy (29),29,1996,R
226,191.,Kid Nichols+ (27),29,1897,R
227,191.,Bob Purkey (31),29,1961,R
228,191.,Brad Radke (27),29,2000,R
229,191.,J.R. Richard (28),29,1978,R
230,191.,Bobby Shantz (26),29,1952,L
231,191.,John Smoltz+ (26),29,1993,R
232,191.,John Smoltz+ (30),29,1997,R
233,191.,Billy Taylor (29),29,1884,R
234,191.,Josh Towers (28),29,2005,R
235,191.,Fernando Valenzuela (25),29,1986,L
236,191.,Bill Wegman (24),29,1987,R
237,191.,Mickey Welch+ (23),29,1883,R
238,191.,Jake Westbrook (33),29,2011,R
239,191.,Doc White (25),29,1904,L
240,241.,Doyle Alexander (34),28,1985,R
241,241.,Jim Barr (27),28,1975,R
242,241.,Mike Boddicker (28),28,1986,R
243,241.,Tom Brewer (24),28,1956,R
244,241.,Tom Candiotti (31),28,1989,R
245,241.,Chris Carpenter (36),28,2011,R
246,241.,Bill Donovan (27),28,1904,R
247,241.,Patsy Flaherty (28),28,1904,L
248,241.,Chick Fraser (30),28,1904,R
249,241.,Ned Garver (24),28,1950,R
250,241.,Zack Greinke (30),28,2014,R
251,241.,Mark Gubicza (32),28,1995,R
252,241.,Hardie Henderson (22),28,1885,R
253,241.,Orel Hershiser (33),28,1992,R
254,241.,Dave Hillman (31),28,1959,R
255,241.,Fergie Jenkins+ (29),28,1972,R
256,241.,Darryl Kile (28),28,1997,R
257,241.,Rick Langford (28),28,1980,R
258,241.,Vern Law (30),28,1960,R
259,241.,Greg Maddux+ (22),28,1988,R
260,241.,Juan Marichal+ (33),28,1971,R
261,241.,Ramon Martinez (25),28,1993,R
262,241.,Joe McGinnity+ (33),28,1904,R
263,241.,Jock Menefee (26),28,1894,R
264,241.,Mike Moore (31),28,1991,R
265,241.,Carl Morton (27),28,1971,R
266,241.,George Mullin (23),28,1904,R
