,Rank,Player (age that year),Stolen Bases Allowed as C,Year,Throws
435,429.,Russell Martin (28),95,2011,R
436,429.,Larry McLean (28),95,1910,R
437,429.,Larry McLean (31),95,1913,R
438,429.,Doggie Miller (27),95,1892,R
439,429.,Greg Olson (30),95,1991,R
440,429.,Tony Pena (27),95,1984,R
441,429.,Ossee Schrecongost (32),95,1907,R
442,429.,Gabby Street (27),95,1910,R
443,429.,Jim Sundberg (25),95,1976,R
444,445.,Tim Blackwell (27),94,1980,R
445,445.,Roger Bresnahan+ (35),94,1914,R
446,445.,Gary Carter+ (26),94,1980,R
447,445.,Ted Easterly (27),94,1912,R
448,445.,Joe Ferguson (30),94,1977,R
449,445.,Grover Hartley (27),94,1916,R
450,445.,Johnny Kling (36),94,1912,R
451,445.,Wickey McAvoy (23),94,1918,R
452,445.,Chief Meyers (31),94,1912,R
453,445.,Steve O'Neill (22),94,1914,R
454,445.,A.J. Pierzynski (34),94,2011,R
455,445.,Jorge Posada (30),94,2001,R
456,445.,Wilson Ramos (31),94,2019,R
457,445.,Frank Roth (25),94,1904,R
458,445.,Mike Scioscia (28),94,1987,R
459,445.,Oscar Stanage (27),94,1910,R
460,445.,Mike Stanley (33),94,1996,R
461,445.,Jim Stephens (27),94,1911,R
462,445.,Billy Sullivan (31),94,1906,R
463,464.,Nick Allen (26),93,1915,R
464,464.,Rod Barajas (36),93,2012,R
465,464.,Roger Bresnahan+ (31),93,1910,R
466,464.,Con Daily (26),93,1891,R
467,464.,Joe Gunson (30),93,1893,R
468,464.,Fran Healy (27),93,1974,R
469,464.,Paul Lo Duca (30),93,2002,R
470,464.,Paul Lo Duca (32),93,2004,R
471,464.,Brian McCann (24),93,2008,R
472,464.,Darrell Porter (30),93,1982,R
473,464.,Darrell Porter (32),93,1984,R
474,464.,Benito Santiago (26),93,1991,R
475,464.,Farmer Vaughn (28),93,1892,R
476,464.,Todd Zeile (24),93,1990,R
477,464.,Chief Zimmer (39),93,1900,R
478,479.,Alan Ashby (34),92,1986,R
479,479.,Bruce Benedict (26),92,1982,R
480,479.,Marty Bergen (25),92,1897,R
481,479.,Drummond Brown (30),92,1915,R
482,479.,Bill Carrigan (29),92,1913,R
483,479.,Dick Dietz (28),92,1970,R
484,479.,Lew Drill (27),92,1904,R
485,479.,Tex Erwin (24),92,1910,R
486,479.,King Kelly+ (34),92,1892,R
487,479.,Johnny Kling (31),92,1907,R
488,479.,Jack Lapp (27),92,1912,R
489,479.,Jack Lapp (28),92,1913,R
490,479.,Deacon McGuire (39),92,1903,R
491,479.,Steve O'Neill (25),92,1917,R
492,479.,Admiral Schlei (31),92,1909,R
493,479.,Scott Servais (30),92,1997,R
494,479.,Farmer Vaughn (30),92,1894,R
495,496.,Alan Ashby (28),91,1980,R
496,496.,Sam Brown (30),91,1907,R
497,496.,Lou Criger (33),91,1905,R
498,496.,Ted Easterly (30),91,1915,R
499,496.,Bill Killefer (31),91,1919,R
