,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
272,269.,Paul O'Neill (36),291,1999,L
273,269.,Ruben Sierra (27),291,1993,R
274,269.,Curt Walker (25),291,1922,R
275,269.,Curt Walker (31),291,1928,R
276,269.,Billy Williams+ (28),291,1966,R
277,278.,Jeff Burroughs (25),290,1976,R
278,278.,Tony Gwynn+ (31),290,1991,L
279,278.,Jackie Jensen (32),290,1959,R
280,278.,Gene Moore (27),290,1937,L
281,278.,Tony Oliva (25),290,1964,R
282,278.,Wally Post (26),290,1956,R
283,278.,Rusty Staub (27),290,1971,R
284,285.,Nori Aoki (31),289,2013,R
285,285.,Matt Lawton (29),289,2001,R
286,285.,Harry Rice (31),289,1933,R
287,285.,Leon Roberts (27),289,1978,R
288,289.,Ivan Calderon (25),288,1987,R
289,289.,Dwight Evans (22),288,1974,R
290,289.,Jackie Jensen (29),288,1956,R
291,289.,Brian Jordan (33),288,2000,R
292,289.,Willie Kirkland (27),288,1961,R
293,289.,Bing Miller (34),288,1929,R
294,289.,Bill Nicholson (29),288,1944,R
295,289.,Reggie Sanders (34),288,2002,R
296,289.,Ellis Valentine (23),288,1978,R
297,298.,Casey Blake (31),287,2005,R
298,298.,Nicholas Castellanos (26),287,2018,R
299,298.,Al Cowens (27),287,1979,R
300,298.,Robert Fick (28),287,2002,R
301,298.,Dale Murphy (35),287,1991,R
302,298.,Tony Oliva (28),287,1967,R
303,298.,Jayson Werth (32),287,2011,R
304,298.,Ross Youngs+ (23),287,1920,R
305,306.,Tom Brunansky (28),286,1989,R
306,306.,Johnny Callison (28),286,1967,R
307,306.,Nelson Cruz (31),286,2012,R
308,306.,Rob Deer (32),286,1993,R
309,306.,Carl Furillo (27),286,1949,R
310,306.,Babe Herman (28),286,1931,L
311,306.,Nick Markakis (33),286,2017,L
312,306.,Chief Wilson (30),286,1914,R
313,314.,Rob Deer (25),285,1986,R
314,314.,Reggie Jackson+ (25),285,1971,L
315,314.,Mark McLemore (28),285,1993,R
316,314.,Bill Nicholson (28),285,1943,R
317,314.,Magglio Ordonez (27),285,2001,R
318,314.,Ken Singleton (28),285,1975,R
319,314.,Enos Slaughter+ (23),285,1939,R
320,314.,Jimmy Welsh (23),285,1926,R
321,322.,Kevin Bass (28),284,1987,R
322,322.,Tom Brunansky (22),284,1983,R
323,322.,Tom Brunansky (27),284,1988,R
324,322.,J.D. Drew (30),284,2006,R
325,322.,Jermaine Dye (33),284,2007,R
326,322.,Jay Gibbons (26),284,2003,L
327,322.,Bryce Harper (26),284,2019,R
328,322.,Harry Hooper+ (34),284,1922,R
329,322.,Sixto Lezcano (25),284,1979,R
330,322.,Bobby Murcer (30),284,1976,R
331,322.,Hunter Pence (28),284,2011,R
332,322.,Ruben Sierra (26),284,1992,R
333,334.,Derek Bell (27),283,1996,R
334,334.,Bobby Bonds (28),283,1974,R
335,334.,Jack Clark (26),283,1982,R
336,334.,Del Ennis (23),283,1948,R
337,334.,Shawn Green (27),283,2000,L
338,334.,Frank Robinson+ (29),283,1965,R
339,334.,Jack Rothrock (29),283,1934,R
340,334.,Gary Sheffield (34),283,2003,R
341,334.,Sammy Sosa (33),283,2002,R
342,334.,Billy Southworth+ (28),283,1921,R
343,334.,Vic Wertz (25),283,1950,R
344,345.,Jeff Francoeur (24),282,2008,R
345,345.,Mitch Haniger (27),282,2018,R
346,345.,Bake McBride (31),282,1980,R
347,345.,Magglio Ordonez (28),282,2002,R
348,345.,Ruben Sierra (24),282,1990,R
349,350.,Derek Bell (29),281,1998,R
350,350.,Nicholas Castellanos (27),281,2019,R
351,350.,Dwight Evans (23),281,1975,R
352,350.,Jackie Jensen (31),281,1958,R
353,350.,Magglio Ordonez (26),281,2000,R
354,350.,Dave Parker (32),281,1983,R
355,350.,Charlie Spikes (23),281,1974,R
356,357.,Harold Baines+ (24),280,1983,L
357,357.,Dante Bichette (29),280,1993,R
358,357.,Jermaine Dye (26),280,2000,R
359,357.,Brad Hawpe (27),280,2006,L
360,357.,Harry Heilmann+ (35),280,1930,R
361,357.,Al Kaline+ (19),280,1954,R
362,357.,Sixto Lezcano (28),280,1982,R
363,357.,Sam Rice+ (29),280,1919,R
364,357.,Ken Singleton (26),280,1973,R
365,357.,Giancarlo Stanton (21),280,2011,R
366,367.,Bobby Bonds (31),279,1977,R
367,367.,Shin-Soo Choo (26),279,2009,L
368,367.,Roberto Clemente+ (30),279,1965,R
369,367.,Andre Ethier (27),279,2009,L
370,367.,Dwight Evans (34),279,1986,R
371,367.,Curtis Granderson (34),279,2015,R
372,367.,Willard Marshall (28),279,1949,R
373,374.,Bob Allison (27),278,1962,R
374,374.,Jason Heyward (25),278,2015,L
375,374.,Brian Jordan (29),278,1996,R
376,374.,Al Kaline+ (29),278,1964,R
377,374.,Ken Singleton (30),278,1977,R
378,374.,Reggie Smith (29),278,1974,R
379,380.,Rocky Colavito (30),277,1964,R
380,380.,Al Cowens (30),277,1982,R
381,380.,J.D. Drew (28),277,2004,R
382,380.,Richard Hidalgo (28),277,2003,R
383,380.,Tommy Holmes (29),277,1946,L
384,380.,Dave Parker (35),277,1986,R
385,380.,Enos Slaughter+ (30),277,1946,R
386,380.,Dave Winfield+ (36),277,1988,R
