,Rank,Player (age that year),Win Probability Added (WPA),Year,Throws
242,240.,John Smoltz+ (37),5.08,2004,R
243,244.,Kevin Brown (33),5.07,1998,R
244,244.,Roberto Hernandez (31),5.07,1996,R
245,244.,Tom Seaver+ (23),5.07,1968,R
246,247.,Eddie Fisher (28),5.05,1965,R
247,247.,Ted Lyons+ (26),5.05,1927,R
248,247.,Mariano Rivera+ (34),5.05,2004,R
249,247.,Blake Snell (25),5.05,2018,L
250,251.,Jon Lester (32),5.04,2016,L
251,251.,Tim Lincecum (24),5.04,2008,R
252,251.,Urban Shocker (31),5.04,1922,R
253,251.,John Smoltz+ (35),5.04,2002,R
254,255.,Tiny Bonham (28),5.02,1942,R
255,255.,Eppa Rixey+ (31),5.02,1922,L
256,257.,Tim Burke (28),5.01,1987,R
257,257.,Bret Saberhagen (21),5.01,1985,R
258,257.,Max Scherzer (33),5.01,2018,R
259,260.,Mort Cooper (30),4.99,1943,R
260,260.,Don Drysdale+ (23),4.99,1960,R
261,260.,Whitey Ford+ (35),4.99,1964,L
262,260.,Rich Gossage+ (30),4.99,1982,R
263,260.,Burleigh Grimes+ (27),4.99,1921,R
264,260.,Howie Pollet (28),4.99,1949,L
265,260.,Bob Shawkey (28),4.99,1919,R
266,267.,Wilbur Wood (29),4.98,1971,L
267,268.,Mark Eichhorn (25),4.97,1986,R
268,268.,Justin Verlander (28),4.97,2011,R
269,270.,Rich Gossage+ (28),4.96,1980,R
270,270.,Bill Lee (26),4.96,1973,L
271,270.,Pedro Martinez+ (26),4.96,1998,R
272,270.,Johnny Sain (30),4.96,1948,R
273,270.,Bob Shawkey (29),4.96,1920,R
274,275.,Clayton Kershaw (25),4.95,2013,L
275,275.,Jonathan Papelbon (28),4.95,2009,R
276,275.,Curt Schilling (30),4.95,1997,R
277,278.,Bill Campbell (28),4.94,1977,R
278,278.,Wes Ferrell (24),4.94,1932,R
279,278.,Charles Nagy (29),4.94,1996,R
280,281.,Early Wynn+ (34),4.92,1954,R
281,282.,Lew Burdette (26),4.89,1953,R
282,282.,Whitey Ford+ (27),4.89,1956,L
283,282.,Vic Raschi (31),4.89,1950,R
284,285.,Heath Bell (32),4.88,2010,R
285,285.,Red Ruffing+ (31),4.88,1936,R
286,287.,Derek Lowe (27),4.87,2000,R
287,287.,Pat Malone (27),4.87,1930,R
288,287.,Jason Schmidt (30),4.87,2003,R
289,290.,Johnny Cueto (30),4.86,2016,R
290,290.,Doug Jones (31),4.86,1988,R
291,290.,Stu Miller (38),4.86,1966,R
292,293.,Alex Fernandez (26),4.85,1996,R
293,293.,Felix Hernandez (24),4.85,2010,R
294,293.,Jose Rijo (28),4.85,1993,R
295,293.,Bob Shawkey (25),4.85,1916,R
296,293.,Whit Wyatt (33),4.85,1941,R
297,298.,Lefty Grove+ (26),4.84,1926,L
298,298.,Jeremy Jeffress (30),4.84,2018,R
299,298.,Bobo Newsom (32),4.84,1940,R
300,298.,Herb Pennock+ (34),4.84,1928,L
301,298.,Bill Sherdel (31),4.84,1928,L
302,303.,Dizzy Dean+ (26),4.83,1936,R
303,303.,Corey Kluber (31),4.83,2017,R
304,303.,Art Nehf (35),4.83,1928,L
305,303.,Steve Rogers (32),4.83,1982,R
306,303.,Don Sutton+ (28),4.83,1973,R
307,308.,Clayton Kershaw (28),4.82,2016,L
308,309.,Pat Hentgen (27),4.81,1996,R
309,309.,Tom Seaver+ (32),4.81,1977,R
310,311.,Babe Adams (37),4.80,1919,R
311,311.,Bob Feller+ (28),4.80,1947,R
312,311.,Frank Viola (27),4.80,1987,L
313,314.,Frank Tanana (21),4.79,1975,L
314,315.,Bob Lee (27),4.78,1965,R
315,315.,Bob Lemon+ (31),4.78,1952,R
316,315.,Red Lucas (25),4.78,1927,R
317,318.,Eddie Cicotte (35),4.77,1919,R
318,318.,Edwin Diaz (24),4.77,2018,R
319,320.,Kevin Appier (24),4.76,1992,R
320,320.,Mike Hampton (26),4.76,1999,L
321,320.,Jay Howell (33),4.76,1989,R
322,323.,Tommy Bridges (29),4.75,1936,R
323,323.,Clay Carroll (31),4.75,1972,R
324,323.,Tim Lincecum (25),4.75,2009,R
325,323.,Don Sutton+ (27),4.75,1972,R
326,327.,Dennis Eckersley+ (24),4.74,1979,R
327,327.,Ken Heintzelman (33),4.74,1949,L
328,329.,Greg Holland (27),4.73,2013,R
329,329.,Eppa Rixey+ (32),4.73,1923,L
330,329.,B.J. Ryan (30),4.73,2006,L
331,329.,CC Sabathia (27),4.73,2008,L
332,333.,Gerrit Cole (28),4.71,2019,R
333,333.,Wilbur Cooper (28),4.71,1920,L
334,335.,Jim Kern (30),4.70,1979,R
335,336.,Hank Aguirre (31),4.69,1962,L
336,336.,Fritz Dorish (30),4.69,1952,R
337,336.,Jonny Venters (26),4.69,2011,L
338,339.,John Candelaria (23),4.68,1977,L
339,339.,Roger Clemens (29),4.68,1992,R
340,339.,Mel Harder (25),4.68,1935,R
341,339.,Ted Lyons+ (29),4.68,1930,R
342,339.,Jim Palmer+ (30),4.68,1976,R
343,339.,Eddie Rommel (30),4.68,1928,R
344,345.,Tommy John (36),4.67,1979,L
345,345.,Robin Roberts+ (25),4.67,1952,R
346,347.,Ted Abernathy (34),4.66,1967,R
347,348.,Carl Hubbell+ (32),4.65,1935,L
348,349.,Gary Peters (26),4.64,1963,L
349,349.,Ken Tatum (25),4.64,1969,R
350,351.,Roy Halladay+ (28),4.63,2005,R
351,351.,Dan Quisenberry (31),4.63,1984,R
352,351.,Mariano Rivera+ (28),4.63,1998,R
353,351.,Bucky Walters (31),4.63,1940,R
354,355.,Bob Feller+ (20),4.62,1939,R
355,355.,Billy Koch (27),4.62,2002,R
356,355.,Mike Mussina+ (23),4.62,1992,R
357,355.,Ray Narleski (28),4.62,1957,R
358,359.,Gaylord Perry+ (25),4.61,1964,R
359,359.,Curt Schilling (37),4.61,2004,R
360,361.,Al Hrabosky (25),4.60,1975,L
361,362.,Jim Bouton (24),4.59,1963,R
362,362.,Joe Coleman (24),4.59,1971,R
363,362.,Dennis Eckersley+ (37),4.59,1992,R
364,362.,Juan Guzman (25),4.59,1992,R
365,362.,Jim Maloney (25),4.59,1965,R
366,367.,Gene Bearden (27),4.58,1948,L
367,367.,Chris Carpenter (30),4.58,2005,R
368,367.,Keith Foulke (30),4.58,2003,R
369,367.,Max Scherzer (32),4.58,2017,R
370,371.,Al Benton (38),4.57,1949,R
371,371.,Socks Seibold (34),4.57,1930,R
372,373.,Lerrin LaGrow (28),4.56,1977,R
373,374.,Paul Derringer (33),4.55,1940,R
374,374.,Bob Gibson+ (34),4.55,1970,R
375,374.,Joe Horlen (29),4.55,1967,R
376,374.,Bill Lee (26),4.55,1936,R
377,374.,Joakim Soria (26),4.55,2010,R
378,379.,Armando Benitez (29),4.53,2002,R
379,379.,Ted Lyons+ (34),4.53,1935,R
380,379.,Jack Scott (33),4.53,1925,R
381,382.,Larry French (27),4.52,1935,L
382,382.,Bob Gibson+ (30),4.52,1966,R
383,382.,Danny Graves (26),4.52,2000,R
384,385.,Wes Ferrell (28),4.51,1936,R
385,385.,Tom Gordon (36),4.51,2004,R
386,385.,Hyun Jin Ryu (32),4.51,2019,L
387,385.,Curt Schilling (35),4.51,2002,R
388,389.,Jacob deGrom (31),4.50,2019,R
389,389.,Teddy Higuera (28),4.50,1986,L
390,389.,Catfish Hunter+ (29),4.50,1975,R
391,389.,Mariano Rivera+ (38),4.50,2008,R
392,393.,Dutch Leonard (30),4.49,1939,R
393,394.,Bert Blyleven+ (38),4.48,1989,R
394,394.,Harry Brecheen (30),4.48,1945,L
395,394.,Mel Harder (23),4.48,1933,R
396,394.,Jeff Pfeffer (28),4.48,1916,R
397,394.,Jeff Shaw (30),4.48,1997,R
398,399.,Dizzy Dean+ (25),4.47,1935,R
399,399.,Brendan Donnelly (31),4.47,2003,R
400,399.,Mark Prior (22),4.47,2003,R
401,402.,Guy Bush (27),4.46,1929,R
402,402.,Craig Kimbrel (29),4.46,2017,R
403,402.,Mike Mussina+ (26),4.46,1995,R
404,402.,Gary Nolan (19),4.46,1967,R
405,406.,Jim Bagby (30),4.45,1920,R
406,406.,John Montefusco (25),4.45,1975,R
407,406.,Mike Mussina+ (25),4.45,1994,R
408,406.,Roger Nelson (28),4.45,1972,R
409,410.,Bump Hadley (25),4.44,1930,R
410,410.,Red Ruffing+ (33),4.44,1938,R
411,410.,Warren Spahn+ (30),4.44,1951,L
412,413.,Don Drysdale+ (27),4.43,1964,R
413,413.,Roy Halladay+ (31),4.43,2008,R
414,413.,Fergie Jenkins+ (26),4.43,1969,R
415,413.,John Smoltz+ (29),4.43,1996,R
416,417.,Johnny Allen (32),4.42,1937,R
417,417.,Kevin Appier (28),4.42,1996,R
418,417.,Dellin Betances (26),4.42,2014,R
419,417.,Roger Clemens (35),4.42,1998,R
420,417.,Francisco Cordero (29),4.42,2004,R
421,417.,Firpo Marberry (30),4.42,1929,R
422,417.,J.C. Romero (26),4.42,2002,L
423,424.,Kevin Millwood (24),4.41,1999,R
424,424.,Billy Pierce (24),4.41,1951,L
425,424.,Dave Stewart (33),4.41,1990,R
426,424.,Monty Stratton (25),4.41,1937,R
427,424.,Bruce Sutter+ (31),4.41,1984,R
428,429.,Armando Benitez (31),4.40,2004,R
429,429.,Chuck Finley (27),4.40,1990,L
430,429.,Mike Flanagan (27),4.40,1979,L
431,429.,Troy Percival (32),4.40,2002,R
432,429.,Lon Warneke (25),4.40,1934,R
433,434.,Sparky Lyle (27),4.39,1972,L
434,434.,Dan Quisenberry (30),4.39,1983,R
435,436.,Mike Garcia (25),4.38,1949,R
436,436.,Roy Halladay+ (26),4.38,2003,R
437,436.,Robin Roberts+ (24),4.38,1951,R
438,436.,Johan Santana (26),4.38,2005,L
439,436.,Tony Watson (30),4.38,2015,L
440,441.,Steve Carlton+ (24),4.37,1969,L
441,441.,Wilbur Cooper (25),4.37,1917,L
442,441.,Felix Hernandez (26),4.37,2012,R
443,441.,Greg Maddux+ (34),4.37,2000,R
444,445.,Mark Fidrych (21),4.36,1976,R
445,445.,Tim Hudson (27),4.36,2003,R
446,445.,Craig Kimbrel (24),4.36,2012,R
447,445.,Ted Wilks (28),4.36,1944,R
448,449.,Waite Hoyt+ (28),4.35,1928,R
449,449.,Don Stanhouse (28),4.35,1979,R
450,449.,Justin Verlander (26),4.35,2009,R
451,452.,Bullet Joe Bush (29),4.34,1922,R
452,452.,Al Leiter (32),4.34,1998,L
453,452.,Adam Wainwright (32),4.34,2014,R
454,455.,Pete Alexander+ (30),4.33,1917,R
455,455.,Steve Carlton+ (37),4.33,1982,L
456,455.,Wade Davis (29),4.33,2015,R
457,455.,Walter Johnson+ (36),4.33,1924,R
458,455.,Johnny Podres (24),4.33,1957,L
459,455.,Bob Shawkey (31),4.33,1922,R
460,455.,Don Sutton+ (35),4.33,1980,R
461,462.,Roger Clemens (25),4.32,1988,R
462,462.,Mike Cuellar (32),4.32,1969,L
463,462.,Doug Jones (35),4.32,1992,R
464,465.,Roberto Hernandez (26),4.31,2007,R
465,465.,Tex Hughson (26),4.31,1942,R
466,465.,Eddie Lopat (33),4.31,1951,L
467,468.,Ron Guidry (28),4.30,1979,L
468,468.,Roberto Hernandez (34),4.30,1999,R
469,468.,Teddy Higuera (29),4.30,1987,L
470,468.,Tex Hughson (30),4.30,1946,R
471,468.,Corey Knebel (25),4.30,2017,R
472,468.,Ted Lyons+ (25),4.30,1926,R
473,468.,Troy Percival (31),4.30,2001,R
474,468.,Ron Perranoski (27),4.30,1963,L
475,476.,Whitey Ford+ (26),4.29,1955,L
476,476.,Bob Gibson+ (26),4.29,1962,R
477,476.,Ian Kennedy (26),4.29,2011,R
478,476.,Takashi Saito (37),4.29,2007,R
479,476.,Fernando Valenzuela (20),4.29,1981,L
480,476.,Lon Warneke (24),4.29,1933,R
481,482.,Roy Halladay+ (34),4.28,2011,R
482,482.,Clayton Kershaw (29),4.28,2017,L
483,482.,Randy Myers (25),4.28,1988,L
484,482.,Jake Peavy (26),4.28,2007,R
485,482.,Hoyt Wilhelm+ (36),4.28,1959,R
486,487.,Jimmy Key (24),4.27,1985,L
487,487.,Juan Marichal+ (26),4.27,1964,R
488,489.,Pete Alexander+ (40),4.26,1927,R
489,489.,Frank Baumann (26),4.26,1960,L
490,489.,Harry Brecheen (31),4.26,1946,L
491,489.,Joe Nathan (38),4.26,2013,R
492,489.,Jason Schmidt (31),4.26,2004,R
493,489.,Bill Swift (31),4.26,1993,R
494,495.,Dwight Gooden (19),4.25,1984,R
495,495.,Kyle Hendricks (26),4.25,2016,R
496,495.,Mike Mussina+ (32),4.25,2001,R
497,495.,Dick Selma (26),4.25,1970,R
498,495.,James Shields (29),4.25,2011,R
499,500.,Cy Acosta (26),4.24,1973,R
500,500.,John Axford (28),4.24,2011,R
501,500.,Bert Blyleven+ (24),4.24,1975,R
502,500.,Jack Flaherty (23),4.24,2019,R
503,500.,Bill Hands (29),4.24,1969,R
504,500.,Tug McGraw (26),4.24,1971,L
505,500.,Donnie Moore (31),4.24,1985,R
506,500.,Mel Rojas (29),4.24,1996,R
507,500.,Bill Walker (25),4.24,1929,L
