,Rank,Player (age that year),Stolen Bases,Year,Bats
119,120.,Bob Bescher (26),70,1910,B
120,120.,Lou Brock+ (34),70,1973,L
121,120.,Jacoby Ellsbury (25),70,2009,L
122,120.,Hughie Jennings+ (27),70,1896,R
123,120.,Kenny Lofton (26),70,1993,L
124,120.,Bill McClellan (31),70,1887,B
125,120.,Scott Podsednik (28),70,2004,L
126,120.,Tim Raines+ (25),70,1985,B
127,120.,Tim Raines+ (26),70,1986,B
128,120.,Mickey Rivers (26),70,1975,L
129,120.,Frank Taveras (27),70,1977,R
130,120.,Alan Wiggins (26),70,1984,B
131,132.,Ned Hanlon+ (29),69,1887,L
132,132.,Arlie Latham (29),69,1889,R
133,132.,Jake Stenzel (30),69,1897,R
134,135.,Ty Cobb+ (29),68,1916,L
135,135.,King Kelly+ (31),68,1889,R
136,135.,Ron LeFlore (30),68,1978,R
137,135.,Juan Pierre (32),68,2010,L
138,135.,Lonnie Smith (26),68,1982,R
139,135.,Harry Stovey (29),68,1886,R
140,135.,Willy Taveras (26),68,2008,R
141,142.,Bob Bescher (28),67,1912,B
142,142.,Frank Chance+ (26),67,1903,R
143,142.,Willie Keeler+ (24),67,1896,L
144,142.,Bill Lange (24),67,1895,R
145,142.,Joe Morgan+ (29),67,1973,L
146,142.,Joe Morgan+ (31),67,1975,L
147,142.,Jimmy Sheckard (24),67,1903,L
148,142.,Dan Stearns (27),67,1889,L
149,150.,Tom Brown (32),66,1893,L
150,150.,Tom Brown (33),66,1894,L
151,150.,Roger Cedeno (24),66,1999,B
152,150.,Tom Goodwin (27),66,1996,L
153,150.,Billy Hamilton+ (31),66,1897,L
154,150.,Rickey Henderson+ (25),66,1984,R
155,150.,Rickey Henderson+ (39),66,1998,R
156,150.,Bill Lange (23),66,1894,R
157,150.,Arlie Latham (32),66,1892,R
158,150.,Kenny Lofton (25),66,1992,L
159,150.,Jim McTamany (23),66,1887,R
160,150.,Curt Welch (27),66,1889,R
161,150.,Alan Wiggins (25),66,1983,B
162,163.,Ty Cobb+ (23),65,1910,L
163,163.,Vince Coleman (27),65,1989,B
164,163.,Hub Collins (25),65,1889,R
165,163.,Charlie Comiskey+ (29),65,1889,R
166,163.,George Davis+ (26),65,1897,B
167,163.,Mike Griffin (26),65,1891,L
168,163.,Ned Hanlon+ (32),65,1890,L
169,163.,Rickey Henderson+ (31),65,1990,R
170,163.,Juan Pierre (25),65,2003,L
171,163.,Gerald Young (23),65,1988,B
172,173.,Lou Brock+ (32),64,1971,L
173,173.,Jay Faatz (28),64,1888,R
174,173.,Dee Strange-Gordon (26),64,2014,L
175,173.,Willie Keeler+ (25),64,1897,L
176,173.,Fred Pfeffer (28),64,1888,R
177,173.,Juan Pierre (29),64,2007,L
178,173.,Jose Reyes (23),64,2006,B
179,173.,Eric Yelding (25),64,1990,R
180,181.,Lou Brock+ (26),63,1965,L
181,181.,Lou Brock+ (33),63,1972,L
182,181.,Tom Brown (28),63,1889,L
183,181.,Max Carey+ (26),63,1916,B
184,181.,Eddie Collins+ (22),63,1909,L
185,181.,Eddie Collins+ (25),63,1912,L
186,181.,Davey Lopes (31),63,1976,R
187,181.,Bid McPhee+ (29),63,1889,R
188,181.,Sam Rice+ (30),63,1920,L
189,181.,Rodney Scott (26),63,1980,B
190,181.,Harry Stovey (32),63,1889,R
