,Rank,Player (age that year),Strikeouts,Year,Bats
322,316.,Aaron Judge (26),152,2018,R
323,316.,Jake Lamb (26),152,2017,L
324,316.,Jhonny Peralta (24),152,2006,R
325,316.,George Scott (22),152,1966,R
326,316.,Nick Swisher (25),152,2006,B
327,316.,Melvin Upton Jr. (24),152,2009,R
328,316.,Justin Upton (22),152,2010,R
329,316.,Brad Wilkerson (27),152,2004,L
330,331.,Alex Avila (27),151,2014,L
331,331.,Cody Bellinger (22),151,2018,L
332,331.,Russell Branyan (26),151,2002,L
333,331.,Matt Carpenter (29),151,2015,L
334,331.,Chris Carter (28),151,2015,R
335,331.,Nicholas Castellanos (26),151,2018,R
336,331.,Jason Castro (27),151,2014,L
337,331.,Shin-Soo Choo (26),151,2009,L
338,331.,Delino DeShields (22),151,1991,L
339,331.,Cecil Fielder (27),151,1991,R
340,331.,Cecil Fielder (28),151,1992,R
341,331.,Paul Goldschmidt (27),151,2015,R
342,331.,Curtis Granderson (34),151,2015,L
343,331.,Corey Hart (30),151,2012,R
344,331.,Jason Kubel (30),151,2012,L
345,331.,Ray Lankford (31),151,1998,L
346,331.,Don Lock (26),151,1963,R
347,331.,Greg Luzinski (24),151,1975,R
348,331.,Jorge Posada (29),151,2000,B
349,331.,Josh Reddick (25),151,2012,L
350,331.,Juan Samuel (27),151,1988,R
351,331.,Danny Santana (28),151,2019,B
352,331.,Richie Sexson (28),151,2003,R
353,331.,Melvin Upton Jr. (28),151,2013,R
354,355.,Dick Allen (23),150,1965,R
355,355.,Jesse Barfield (29),150,1989,R
356,355.,Jesse Barfield (30),150,1990,R
357,355.,Jeromy Burnitz (32),150,2001,L
358,355.,Byron Buxton (23),150,2017,R
359,355.,Shin-Soo Choo (29),150,2012,L
360,355.,Nate Colbert (24),150,1970,R
361,355.,Chris Davis (23),150,2009,L
362,355.,Jim Edmonds (34),150,2004,L
363,355.,Paul Goldschmidt (28),150,2016,R
364,355.,Rhys Hoskins (25),150,2018,R
365,355.,Brandon Inge (30),150,2007,R
366,355.,Ron Kittle (25),150,1983,R
367,355.,Kyle Schwarber (24),150,2017,L
368,355.,Sammy Sosa (21),150,1990,R
369,355.,Dan Uggla (29),150,2009,R
370,355.,Mo Vaughn (27),150,1995,L
371,355.,Josh Willingham (32),150,2011,R
372,355.,Mike Zunino (27),150,2018,R
373,374.,Tim Anderson (25),149,2018,R
374,374.,Hank Blalock (23),149,2004,L
375,374.,Russell Branyan (33),149,2009,L
376,374.,Jay Bruce (27),149,2014,L
377,374.,Michael Conforto (26),149,2019,L
378,374.,Paul DeJong (25),149,2019,R
379,374.,Travis Fryman (22),149,1991,R
380,374.,Alex Gonzalez (28),149,2001,R
381,374.,Billy Grabarkewitz (24),149,1970,R
382,374.,Leonys Martín (28),149,2016,L
383,374.,Fred McGriff (24),149,1988,L
384,374.,Brad Miller (26),149,2016,L
385,374.,Logan Morrison (29),149,2017,L
386,374.,Max Muncy (28),149,2019,L
387,374.,Colby Rasmus (25),149,2012,L
388,374.,Henry Rodriguez (29),149,1997,L
389,374.,Addison Russell (21),149,2015,R
390,374.,Mike Schmidt+ (26),149,1976,R
391,374.,Mark Trumbo (31),149,2017,R
392,374.,Dan Uggla (30),149,2010,R
393,374.,Daniel Vogelbach (26),149,2019,L
394,395.,J.P. Arencibia (27),148,2013,R
395,395.,Brandon Belt (28),148,2016,L
396,395.,Bobby Bonds (27),148,1973,R
397,395.,Miguel Cabrera (21),148,2004,R
398,395.,Brian Dozier (28),148,2015,R
399,395.,Hunter Dozier (27),148,2019,R
400,395.,Alex Gordon (32),148,2016,L
401,395.,Mitch Haniger (27),148,2018,R
402,395.,Kelly Johnson (28),148,2010,L
403,395.,Roberto Kelly (25),148,1990,R
404,395.,Ray Lankford (33),148,2000,L
405,395.,Russell Martin (33),148,2016,R
406,395.,Brandon Moss (31),148,2015,L
407,395.,Colby Rasmus (23),148,2010,L
408,395.,Mike Schmidt+ (33),148,1983,R
409,395.,Gorman Thomas (32),148,1983,R
410,395.,Preston Wilson (30),148,2005,R
411,412.,Brandon Belt (27),147,2015,L
412,412.,Matt Chapman (26),147,2019,R
413,412.,Shin-Soo Choo (32),147,2015,L
414,412.,Alejandro De Aza (29),147,2013,L
415,412.,Rob Deer (29),147,1990,R
416,412.,Freddy Galvis (28),147,2018,B
417,412.,Benji Gil (22),147,1995,R
418,412.,Paul Goldschmidt (29),147,2017,R
419,412.,Andruw Jones (27),147,2004,R
420,412.,Matt Kemp (30),147,2015,R
421,412.,Scott Kingery (25),147,2019,R
422,412.,Ray Lankford (25),147,1992,L
423,412.,Phil Nevin (30),147,2001,R
424,412.,Manny Ramirez (29),147,2001,R
425,412.,Cory Snyder (30),147,1993,R
