,Rank,Player (age that year),Errors Committed as SS,Year,Throws
469,452.,Arky Vaughan+ (21),46,1933,R
470,471.,Dave Bancroft+ (29),45,1920,R
471,471.,Dick Bartell (25),45,1933,R
472,471.,Bobby Bragan (23),45,1941,R
473,471.,Al Bridwell (25),45,1909,R
474,471.,Donie Bush (32),45,1920,R
475,471.,Ben Conroy (19),45,1890,
476,471.,Monte Cross (33),45,1903,R
477,471.,Bill Dahlen (35),45,1905,R
478,471.,Bill Dahlen (37),45,1907,R
479,471.,Al Dark (29),45,1951,R
480,471.,George Davis+ (30),45,1901,R
481,471.,Mickey Doolin (28),45,1908,R
482,471.,Tom Downey (26),45,1910,R
483,471.,Wally Gerber (27),45,1919,R
484,471.,Travis Jackson+ (24),45,1928,R
485,471.,Eddie Joost (25),45,1941,R
486,471.,Eddie Joost (26),45,1942,R
487,471.,George Magoon (23),45,1898,R
488,471.,Rabbit Maranville+ (28),45,1920,R
489,471.,Leo Norris (28),45,1936,R
490,471.,Ivy Olson (31),45,1917,R
491,471.,Roger Peckinpaugh (32),45,1923,R
492,471.,John Peters (27),45,1877,R
493,471.,Swede Risberg (25),45,1920,R
494,471.,Tommy Thevenow (22),45,1926,R
495,471.,Joe Tinker+ (25),45,1906,R
496,471.,Glenn Wright (26),45,1927,R
497,471.,Steve Yerkes (23),45,1911,R
498,499.,Dave Bancroft+ (34),44,1925,R
499,499.,Tommy Corcoran (36),44,1905,R
