,Rank,Player (age that year),Strikeouts per 9 IP,Year,Throws
69,70.,Pedro Martinez+ (30),10.7910,2002,R
70,71.,Chris Sale (25),10.7586,2014,L
71,72.,Sam McDowell (22),10.7143,1965,L
72,73.,Luis Severino (23),10.7069,2017,R
73,74.,Chris Archer (26),10.6981,2015,R
74,75.,Trevor Bauer (28),10.6901,2019,R
75,76.,Jacob deGrom (29),10.6838,2017,R
76,77.,Noah Syndergaard (23),10.6824,2016,R
77,78.,Randy Johnson+ (30),10.6744,1994,L
78,79.,Luis Castillo (26),10.6678,2019,R
79,80.,Lance Lynn (32),10.6272,2019,R
80,81.,Randy Johnson+ (40),10.6242,2004,L
81,82.,Walker Buehler (24),10.6124,2019,R
82,83.,Michael Pineda (27),10.6053,2016,R
83,84.,Patrick Corbin (29),10.6040,2019,L
84,85.,Jack Flaherty (23),10.5891,2019,R
85,86.,Carlos Carrasco (28),10.5844,2015,R
86,87.,Nolan Ryan+ (26),10.5736,1973,R
87,88.,German Marquez (23),10.5612,2018,R
88,89.,Nolan Ryan+ (44),10.5607,1991,R
89,90.,Sandy Koufax+ (26),10.5461,1962,L
90,91.,Zack Greinke (27),10.5379,2011,R
91,92.,Sonny Gray (29),10.5228,2019,R
92,93.,Tim Lincecum (24),10.5066,2008,R
93,94.,Stephen Strasburg (28),10.4715,2017,R
94,95.,Johan Santana (25),10.4605,2004,L
95,96.,Mark Prior (22),10.4338,2003,R
96,97.,Nolan Ryan+ (25),10.4261,1972,R
97,98.,Tim Lincecum (25),10.4246,2009,R
98,99.,Sam McDowell (23),10.4202,1966,L
99,100.,Chris Archer (27),10.4156,2016,R
100,101.,Scott Kazmir (23),10.4081,2007,L
101,102.,Yu Darvish (25),10.3955,2012,R
102,103.,Roger Clemens (35),10.3935,1998,R
103,104.,Curt Schilling (36),10.3929,2003,R
104,105.,Clayton Kershaw (29),10.3886,2017,L
105,106.,Nolan Ryan+ (29),10.3505,1976,R
106,107.,Luis Severino (24),10.3484,2018,R
107,108.,Nick Pivetta (25),10.3171,2018,R
108,109.,Randy Johnson+ (28),10.3122,1992,L
109,110.,Max Scherzer (29),10.2935,2014,R
110,111.,Curt Schilling (34),10.2740,2001,R
111,112.,Corey Kluber (28),10.2730,2014,R
112,113.,Nolan Ryan+ (30),10.2642,1977,R
113,114.,Zac Gallen (24),10.2500,2020,R
114,115.,David Cone (34),10.2462,1997,R
115,116.,Sandy Koufax+ (29),10.2423,1965,L
116,117.,Nolan Ryan+ (43),10.2353,1990,R
117,118.,Jimmy Nelson (28),10.2148,2017,R
118,119.,Randy Johnson+ (27),10.1921,1991,L
119,120.,Brandon Morrow (26),10.1877,2011,R
120,121.,Aaron Nola (26),10.1862,2019,R
121,122.,Carlos Carrasco (30),10.1700,2017,R
122,123.,Mark Prior (24),10.1520,2005,R
123,124.,Bartolo Colon (27),10.1489,2000,R
124,125.,Sandy Koufax+ (24),10.1314,1960,L
125,126.,Stephen Strasburg (25),10.1302,2014,R
126,127.,Hideo Nomo (28),10.1141,1997,R
127,128.,Justin Verlander (26),10.0875,2009,R
128,129.,Max Scherzer (28),10.0778,2013,R
129,130.,Yu Darvish (30),10.0768,2017,R
130,131.,Curt Schilling (31),10.0496,1998,R
131,132.,Justin Verlander (33),10.0410,2016,R
132,133.,Jason Schmidt (31),10.0400,2004,R
133,134.,Ben Sheets (25),10.0253,2004,R
134,135.,Trevor Bauer (26),10.0038,2017,R
135,136.,Mike Scott (31),10.0024,1986,R
136,137.,Hideo Nomo (32),10.0000,2001,R
137,138.,Anibal Sanchez (29),9.9890,2013,R
138,139.,Rick Ankiel (20),9.9771,2000,L
139,140.,Nolan Ryan+ (31),9.9716,1978,R
140,141.,Madison Bumgarner (26),9.9662,2016,L
141,142.,Jon Lester (25),9.9590,2009,L
142,143.,Roger Clemens (34),9.9545,1997,R
143,144.,Mike Foltynewicz (26),9.9344,2018,R
144,145.,Corey Kluber (29),9.9324,2015,R
145,146.,Pedro Martinez+ (31),9.9321,2003,R
146,147.,Nolan Ryan+ (27),9.9289,1974,R
147,148.,Roger Clemens (25),9.9205,1988,R
148,149.,Jon Gray (24),9.9107,2016,R
149,150.,David Cone (27),9.9071,1990,R
150,151.,J.R. Richard (28),9.9044,1978,R
151,152.,Yovani Gallardo (23),9.8887,2009,R
152,153.,Francisco Liriano (31),9.8839,2015,L
153,154.,Jose Quintana (28),9.8746,2017,L
154,155.,Andy Benes (26),9.8704,1994,R
155,156.,Dylan Bundy (27),9.8680,2020,R
156,157.,Aaron Nola (24),9.8571,2017,R
