,Rank,Player (age that year),AB per HR,Year,Bats
148,149.,Jermaine Dye (32),12.25,2006,R
149,149.,Jimmie Foxx+ (26),12.25,1934,R
150,149.,AJ Pollock (32),12.25,2020,R
151,152.,Jorge Soler (27),12.27,2019,R
152,153.,George Springer (29),12.28,2019,R
153,154.,Willie Mays+ (33),12.30,1964,R
154,154.,Jim Thome+ (32),12.30,2003,L
155,156.,Cody Bellinger (21),12.31,2017,L
156,156.,Barry Bonds (31),12.31,1996,L
157,156.,Manny Ramirez (33),12.31,2005,R
158,159.,Eddie Mathews+ (21),12.32,1953,L
159,159.,Ted Williams+ (22),12.32,1941,L
160,161.,Frank Howard (32),12.33,1969,R
161,161.,Frank Thomas+ (27),12.33,1995,R
162,163.,Jim Thome+ (36),12.34,2007,L
163,164.,Adam Dunn (24),12.35,2004,L
164,165.,Mickey Mantle+ (26),12.36,1958,B
165,165.,Gary Sheffield (27),12.36,1996,R
166,167.,Gorman Thomas (28),12.38,1979,R
167,168.,Bryce Harper (22),12.40,2015,L
168,168.,Jim Thome+ (26),12.40,1997,L
169,170.,Hank Aaron+ (35),12.43,1969,R
170,170.,Albert Belle (31),12.43,1998,R
171,170.,Lou Gehrig+ (24),12.43,1927,L
172,170.,Harmon Killebrew+ (31),12.43,1967,R
173,174.,Carlos Beltran (29),12.44,2006,B
174,175.,Sammy Sosa (27),12.45,1996,R
175,176.,Adrian Beltre (25),12.46,2004,R
176,177.,Fred McGriff (30),12.47,1994,L
177,178.,Jim Edmonds (30),12.50,2000,L
178,178.,Joey Gallo (24),12.50,2018,L
179,178.,Joc Pederson (27),12.50,2019,L
180,181.,Albert Belle (29),12.54,1996,R
181,181.,Reggie Jackson+ (34),12.54,1980,L
182,183.,Jeff Bagwell+ (32),12.55,2000,R
183,184.,Mickey Mantle+ (30),12.57,1962,B
184,185.,Greg Vaughn (30),12.59,1996,R
185,186.,Chipper Jones+ (27),12.60,1999,B
186,186.,Alex Rodriguez (29),12.60,2005,R
187,186.,Duke Snider+ (29),12.60,1956,L
188,189.,Miguel Cabrera (30),12.61,2013,R
189,189.,Andres Galarraga (37),12.61,1998,R
190,191.,José Abreu (33),12.63,2020,R
191,191.,Darrell Evans (38),12.63,1985,L
192,191.,Shawn Green (28),12.63,2001,L
193,191.,Ken Griffey Jr.+ (29),12.63,1999,L
194,195.,Ralph Kiner+ (28),12.64,1951,R
195,196.,Jose Canseco (34),12.65,1999,R
196,197.,Roy Campanella+ (31),12.66,1953,R
197,198.,Jose Canseco (33),12.67,1998,R
198,198.,Andre Dawson+ (32),12.67,1987,R
199,198.,Willie Mays+ (31),12.67,1962,R
200,198.,Marcell Ozuna (29),12.67,2020,R
201,202.,Richard Hidalgo (25),12.68,2000,R
202,202.,Mike Piazza+ (31),12.68,2000,R
203,202.,Hank Sauer (37),12.68,1954,R
204,205.,Juan Gonzalez (27),12.69,1997,R
205,205.,Willie McCovey+ (32),12.69,1970,L
206,205.,Manny Ramirez (26),12.69,1998,R
207,208.,Rafael Palmeiro (37),12.70,2002,L
208,208.,Duke Snider+ (30),12.70,1957,L
209,210.,Ryan Howard (28),12.71,2008,L
210,211.,Orlando Cepeda+ (23),12.72,1961,R
211,212.,Babe Ruth+ (28),12.73,1923,L
212,213.,Rafael Palmeiro (36),12.77,2001,L
213,214.,David Justice (34),12.78,2000,L
214,215.,Roger Maris (25),12.79,1960,L
215,215.,David Ortiz (29),12.79,2005,L
216,217.,Eric Davis (25),12.81,1987,R
217,217.,Dave Kingman (27),12.81,1976,R
218,217.,Duke Snider+ (28),12.81,1955,L
219,220.,Jay Buhner (31),12.82,1996,R
220,220.,Willie McCovey+ (25),12.82,1963,L
221,222.,Manny Ramirez (34),12.83,2006,R
222,223.,Prince Fielder (25),12.85,2009,L
223,223.,Harmon Killebrew+ (34),12.85,1970,R
224,225.,Frank Howard (33),12.86,1970,R
225,225.,Dale Murphy (31),12.86,1987,R
226,227.,Albert Pujols (24),12.87,2004,R
227,228.,Jose Ramirez (27),12.88,2020,B
228,229.,Edwin Encarnacion (29),12.90,2012,R
229,229.,Manny Ramirez (29),12.90,2001,R
230,231.,Derrek Lee (29),12.91,2005,R
231,231.,Eddie Mathews+ (27),12.91,1959,L
232,231.,Alex Rodriguez (27),12.91,2003,R
233,234.,Rogers Hornsby+ (29),12.92,1925,R
234,235.,Adam Dunn (28),12.93,2008,L
235,235.,Ken Griffey Jr.+ (23),12.93,1993,L
236,235.,Sammy Sosa (34),12.93,2003,R
237,238.,Rocky Colavito (27),12.96,1961,R
238,239.,George Bell (27),12.98,1987,R
239,239.,Vladimir Guerrero+ (25),12.98,2000,R
240,239.,Mel Ott+ (20),12.98,1929,L
241,242.,Pete Alonso (25),13.00,2020,R
242,242.,Jose Canseco (25),13.00,1990,R
243,242.,Jose Canseco (26),13.00,1991,R
244,242.,Norm Cash (28),13.00,1962,L
245,242.,Ken Griffey Jr.+ (30),13.00,2000,L
246,242.,Bob Hamelin (26),13.00,1994,L
247,242.,Davey Johnson (30),13.00,1973,R
248,242.,Harmon Killebrew+ (23),13.00,1959,R
249,242.,Frank Thomas+ (35),13.00,2003,R
250,251.,Carlos Delgado (27),13.02,1999,L
251,251.,Ted Kluszewski (30),13.02,1955,L
252,253.,Jason Giambi (34),13.03,2005,L
253,254.,Mark Trumbo (30),13.04,2016,R
254,255.,Norm Cash (27),13.05,1961,L
255,255.,Adam Dunn (27),13.05,2007,L
256,255.,Jason Giambi (32),13.05,2003,L
257,255.,Cy Williams (35),13.05,1923,L
258,259.,John Jaha (33),13.06,1999,R
259,260.,Josh Hamilton (31),13.07,2012,L
260,261.,Brian Giles (31),13.08,2002,L
261,261.,Larry Walker+ (34),13.08,2001,L
262,263.,Ernie Banks+ (28),13.09,1959,R
263,264.,Dick Allen (24),13.10,1966,R
264,265.,Ernie Banks+ (27),13.13,1958,R
