,Rank,Player (age that year),Fielding % as CF (s.1901),Year,Throws
56,56.,Jim Edmonds (25),.9976,1995,L
57,56.,Darin Erstad (27),.9976,2001,L
58,56.,Gerald Young (24),.9976,1989,R
59,60.,Jacoby Ellsbury (30),.9974,2014,L
60,60.,Curtis Granderson (25),.9974,2006,R
61,60.,Nate McLouth (26),.9974,2008,R
62,63.,Johnny Damon (29),.9973,2003,L
63,63.,Ken Griffey Jr.+ (22),.9973,1992,L
64,63.,Dave Henderson (32),.9973,1991,R
65,63.,Ray Lankford (29),.9973,1996,L
66,63.,Andrew McCutchen (25),.9973,2012,R
67,63.,Christian Yelich (25),.9973,2017,R
68,63.,Robin Yount+ (30),.9973,1986,R
69,70.,Cesar Cedeno (26),.9972,1977,R
70,70.,Johnny Damon (28),.9972,2002,L
71,70.,Gabe Kapler (25),.9972,2001,R
72,70.,Vernon Wells (30),.9972,2009,R
73,74.,Michael Brantley (25),.9971,2012,L
74,74.,Marquis Grissom (29),.9971,1996,R
75,74.,Austin Jackson (25),.9971,2012,R
76,74.,Jon Jay (28),.9971,2013,L
77,74.,Shane Victorino (28),.9971,2009,R
78,74.,Willie Wilson (31),.9971,1987,R
79,74.,Ernie Young (26),.9971,1996,R
80,81.,Craig Biggio+ (37),.9970,2003,R
81,81.,Corey Patterson (24),.9970,2004,R
82,81.,Tony Scott (28),.9970,1980,R
83,81.,Vernon Wells (25),.9970,2004,R
84,85.,Coco Crisp (31),.9969,2011,R
85,85.,Nate McLouth (27),.9969,2009,R
86,85.,Amos Otis (35),.9969,1982,R
87,85.,Jim Piersall (32),.9969,1962,R
88,85.,Kevin Pillar (28),.9969,2017,R
89,90.,Steve Brye (25),.9968,1974,R
90,90.,Torii Hunter (33),.9968,2009,R
91,90.,Omar Moreno (28),.9968,1981,L
92,93.,Jackie Bradley Jr. (24),.9967,2014,R
93,93.,Joe DiMaggio+ (32),.9967,1947,R
94,93.,Carlos Gomez (23),.9967,2009,R
95,93.,Darryl Hamilton (33),.9967,1998,R
96,93.,Robin Yount+ (37),.9967,1993,R
97,98.,Brady Anderson (35),.9966,1999,L
98,98.,Charlie Blackmon (31),.9966,2018,L
99,98.,Mike Cameron (35),.9966,2008,R
100,98.,Steve Finley (41),.9966,2006,L
101,98.,Johnny Hopp (27),.9966,1944,L
102,98.,Denard Span (32),.9966,2016,L
103,98.,Bernie Williams (34),.9966,2003,R
104,105.,Marvin Benard (29),.9965,2000,L
105,105.,Al Bumbry (30),.9965,1977,R
106,105.,Jim Edmonds (26),.9965,1996,L
107,105.,Derrel Thomas (28),.9965,1979,R
108,105.,Andy Van Slyke (30),.9965,1991,R
109,110.,Ken Berry (32),.9964,1973,R
110,110.,Eric Byrnes (30),.9964,2006,R
111,110.,Harry Craft (25),.9964,1940,R
112,110.,Mike Trout (21),.9964,2013,R
113,114.,Lenny Dykstra (25),.9963,1988,L
114,114.,Rick Monday (26),.9963,1972,L
115,116.,Ted Uhlaender (27),.9962,1967,R
116,117.,Dexter Fowler (24),.9959,2010,R
117,117.,Marcell Ozuna (24),.9959,2015,R
118,119.,Mickey Rivers (32),.9958,1981,L
119,119.,Michael A. Taylor (27),.9958,2018,R
120,121.,Johnny Cooney (40),.9957,1941,L
121,121.,Tony Gonzalez (27),.9957,1964,R
122,121.,AJ Pollock (30),.9957,2018,R
123,121.,Cory Sullivan (26),.9957,2006,L
124,121.,Ted Uhlaender (29),.9957,1969,R
125,126.,Dexter Fowler (31),.9956,2017,R
126,126.,Andruw Jones (23),.9956,2000,R
127,126.,Laynce Nix (23),.9956,2004,L
128,126.,Robin Yount+ (32),.9956,1988,R
129,130.,Darrin Jackson (28),.9955,1992,R
130,130.,Ray Lankford (25),.9955,1992,L
131,130.,AJ Pollock (29),.9955,2017,R
132,133.,Lance Johnson (27),.9954,1991,L
133,133.,Andruw Jones (21),.9954,1998,R
134,133.,Chet Lemon (29),.9954,1984,R
135,133.,Garry Maddox (29),.9954,1979,R
136,137.,Larry Doby+ (30),.9953,1954,R
137,138.,Mike Devereaux (31),.9952,1994,R
138,138.,Kevin Pillar (26),.9952,2015,R
139,140.,Brady Clark (32),.9951,2005,R
140,140.,Aaron Rowand (29),.9951,2007,R
141,140.,Grady Sizemore (24),.9951,2007,L
142,143.,Steve Finley (34),.9950,1999,L
143,143.,Andruw Jones (30),.9950,2007,R
144,145.,Torii Hunter (31),.9949,2007,R
145,145.,Jake Marisnick (28),.9949,2019,R
146,145.,Amos Otis (31),.9949,1978,R
147,148.,Michael Bourn (29),.9948,2012,R
148,148.,Andruw Jones (29),.9948,2006,R
149,148.,Matt Kemp (24),.9948,2009,R
150,148.,Rick Manning (23),.9948,1978,R
151,148.,Mickey Mantle+ (23),.9948,1955,R
152,148.,Grady Sizemore (25),.9948,2008,L
153,148.,Willie Wilson (29),.9948,1985,R
154,155.,Andruw Jones (28),.9947,2005,R
155,155.,Mickey Mantle+ (27),.9947,1959,R
156,155.,Robin Yount+ (36),.9947,1992,R
157,158.,Carlos Beltran (29),.9946,2006,R
158,158.,Doug Glanville (27),.9946,1998,R
159,158.,Juan Pierre (24),.9946,2002,L
160,158.,Juan Pierre (26),.9946,2004,L
161,158.,Shane Victorino (29),.9946,2010,R
162,158.,Vernon Wells (23),.9946,2002,R
163,164.,Brett Butler (35),.9945,1992,L
164,164.,Jacoby Ellsbury (25),.9945,2009,L
165,164.,Billy Hamilton (27),.9945,2018,R
166,164.,Adam Jones (27),.9945,2013,R
167,164.,Jim Landis (28),.9945,1962,R
168,164.,Lloyd Moseby (22),.9945,1982,R
169,170.,Rich Becker (24),.9944,1996,L
170,170.,Dave Gallagher (28),.9944,1989,R
171,170.,Billy Hamilton (23),.9944,2014,R
172,170.,Adam Jones (30),.9944,2016,R
173,170.,Otis Nixon (38),.9944,1997,R
174,175.,Wally Judnich (30),.9943,1946,L
175,175.,Otis Nixon (37),.9943,1996,R
176,175.,Rowland Office (21),.9943,1974,L
177,175.,Bernie Williams (32),.9943,2001,R
178,179.,Lenny Green (29),.9942,1962,L
179,179.,Marquis Grissom (37),.9942,2004,R
180,181.,Vince DiMaggio (32),.9941,1945,R
181,181.,Fred Lynn (25),.9941,1977,L
182,181.,Bobby Mitchell (27),.9941,1982,L
183,181.,Andy Pafko (24),.9941,1945,R
184,185.,Ellis Burks (25),.9940,1990,R
185,185.,Odubel Herrera (25),.9940,2017,R
186,187.,Jim Edmonds (35),.9939,2005,L
187,187.,Steve Finley (37),.9939,2002,L
188,187.,Darren Lewis (27),.9939,1995,R
189,190.,Johnny Damon (24),.9938,1998,L
190,190.,Larry Doby+ (31),.9938,1955,R
191,190.,Curtis Granderson (29),.9938,2010,R
192,190.,Marquis Grissom (28),.9938,1995,R
193,190.,Fred Lynn (33),.9938,1985,L
194,190.,Mickey Stanley (29),.9938,1972,R
195,190.,Shane Victorino (27),.9938,2008,R
196,197.,Fred Lynn (28),.9937,1980,L
197,197.,Mickey Rivers (25),.9937,1974,L
198,197.,Robin Yount+ (35),.9937,1991,R
199,200.,Jim Busby (25),.9936,1952,R
200,200.,Lorenzo Cain (33),.9936,2019,R
201,202.,Brian Anderson (24),.9935,2006,R
202,202.,Darren Bragg (27),.9935,1997,R
203,202.,Johnny Cooney (35),.9935,1936,L
204,202.,Steve Finley (36),.9935,2001,L
205,202.,Cesar Geronimo (31),.9935,1979,L
206,202.,Von Hayes (26),.9935,1985,R
207,202.,Austin Jackson (26),.9935,2013,R
208,202.,Len Koenecke (30),.9935,1934,R
209,202.,Andrew McCutchen (28),.9935,2015,R
210,202.,Kirby Puckett+ (24),.9935,1984,R
211,202.,Kirby Puckett+ (28),.9935,1988,R
212,202.,Luis Robert (22),.9935,2020,R
213,214.,Rudy Law (26),.9934,1983,L
214,214.,Preston Wilson (26),.9934,2001,R
215,216.,Cesar Cedeno (23),.9933,1974,R
216,216.,Odubel Herrera (26),.9933,2018,R
217,216.,Kevin McReynolds (25),.9933,1985,R
218,216.,Andy Van Slyke (26),.9933,1987,R
219,220.,Brett Butler (29),.9932,1986,L
220,220.,Brett Butler (38),.9932,1995,L
221,220.,Curt Flood (22),.9932,1960,R
222,220.,Tommy Holmes (27),.9932,1944,L
223,220.,Jim Landis (25),.9932,1959,R
224,220.,Gary Pettis (32),.9932,1990,R
225,220.,Chris Young (25),.9932,2009,R
226,227.,Von Joshua (27),.9931,1975,L
227,227.,Mark Kotsay (30),.9931,2006,L
228,227.,Darren Lewis (26),.9931,1994,R
229,227.,Kenny Lofton (27),.9931,1994,L
230,227.,Brian McRae (24),.9931,1992,R
231,227.,Tom Oliver (28),.9931,1931,R
232,227.,Jim Piersall (25),.9931,1955,R
233,227.,Mickey Stanley (30),.9931,1973,R
234,235.,Carlos Beltran (31),.9930,2008,R
235,235.,Paul Blair (24),.9930,1968,R
236,235.,Ellis Burks (26),.9930,1991,R
237,235.,Steve Finley (27),.9930,1992,L
238,235.,Billy Hatcher (32),.9930,1993,R
239,235.,George Hendrick (28),.9930,1978,R
240,235.,Fred Lynn (31),.9930,1983,L
241,242.,Ken Boyer (26),.9929,1957,R
242,242.,Cesar Geronimo (27),.9929,1975,L
243,242.,Ender Inciarte (26),.9929,2017,L
244,242.,Juan Lagares (26),.9929,2015,R
245,242.,Willie Wilson (30),.9929,1986,R
246,247.,Jose Cruz (26),.9928,2000,R
247,247.,Bobby Estalella (33),.9928,1944,R
248,247.,Grady Sizemore (23),.9928,2006,L
249,247.,Denard Span (33),.9928,2017,L
250,251.,Mike Devereaux (28),.9927,1991,R
251,251.,Howie Goss (28),.9927,1963,R
252,251.,Johnny Groth (24),.9927,1951,R
253,251.,Andruw Jones (25),.9927,2002,R
254,251.,Brian McRae (23),.9927,1991,R
255,251.,Juan Pierre (25),.9927,2003,L
