,Rank,Player (age that year),Putouts as LF (s.1901),Year,Throws
359,354.,George Stone (30),281,1907,L
360,354.,Ted Williams+ (27),281,1946,R
361,354.,Dave Winfield+ (30),281,1982,R
362,354.,Carl Yastrzemski+ (31),281,1971,R
363,364.,George Burns (29),280,1919,R
364,364.,George Foster (35),280,1984,R
365,364.,Bob Ganley (33),280,1908,L
366,364.,Luis Gonzalez (33),280,2001,R
367,364.,Bob Johnson (31),280,1937,R
368,364.,Charlie Maxwell (29),280,1956,L
369,364.,Irish Meusel (29),280,1922,R
370,364.,Al Simmons+ (29),280,1931,R
371,364.,Ted Williams+ (29),280,1948,R
372,373.,Ryan Braun (26),279,2010,R
373,373.,Adam Dunn (26),279,2006,R
374,373.,Whitey Lockman (23),279,1950,R
375,373.,Sherry Magee (23),279,1908,R
376,373.,Lou Piniella (28),279,1972,R
377,378.,Steve Kemp (27),278,1982,L
378,378.,Joe Medwick+ (32),278,1944,R
379,378.,Juan Pierre (33),278,2011,L
380,381.,Lou Brock+ (35),277,1974,L
381,381.,Del Ennis (28),277,1953,R
382,381.,Chick Hafey+ (26),277,1929,R
383,381.,Matt Holliday (26),277,2006,R
384,381.,Minnie Minoso (34),277,1960,R
385,381.,Jimmy Sheckard (30),277,1909,R
386,381.,Moose Solters (31),277,1937,R
387,381.,Shannon Stewart (33),277,2007,R
388,381.,John Stone (25),277,1931,R
389,381.,Bobby Veach (30),277,1918,R
390,391.,Phil Bradley (28),276,1987,R
391,391.,Ryan Braun (28),276,2012,R
392,391.,Lou Brock+ (28),276,1967,L
393,391.,Jesse Burkett+ (36),276,1905,L
394,391.,Gus Felix (28),276,1923,R
395,391.,George Foster (28),276,1977,R
396,391.,Davy Jones (27),276,1907,R
397,391.,Jacque Jones (26),276,2001,L
398,391.,Ralph Kiner+ (27),276,1950,R
399,391.,Babe Ruth+ (26),276,1921,L
400,391.,George Stone (28),276,1905,L
401,391.,Greg Vaughn (32),276,1998,R
402,403.,Carson Bigbee (25),275,1920,R
403,403.,Ryan Braun (24),275,2008,R
404,403.,Darin Erstad (26),275,2000,L
405,403.,Tito Francona (26),275,1960,L
406,403.,Larry Herndon (31),275,1985,R
407,403.,Matt Holliday (29),275,2009,R
408,403.,Duffy Lewis (28),275,1916,R
409,403.,Joe Medwick+ (25),275,1937,R
410,403.,Mike Menosky (26),275,1921,R
411,412.,Carl Crawford (22),274,2004,L
412,412.,Sid Gordon (32),274,1950,R
413,412.,Jack Graney (28),274,1914,L
414,412.,Carlos Lee (24),274,2000,R
415,412.,Johnny Rizzo (25),274,1938,R
416,412.,Frank Schulte (32),274,1915,R
417,412.,Spike Shannon (31),274,1906,R
418,412.,George Stone (31),274,1908,L
419,412.,B.J. Surhoff (35),274,2000,R
420,412.,Joe Vosmik (27),274,1937,R
421,422.,Hal Lee (28),273,1933,R
422,422.,Danny Litwhiler (27),273,1944,R
423,422.,Mike Menosky (25),273,1920,R
424,422.,Phil Plantier (24),273,1993,R
425,422.,Tim Raines+ (31),273,1991,R
426,422.,Juan Soto (20),273,2019,L
427,422.,Possum Whitted (27),273,1917,R
428,422.,Billy Williams+ (33),273,1971,R
429,430.,Pat Burrell (25),272,2002,R
430,430.,Vince Coleman (25),272,1987,R
431,430.,Brian Downing (33),272,1984,R
432,430.,Tommy Harper (24),272,1965,R
433,430.,Gary Matthews (31),272,1982,R
434,435.,Clyde Engle (25),271,1909,R
435,435.,Luis Gonzalez (31),271,1999,R
436,435.,Joe Medwick+ (22),271,1934,R
437,435.,Mitchell Page (25),271,1977,R
438,435.,Jim Rice+ (29),271,1982,R
439,435.,Justin Upton (26),271,2014,R
440,435.,Billy Williams+ (24),271,1962,R
441,442.,Fred Clarke+ (32),270,1905,R
442,442.,Adam Duvall (27),270,2016,R
443,442.,Ron Gant (28),270,1993,R
444,442.,Luis Gonzalez (37),270,2005,R
445,442.,Monte Irvin+ (35),270,1954,R
446,442.,Joe Medwick+ (29),270,1941,R
447,442.,Minnie Minoso (27),270,1953,R
448,449.,Lou Brock+ (29),269,1968,L
449,449.,Ivan Calderon (28),269,1990,R
450,449.,Chili Davis (29),269,1989,R
451,449.,Cliff Floyd (28),269,2001,R
452,449.,Chipper Jones+ (30),269,2002,R
453,449.,Walt Moryn (32),269,1958,R
454,449.,Billy Williams+ (29),269,1967,R
455,456.,George Bell (26),268,1986,R
456,456.,Ping Bodie (29),268,1917,R
457,456.,Rube Ellis (24),268,1910,L
458,456.,Alex Gordon (35),268,2019,R
459,456.,Bob Johnson (39),268,1945,R
460,456.,Ralph Kiner+ (30),268,1953,R
461,456.,Heinie Manush+ (31),268,1933,L
462,456.,Tim Raines+ (26),268,1986,R
463,456.,Bobby Veach (36),268,1924,R
464,465.,Chad Allen (24),267,1999,R
465,465.,Morrie Arnovich (28),267,1939,R
466,465.,Bob Bescher (27),267,1911,L
467,465.,Jose Canseco (22),267,1987,R
468,465.,Adam Comorosky (25),267,1930,R
469,465.,Tommy Davis (25),267,1964,R
470,465.,Brian Downing (35),267,1986,R
471,465.,Adam Duvall (28),267,2017,R
472,465.,Shoeless Joe Jackson (28),267,1916,R
473,465.,Heinie Manush+ (30),267,1932,L
474,465.,Joe Medwick+ (26),267,1938,R
475,465.,Minnie Minoso (29),267,1955,R
476,465.,Minnie Minoso (35),267,1961,R
477,465.,Gerardo Parra (24),267,2011,L
478,465.,Lou Piniella (25),267,1969,R
479,465.,Jimmy Sheckard (26),267,1905,R
480,465.,Riggs Stephenson (30),267,1928,R
481,465.,Roy White (25),267,1969,R
482,465.,Richie Zisk (26),267,1975,R
483,484.,Jesse Burkett+ (35),266,1904,L
484,484.,Juan Gonzalez (23),266,1993,R
485,484.,Jose Guillen (28),266,2004,R
486,484.,Willie Horton (26),266,1969,R
487,484.,Geoff Jenkins (25),266,2000,R
488,484.,Bob Johnson (27),266,1933,R
489,484.,Irish Meusel (30),266,1923,R
490,484.,Hank Sauer (31),266,1948,R
491,484.,Alfonso Soriano (37),266,2013,R
492,484.,Riggs Stephenson (34),266,1932,R
493,494.,Jason Bay (26),265,2005,R
494,494.,Jason Bay (28),265,2007,R
495,494.,Vince Coleman (23),265,1985,R
496,494.,Del Ennis (31),265,1956,R
497,494.,Jack Graney (27),265,1913,L
498,494.,Willie Hogan (26),265,1911,R
499,494.,Bob Johnson (30),265,1936,R
