,Rank,Player (age that year),Wins,Year,Throws
250,245.,General Crowder (33),26,1932,R
251,245.,Nig Cuppy (25),26,1895,R
252,245.,Ed Daily (22),26,1885,R
253,245.,Bob Feller+ (27),26,1946,R
254,245.,Charlie Ferguson (22),26,1885,R
255,245.,Russ Ford (27),26,1910,R
256,245.,Lefty Gomez+ (25),26,1934,L
257,245.,Clark Griffith+ (25),26,1895,R
258,245.,Guy Hecker (30),26,1886,R
259,245.,Carl Hubbell+ (33),26,1936,L
260,245.,Bill James (22),26,1914,R
261,245.,Fred Klobedanz (26),26,1897,L
262,245.,Sandy Koufax+ (29),26,1965,L
263,245.,Ted Lewis (25),26,1898,R
264,245.,Juan Marichal+ (30),26,1968,R
265,245.,Rube Marquard+ (25),26,1912,L
266,245.,Christy Mathewson+ (30),26,1911,R
267,245.,Carl Mays (28),26,1920,R
268,245.,Jim McCormick (24),26,1881,R
269,245.,Joe McGinnity+ (30),26,1901,R
270,245.,Jouett Meekin (29),26,1896,R
271,245.,Frank Mountain (23),26,1883,R
272,245.,Tony Mullane (29),26,1888,R
273,245.,Hal Newhouser+ (25),26,1946,L
274,245.,Eddie Plank+ (28),26,1904,L
275,245.,Eddie Plank+ (36),26,1912,L
276,245.,Jack Quinn (30),26,1914,R
277,245.,Charlie Root (28),26,1927,R
278,245.,Dick Rudolph (26),26,1914,R
279,245.,Ed Stein (24),26,1894,R
280,245.,Jack Stivetts (26),26,1894,R
281,245.,Jack Taylor (22),26,1895,R
282,245.,Adonis Terry (25),26,1890,R
283,245.,Jeff Tesreau (26),26,1914,R
284,245.,George Uhle (24),26,1923,R
285,245.,Sam Weaver (26),26,1882,R
286,245.,Mickey Welch+ (28),26,1888,R
287,245.,Gus Weyhing (20),26,1887,R
288,245.,Cy Young+ (27),26,1894,R
289,245.,Cy Young+ (32),26,1899,R
290,245.,Cy Young+ (37),26,1904,R
291,292.,Al Atkinson (25),25,1886,R
292,292.,Jersey Bakley (24),25,1888,R
293,292.,Jesse Barnes (26),25,1919,R
294,292.,Larry Benton (30),25,1928,R
295,292.,George Bradley (31),25,1884,R
296,292.,Mordecai Brown+ (33),25,1910,R
297,292.,Charlie Buffinton (22),25,1883,R
298,292.,Howie Camnitz (27),25,1909,R
299,292.,Ice Box Chamberlain (20),25,1888,R
300,292.,John Clarkson+ (30),25,1892,R
301,292.,Nig Cuppy (26),25,1896,R
302,292.,Paul Derringer (32),25,1939,R
303,292.,Bill Donovan (24),25,1901,R
304,292.,Bill Donovan (30),25,1907,R
305,292.,Don Drysdale+ (25),25,1962,R
306,292.,Red Ehret (21),25,1890,R
307,292.,Red Faber+ (32),25,1921,R
308,292.,Cy Falkenberg (34),25,1914,R
309,292.,Bob Feller+ (22),25,1941,R
310,292.,Wes Ferrell (22),25,1930,R
311,292.,Wes Ferrell (27),25,1935,R
312,292.,Dave Ferriss (24),25,1946,R
313,292.,Whitey Ford+ (32),25,1961,L
314,292.,Dave Foutz (30),25,1887,R
315,292.,Fred Goldsmith (27),25,1883,R
316,292.,Burleigh Grimes+ (34),25,1928,R
317,292.,Lefty Grove+ (32),25,1932,L
318,292.,Ron Guidry (27),25,1978,L
319,292.,Hardie Henderson (22),25,1885,R
320,292.,Bill Hoffer (25),25,1896,R
321,292.,Nat Hudson (19),25,1888,R
322,292.,Mickey Hughes (21),25,1888,R
323,292.,Catfish Hunter+ (28),25,1974,R
324,292.,Fergie Jenkins+ (31),25,1974,R
325,292.,Walter Johnson+ (22),25,1910,R
326,292.,Walter Johnson+ (23),25,1911,R
327,292.,Walter Johnson+ (28),25,1916,R
328,292.,Jim Kaat (27),25,1966,L
329,292.,Brickyard Kennedy (25),25,1893,R
330,292.,Ed Killian (30),25,1907,L
331,292.,Sandy Koufax+ (27),25,1963,L
332,292.,Gus Krock (22),25,1888,R
