,Rank,Player (age that year),Putouts as OF,Year,Throws
389,388.,Curt Flood (24),387,1962,R
390,388.,Ken Griffey Jr.+ (29),387,1999,L
391,388.,Darryl Hamilton (31),387,1996,R
392,388.,Torii Hunter (31),387,2007,R
393,388.,Rick Manning (27),387,1982,R
394,388.,Wally Moon (24),387,1954,R
395,388.,Sam Rice+ (32),387,1922,R
396,388.,Bill Virdon (25),387,1956,R
397,388.,Preston Wilson (25),387,2000,R
398,399.,George Burns (32),386,1922,R
399,399.,Dom DiMaggio (24),386,1941,R
400,399.,Curt Flood (30),386,1968,R
401,399.,Cesar Geronimo (28),386,1976,L
402,399.,George Hendrick (27),386,1977,R
403,399.,Brian Hunter (27),386,1998,R
404,399.,Lee Mazzilli (22),386,1977,R
405,399.,Lee Mazzilli (23),386,1978,R
406,399.,Hi Myers (31),386,1920,R
407,399.,Terry Puhl (21),386,1978,R
408,399.,Reggie Smith (26),386,1971,R
409,410.,Wally Berger (28),385,1934,R
410,410.,Melky Cabrera (22),385,2007,L
411,410.,Joe Carter (30),385,1990,R
412,410.,Doc Cramer (28),385,1934,R
413,410.,Joe DiMaggio+ (26),385,1941,R
414,410.,Happy Felsch (28),385,1920,R
415,410.,Steve Finley (31),385,1996,L
416,410.,Doug Glanville (28),385,1999,R
417,410.,Goose Goslin+ (24),385,1925,R
418,410.,Curtis Granderson (25),385,2006,R
419,410.,Dave Henderson (30),385,1989,R
420,410.,Freddy Leach (29),385,1927,R
421,410.,Willie Mays+ (30),385,1961,R
422,410.,Willie McGee (24),385,1983,R
423,410.,Amos Otis (32),385,1979,R
424,410.,Jim Rivera (31),385,1953,L
425,426.,Wally Berger (30),384,1936,R
426,426.,George Case (24),384,1940,R
427,426.,Nelson Mathews (22),384,1964,R
428,426.,Nate McLouth (26),384,2008,R
429,426.,Ben Oglivie (31),384,1980,L
430,426.,Mickey Rivers (29),384,1978,L
431,426.,Bobby Veach (33),384,1921,R
432,426.,Bill Virdon (30),384,1961,R
433,426.,Willie Wilson (23),384,1979,R
434,435.,Earl Averill+ (27),383,1929,R
435,435.,Michael Bourn (29),383,2012,R
436,435.,Vince DiMaggio (29),383,1942,R
437,435.,Austin Jackson (23),383,2010,R
438,435.,Wally Judnich (25),383,1941,L
439,435.,Garry Maddox (27),383,1977,R
440,435.,Terry Moore (28),383,1940,R
441,435.,Jeremy Reed (24),383,2005,L
442,435.,Mike Trout (22),383,2014,R
443,435.,Vernon Wells (24),383,2003,R
444,435.,Willie Wilson (28),383,1984,R
445,446.,Brady Anderson (28),382,1992,L
446,446.,Wally Berger (27),382,1933,R
447,446.,Dave Henderson (29),382,1988,R
448,446.,Ralph Kiner+ (25),382,1948,R
449,446.,Darren Lewis (30),382,1998,R
450,446.,Terrence Long (26),382,2002,L
451,446.,Willie McGee (26),382,1985,R
452,446.,Bobby Murcer (26),382,1972,R
453,446.,Amos Otis (31),382,1978,R
454,446.,Grady Sizemore (25),382,2008,L
455,446.,Duke Snider+ (24),382,1951,R
456,446.,Moose Solters (29),382,1935,R
457,446.,Tom Umphlett (22),382,1953,R
458,446.,Melvin Upton Jr. (26),382,2011,R
459,446.,Cy Williams (33),382,1921,L
460,446.,Jim Wynn (23),382,1965,R
461,462.,Augie Galan (24),381,1936,R
462,462.,Ron LeFlore (28),381,1976,R
463,462.,Fred Lynn (27),381,1979,L
464,462.,Dave Philley (28),381,1948,R
465,462.,Burt Shotton (27),381,1912,R
466,462.,Ichiro Suzuki (31),381,2005,R
467,462.,Bill Tuttle (30),381,1960,R
468,462.,Vernon Wells (23),381,2002,R
469,462.,Bernie Williams (30),381,1999,R
470,471.,Garret Anderson (28),380,2000,L
471,471.,Eric Davis (25),380,1987,R
472,471.,Jacoby Ellsbury (30),380,2014,L
473,471.,Doug Glanville (29),380,2000,R
474,471.,Chick Hafey+ (31),380,1934,R
475,471.,Ender Inciarte (27),380,2018,L
476,471.,Austin Kearns (27),380,2007,R
477,471.,Hal Lee (27),380,1932,R
478,471.,Bobby Murcer (27),380,1973,R
479,471.,Al Oliver (28),380,1975,L
480,471.,Sam Rice+ (31),380,1921,R
481,471.,Mickey Rivers (28),380,1977,L
482,471.,Drew Stubbs (25),380,2010,R
483,471.,Roy White (32),380,1976,R
484,471.,Hack Wilson+ (29),380,1929,R
485,471.,Robin Yount+ (31),380,1987,R
486,487.,Felipe Alou (33),379,1968,R
487,487.,Willie Davis (22),379,1962,L
488,487.,Juan Gonzalez (22),379,1992,R
489,487.,Rickey Henderson+ (23),379,1982,L
490,487.,Austin Jackson (24),379,2011,R
491,487.,Adam Jones (25),379,2011,R
492,487.,Mike Kreevich (30),379,1938,R
493,487.,Rick Manning (25),379,1980,R
494,487.,Juan Pierre (28),379,2006,L
495,487.,Denard Span (29),379,2013,L
496,497.,Carlos Beltran (28),378,2005,R
497,497.,Austin Jackson (27),378,2014,R
498,497.,Baby Doll Jacobson (30),378,1921,R
499,497.,Andruw Jones (29),378,2006,R
