,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
296,292.,Tom Glavine+ (25),9.2,1991,L
297,292.,Lefty Grove+ (32),9.2,1932,L
298,292.,Lefty Grove+ (37),9.2,1937,L
299,292.,Shoeless Joe Jackson (23),9.2,1911,L
300,292.,Reggie Jackson+ (23),9.2,1969,L
301,292.,Stan Musial+ (25),9.2,1946,L
302,292.,Albert Pujols (28),9.2,2008,R
303,292.,Scott Rolen (29),9.2,2004,R
304,292.,Reb Russell (24),9.2,1913,L
305,292.,Max Scherzer (33),9.2,2018,R
306,292.,Duke Snider+ (26),9.2,1953,L
307,292.,Ichiro Suzuki (30),9.2,2004,L
308,292.,George Uhle (27),9.2,1926,R
309,292.,Honus Wagner+ (35),9.2,1909,R
310,292.,John Ward+ (19),9.2,1879,L
311,312.,Hank Aaron+ (29),9.1,1963,R
312,312.,Pete Alexander+ (27),9.1,1914,R
313,312.,Cody Bellinger (23),9.1,2019,L
314,312.,Wade Boggs+ (27),9.1,1985,L
315,312.,George Bradley (23),9.1,1876,R
316,312.,Alex Bregman (25),9.1,2019,R
317,312.,Theodore Breitenstein (25),9.1,1894,L
318,312.,Kevin Brown (33),9.1,1998,R
319,312.,Mordecai Brown+ (31),9.1,1908,B
320,312.,Eddie Collins+ (27),9.1,1914,L
321,312.,Jesse Duryea (29),9.1,1889,R
322,312.,Ken Griffey Jr.+ (27),9.1,1997,L
323,312.,Bill Hutchison (32),9.1,1892,R
324,312.,Tim Keefe+ (31),9.1,1888,R
325,312.,Willie Mays+ (24),9.1,1955,R
326,312.,Stan Musial+ (28),9.1,1949,L
327,312.,Al Orth (33),9.1,1906,L
328,312.,Warren Spahn+ (32),9.1,1953,L
329,312.,Jack Stivetts (23),9.1,1891,R
330,312.,Ed Walsh+ (30),9.1,1911,R
331,312.,Ted Williams+ (30),9.1,1949,L
332,333.,Barry Bonds (27),9.0,1992,L
333,333.,Jim Bunning+ (34),9.0,1966,R
334,333.,Eddie Collins+ (26),9.0,1913,L
335,333.,Darrell Evans (26),9.0,1973,L
336,333.,Jimmie Foxx+ (25),9.0,1933,R
337,333.,Pud Galvin+ (22),9.0,1879,R
