,Rank,Player (age that year),On-Base Plus Slugging,Year,Bats
394,395.,Ken Williams (35),1.0034,1925,L
395,396.,Paul Molitor+ (30),1.0032,1987,R
396,397.,Travis Hafner (28),1.0030,2005,L
397,398.,Hank Aaron+ (35),1.0029,1969,R
398,398.,Mo Vaughn (28),1.0029,1996,L
399,400.,Willie Keeler+ (25),1.0027,1897,L
400,400.,Reggie Smith (32),1.0027,1977,B
401,402.,Joe Kelley+ (23),1.0025,1895,R
402,403.,Jim Edmonds (33),1.0024,2003,L
403,404.,Willie Mays+ (27),1.0023,1958,R
404,404.,Frank Robinson+ (24),1.0023,1960,R
405,406.,Jesse Burkett+ (27),1.0020,1896,L
406,407.,Sammy Sosa (30),1.0018,1999,R
407,408.,Edgar Martinez+ (37),1.0017,2000,R
408,409.,Jim Thome+ (26),1.0013,1997,L
409,410.,Edgar Martinez+ (36),1.0012,1999,R
410,411.,Jesse Burkett+ (26),1.0009,1895,L
411,411.,David Ortiz (29),1.0009,2005,L
412,413.,Jim Hickman (33),1.0007,1970,R
413,413.,Chris Hoiles (28),1.0007,1993,R
414,415.,Juan Gonzalez (23),1.0004,1993,R
415,416.,Joey Votto (31),1.0003,2015,L
416,417.,Ty Cobb+ (26),1.0002,1913,L
417,418.,Gary Sheffield (32),1.0000,2001,R
418,418.,Christian Yelich (26),1.0000,2018,L
419,420.,Charlie Blackmon (30),.9998,2017,L
420,421.,Freddie Lindstrom+ (24),.9994,1930,R
421,422.,Jack Fournier (33),.9993,1923,L
422,423.,Miguel Cabrera (29),.9992,2012,R
423,424.,Milton Bradley (30),.9990,2008,B
424,424.,Willie Mays+ (31),.9990,1962,R
425,426.,Pedro Guerrero (29),.9987,1985,R
426,427.,John Olerud (29),.9985,1998,L
427,428.,Johnny Mize+ (34),.9984,1947,L
428,429.,Miguel Cabrera (23),.9982,2006,R
429,429.,Ralph Kiner+ (27),.9982,1950,R
430,431.,Roger Connor+ (32),.9978,1890,B
431,432.,Jim Thome+ (27),.9975,1998,L
432,433.,Tuck Turner (27),.9973,1894,B
433,433.,Bernie Williams (29),.9973,1998,B
434,435.,Duke Snider+ (29),.9972,1956,L
435,436.,Tommy Holmes (28),.9968,1945,L
436,437.,Cap Anson+ (42),.9967,1894,R
437,437.,Albert Pujols (27),.9967,2007,R
438,439.,Juan Gonzalez (28),.9966,1998,R
439,440.,Dale Murphy (31),.9965,1987,R
440,441.,Charlie Keller (24),.9963,1941,L
441,442.,Ray Lankford (30),.9956,1997,L
442,442.,Jim Thome+ (24),.9956,1995,L
443,444.,Rogers Hornsby+ (35),.9955,1931,R
444,444.,Alex Rodriguez (27),.9955,2003,R
445,446.,Rudy York (24),.9954,1938,R
446,447.,Bobby Abreu (25),.9951,1999,L
447,448.,Reggie Jackson+ (34),.9949,1980,L
448,449.,Jose Bautista (29),.9946,2010,R
449,450.,Hal Trosky (26),.9945,1939,L
450,451.,Ryan Braun (27),.9943,2011,R
451,452.,Jim Edmonds (30),.9941,2000,L
452,453.,Joe DiMaggio+ (33),.9938,1948,R
453,453.,Brian Giles (30),.9938,2001,L
454,455.,John McGraw+ (26),.9936,1899,L
455,456.,Mo Vaughn (30),.9935,1998,L
456,457.,Harry Heilmann+ (35),.9934,1930,R
457,457.,Bob Johnson (33),.9934,1939,R
458,459.,Edgar Martinez+ (35),.9933,1998,R
459,460.,Travis Hafner (27),.9931,2004,L
460,460.,Jose Ramirez (27),.9931,2020,B
461,460.,Mike Trout (28),.9931,2020,R
462,463.,Rudy York (26),.9930,1940,R
463,464.,Jimmie Foxx+ (32),.9929,1940,R
464,464.,Sammy Sosa (33),.9929,2002,R
465,466.,Roger Maris (26),.9928,1961,L
466,467.,Dominic Smith (25),.9927,2020,L
467,468.,Hack Wilson+ (28),.9925,1928,R
468,469.,Paul Waner+ (25),.9924,1928,L
469,470.,Rico Petrocelli (26),.9919,1969,R
470,471.,Fred Clarke+ (24),.9918,1897,L
471,471.,Nelson Cruz (39),.9918,2020,R
472,473.,Denny Lyons (24),.9916,1890,R
473,474.,Jim Bottomley+ (25),.9915,1925,L
474,475.,Eric Davis (25),.9914,1987,R
475,476.,Mike Trout (23),.9913,2015,R
476,477.,Andres Galarraga (37),.9912,1998,R
477,478.,Tony Lazzeri+ (25),.9910,1929,R
478,479.,Mike Trout (24),.9906,2016,R
479,480.,Bill Dahlen (26),.9905,1896,R
480,481.,Tony Perez+ (28),.9903,1970,R
481,482.,Chick Hafey+ (24),.9901,1927,R
482,483.,Chick Hafey+ (25),.9900,1928,R
483,483.,Ken Williams (31),.9900,1921,L
484,485.,Willie Mays+ (33),.9898,1964,R
485,486.,Stan Musial+ (23),.9897,1944,L
486,486.,Danny Tartabull (28),.9897,1991,R
487,488.,Wally Berger (24),.9896,1930,R
488,488.,Rogers Hornsby+ (24),.9896,1920,R
489,490.,Moises Alou (27),.9894,1994,R
490,491.,Derek Jeter+ (25),.9893,1999,R
491,492.,Vladimir Guerrero+ (29),.9892,2004,R
492,493.,Freddie Freeman (27),.9891,2017,L
493,494.,Heinie Manush+ (26),.9888,1928,L
494,495.,Andy Pafko (29),.9887,1950,R
495,496.,Heinie Zimmerman (25),.9886,1912,R
496,497.,Cy Seymour (32),.9884,1905,L
497,497.,Mike Trout (21),.9884,2013,R
498,499.,Dan Brouthers+ (29),.9883,1887,L
499,500.,Larry Walker+ (28),.9881,1995,L
