,Rank,Player (age that year),Range Factor/9Inn as CF (s.1948),Year,Throws
291,291.,Ruppert Jones (28),2.952,1983,L
292,291.,Mookie Wilson (26),2.952,1982,R
293,294.,Boots Day (23),2.951,1971,L
294,295.,Aaron Rowand (30),2.950,2008,R
295,295.,Ernie Young (26),2.950,1996,R
296,297.,Lyman Bostock (25),2.949,1976,R
297,298.,Mookie Wilson (27),2.948,1983,R
298,299.,Alex Cole (28),2.947,1994,L
299,299.,Lance Johnson (27),2.947,1991,L
300,301.,Ken Berry (30),2.946,1971,R
301,302.,Ryan Thompson (26),2.945,1994,R
302,303.,Vic Davalillo (23),2.944,1963,L
303,304.,Chet Lemon (30),2.943,1985,R
304,305.,Ruppert Jones (26),2.942,1981,L
305,306.,Rick Miller (30),2.941,1978,L
306,306.,Andy Van Slyke (28),2.941,1989,R
307,308.,Andre Dawson+ (25),2.940,1980,R
308,308.,Joe DiMaggio+ (33),2.940,1948,R
309,308.,Ramon Laureano (25),2.940,2020,R
310,308.,Darren Lewis (30),2.940,1998,R
311,312.,Gorman Thomas (28),2.938,1979,R
312,313.,Jim Landis (27),2.937,1961,R
313,313.,Corey Patterson (26),2.937,2006,R
314,313.,Ken Williams (23),2.937,1987,R
315,316.,Todd Dunwoody (23),2.936,1998,L
316,317.,Mike Cameron (25),2.935,1998,R
317,318.,Nook Logan (25),2.934,2005,R
318,319.,Mookie Wilson (28),2.933,1984,R
319,320.,Johnny Damon (31),2.931,2005,L
320,321.,Bill Bruton (36),2.930,1962,R
321,321.,Lance Johnson (28),2.930,1992,L
322,323.,Garry Maddox (27),2.929,1977,R
323,323.,Willy Taveras (27),2.929,2009,R
324,325.,Andre Dawson+ (27),2.928,1982,R
325,326.,Rick Monday (30),2.927,1976,L
326,327.,Gorman Thomas (29),2.926,1980,R
327,327.,Milt Thompson (27),2.926,1986,R
328,329.,Brian Hunter (27),2.925,1998,R
329,329.,Randy Winn (28),2.925,2002,R
330,331.,Franklin Gutierrez (27),2.924,2010,R
331,331.,Odubel Herrera (23),2.924,2015,R
332,333.,Jim Busby (30),2.923,1957,R
333,333.,Del Unser (26),2.923,1971,L
334,335.,Bill Bruton (30),2.922,1956,R
335,336.,Rowland Office (25),2.921,1978,L
336,337.,Cesar Geronimo (25),2.920,1973,L
337,337.,Carlos Gomez (27),2.920,2013,R
338,339.,Mike Devereaux (28),2.919,1991,R
339,339.,Ray Lankford (25),2.919,1992,L
340,341.,Dan Gladden (26),2.918,1984,R
341,341.,Darren Lewis (25),2.918,1993,R
342,341.,Randy Winn (30),2.918,2004,R
343,344.,Willie McGee (31),2.917,1990,R
344,345.,Brett Butler (32),2.916,1989,L
345,345.,Cesar Geronimo (32),2.916,1980,L
346,347.,Jose Cruz (25),2.915,1999,R
347,348.,Darren Bragg (27),2.914,1997,R
348,349.,Dwayne Murphy (24),2.910,1979,R
349,350.,Bob Usher (26),2.909,1951,R
350,351.,Dave Collins (27),2.908,1980,L
351,352.,Milt Cuyler (23),2.907,1992,R
352,352.,Devon White (28),2.907,1991,R
353,354.,Adam Engel (25),2.906,2017,R
354,354.,Devon White (26),2.906,1989,R
355,356.,Eddie Milner (31),2.904,1986,L
356,357.,Cesar Cedeno (23),2.903,1974,R
357,357.,George Hendrick (24),2.903,1974,R
358,357.,Ichiro Suzuki (33),2.903,2007,R
359,360.,Jackie Bradley Jr. (24),2.902,2014,R
360,360.,Grady Sizemore (26),2.902,2009,L
361,362.,Rick Manning (25),2.901,1980,R
362,362.,Gary Matthews (32),2.901,2007,R
363,364.,Mitch Maier (27),2.899,2009,R
364,364.,Robin Yount+ (30),2.899,1986,R
365,366.,Rajai Davis (27),2.898,2008,R
366,366.,Adam Engel (26),2.898,2018,R
367,368.,Mike Cameron (36),2.897,2009,R
368,369.,Dom DiMaggio (33),2.896,1950,R
369,370.,Hal Jeffcoat (27),2.894,1952,R
370,370.,Otis Nixon (37),2.894,1996,R
371,372.,Richie Ashburn+ (23),2.893,1950,R
372,372.,Paul Blair (31),2.893,1975,R
373,372.,Darin Erstad (27),2.893,2001,L
374,372.,Denard Span (28),2.893,2012,L
375,376.,Jim Delsing (27),2.892,1953,R
376,377.,Ron LeFlore (30),2.891,1978,R
377,378.,Gary Pettis (31),2.889,1989,R
378,378.,Gary Pettis (33),2.889,1991,R
379,380.,Cesar Geronimo (29),2.888,1977,L
380,381.,Byron Buxton (25),2.887,2019,R
381,381.,Dave Martinez (25),2.887,1990,L
382,383.,Rich Becker (23),2.886,1995,L
383,384.,Harry Simpson (29),2.885,1955,R
384,385.,Derek Bell (24),2.884,1993,R
385,385.,Doug Glanville (30),2.884,2001,R
386,387.,Bill Virdon (27),2.883,1958,R
387,388.,Al Bumbry (36),2.882,1983,R
388,388.,Mike Cameron (29),2.882,2002,R
389,390.,Fred Lynn (27),2.881,1979,L
390,390.,Jim Piersall (29),2.881,1959,R
391,390.,Willie Wilson (30),2.881,1986,R
392,393.,Devon White (30),2.880,1993,R
393,394.,Damon Buford (27),2.879,1997,R
394,395.,Franklin Gutierrez (28),2.878,2011,R
395,395.,Von Hayes (26),2.878,1985,R
396,397.,Bob Dernier (28),2.877,1985,R
397,398.,David DeJesus (24),2.876,2004,L
398,398.,Junior Felix (24),2.876,1992,R
399,398.,Frank Thomas (25),2.876,1954,R
400,401.,Aaron Hicks (23),2.875,2013,R
401,401.,Gabe Kapler (24),2.875,2000,R
402,401.,Chet Lemon (31),2.875,1986,R
403,401.,Dave May (27),2.875,1971,R
404,405.,Paul Blair (28),2.874,1972,R
405,405.,Mark Kotsay (27),2.874,2003,L
406,405.,Jim Russell (29),2.874,1948,R
407,408.,Ben Revere (25),2.873,2013,R
408,408.,Mike Trout (23),2.873,2015,R
409,410.,Darryl Hamilton (30),2.872,1995,R
410,411.,Joe Wallis (26),2.871,1978,R
411,412.,Brian Anderson (24),2.870,2006,R
412,412.,Robin Yount+ (37),2.870,1993,R
413,414.,Larry Herndon (24),2.869,1978,R
414,414.,Bake McBride (25),2.869,1974,R
415,416.,Mickey Stanley (30),2.868,1973,R
416,416.,George Wright (24),2.868,1983,R
417,418.,Mickey Mantle+ (21),2.867,1953,R
418,418.,Bill Tuttle (27),2.867,1957,R
419,420.,Carlos Beltran (30),2.866,2007,R
420,420.,Al Bumbry (30),2.866,1977,R
421,420.,Darren Lewis (27),2.866,1995,R
422,423.,Andre Dawson+ (23),2.864,1978,R
423,424.,Curt Flood (23),2.863,1961,R
424,424.,Vada Pinson (20),2.863,1959,L
425,426.,Jackie Brandt (30),2.862,1964,R
