,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
264,265.,Babe Adams (29),1.0057,1911,R
265,265.,Gary Nolan (24),1.0057,1972,R
266,265.,Hank Robinson (24),1.0057,1912,L
267,265.,Hippo Vaughn (30),1.0057,1918,L
268,269.,Nolan Ryan+ (44),1.0058,1991,R
269,270.,Dean Chance (23),1.0060,1964,R
270,271.,Hisashi Iwakuma (32),1.0061,2013,R
271,271.,Kid Madden (20),1.0061,1888,L
272,273.,Orval Overall (26),1.0062,1907,R
273,274.,Walter Johnson+ (28),1.0063,1916,R
274,275.,Doc White (26),1.0064,1905,L
275,276.,Chris Carpenter (34),1.0069,2009,R
276,277.,Hyun Jin Ryu (32),1.0073,2019,L
277,278.,Bill Singer (25),1.0074,1969,R
278,278.,Whit Wyatt (35),1.0074,1943,R
279,280.,Madison Bumgarner (25),1.0076,2015,L
280,281.,Jesse Barnes (26),1.0079,1919,R
281,281.,Roger Clemens (42),1.0079,2005,R
282,283.,Fergie Jenkins+ (31),1.0081,1974,R
283,284.,John Clarkson+ (22),1.0085,1884,R
284,284.,Dave Davenport (25),1.0085,1915,R
285,286.,Scott Garrelts (27),1.0086,1989,R
286,287.,Rick Porcello (27),1.0090,2016,R
287,288.,Catfish Hunter+ (29),1.0091,1975,R
288,288.,George Winter (29),1.0091,1907,R
289,290.,Randy Johnson+ (37),1.0093,2001,L
290,291.,Peek-A-Boo Veach (22),1.0096,1884,R
291,292.,Bob Caruthers (21),1.0097,1885,R
292,292.,Larry Gura (33),1.0097,1981,L
293,294.,Rube Marquard+ (29),1.0098,1916,L
294,295.,Jered Weaver (28),1.0099,2011,R
295,296.,Pete Alexander+ (30),1.0103,1917,R
296,297.,Dick Bosman (25),1.0104,1969,R
297,298.,Cliff Lee (34),1.0105,2013,L
298,299.,Vic Willis+ (32),1.0109,1908,R
299,300.,Greg Maddux+ (26),1.0112,1992,R
300,301.,Art Nehf (24),1.0114,1917,L
301,302.,Frank Miller (33),1.0116,1919,R
302,303.,Roger Wolff (34),1.0120,1945,R
303,304.,Garland Braxton (28),1.0122,1928,L
304,305.,Jeff Tesreau (27),1.0131,1915,R
305,305.,Doc White (30),1.0131,1909,L
306,307.,Ed Walsh+ (26),1.0134,1907,R
307,308.,Eddie Plank+ (32),1.0136,1908,L
308,309.,Ed Reulbach (23),1.0138,1906,R
309,310.,Tom Seaver+ (32),1.0140,1977,R
310,311.,Deacon Phillippe (33),1.0143,1905,R
311,312.,Smoky Joe Wood (22),1.0145,1912,R
312,313.,Don Sutton+ (36),1.0147,1981,R
313,314.,Old Hoss Radbourn+ (27),1.0150,1882,R
314,315.,Stephen Strasburg (28),1.0152,2017,R
315,316.,Jerry Reuss (31),1.0160,1980,L
316,317.,Jon Lester (32),1.0164,2016,L
317,318.,Dallas Keuchel (27),1.0172,2015,L
318,318.,Bob Tewksbury (31),1.0172,1992,R
319,320.,Fritz Peterson (26),1.0173,1968,L
320,321.,Frank Mountain (24),1.0176,1884,R
321,322.,Jered Weaver (29),1.0177,2012,R
322,323.,Frank Arellanes (27),1.0188,1909,R
323,324.,Matt Harvey (26),1.0194,2015,R
324,325.,Randy Johnson+ (35),1.0196,1999,L
325,325.,Christy Mathewson+ (32),1.0196,1913,R
