,Rank,Player (age that year),Passed Balls,Year,Throws
339,333.,Jesse Gonder (28),21,1964,R
340,333.,Fran Healy (27),21,1974,R
341,333.,Chad Kreuter (24),21,1989,R
342,333.,Jack O'Connor (27),21,1893,R
343,333.,Jack O'Connor (29),21,1895,R
344,333.,Lance Parrish (23),21,1979,R
345,333.,Whitey Ritterson (21),21,1876,R
346,333.,Wilin Rosario (23),21,2012,R
347,333.,Pop Schriver (27),21,1893,R
348,333.,Billy Sullivan (25),21,1900,R
349,333.,Gus Triandos (30),21,1961,R
350,333.,Jack Warner (26),21,1899,R
351,352.,Doug Allison (31),20,1878,R
352,352.,Marty Bergen (25),20,1897,R
353,352.,Dick Dietz (29),20,1971,R
354,352.,Jack Doyle (23),20,1893,R
355,352.,Rick Ferrell+ (38),20,1944,R
356,352.,Will Foley (22),20,1878,R
357,352.,Bill Freehan (23),20,1965,R
358,352.,Jason LaRue (28),20,2002,R
359,352.,Phil Nevin (27),20,1998,R
360,352.,Geno Petralli (28),20,1988,R
361,352.,Geno Petralli (30),20,1990,R
362,352.,Luis Pujols (26),20,1982,R
363,352.,Ellie Rodriguez (28),20,1974,R
364,352.,Don Slaught (28),20,1987,R
365,352.,Jack Warner (24),20,1897,R
366,352.,Parke Wilson (27),20,1895,R
367,368.,Mark Bailey (23),19,1985,R
368,368.,Bob Boone (25),19,1973,R
369,368.,Boileryard Clarke (29),19,1898,R
370,368.,Duke Farrell (28),19,1895,R
371,368.,Rick Ferrell+ (33),19,1939,R
372,368.,Will Foley (20),19,1876,R
373,368.,Geronimo Gil (26),19,2002,R
374,368.,Ed Herrmann (22),19,1969,R
375,368.,Mike Kahoe (27),19,1901,R
376,368.,King Kelly+ (35),19,1893,R
377,368.,Mike Lawlor (26),19,1880,R
378,368.,Russell Martin (32),19,2015,R
379,368.,Ed McFarland (22),19,1896,R
380,368.,Ed McFarland (23),19,1897,R
381,368.,Lance Parrish (35),19,1991,R
382,368.,Doc Powers (30),19,1901,R
383,368.,Hank Severeid (26),19,1917,R
384,368.,Ed Sweeney (24),19,1913,R
385,368.,Chief Zimmer (31),19,1892,R
386,387.,Sam Agnew (27),18,1914,R
387,387.,Earl Battey (25),18,1960,R
388,387.,Johnny Bench+ (20),18,1968,R
389,387.,Frank Bowerman (30),18,1899,R
390,387.,Roger Bresnahan+ (26),18,1905,R
391,387.,Harry Chiti (25),18,1958,R
392,387.,Al Evans (29),18,1946,R
393,387.,Joe Ferguson (26),18,1973,R
394,387.,Ryan Hanigan (35),18,2016,R
395,387.,Brian Harper (33),18,1993,R
396,387.,John Henry (26),18,1916,R
397,387.,Ed Herrmann (25),18,1972,R
398,387.,Mike Kahoe (26),18,1900,R
399,387.,Malachi Kittridge (22),18,1892,R
400,387.,Johnny Kling (26),18,1902,R
401,387.,Connie Mack+ (31),18,1894,R
402,387.,Milt May (24),18,1975,R
403,387.,Tim McCarver (23),18,1965,R
404,387.,Tim McCarver (29),18,1971,R
405,387.,Jorge Posada (30),18,2001,R
406,387.,Charlie Reilley (24),18,1880,R
407,387.,Wilbert Robinson+ (36),18,1900,R
408,387.,Gary Sanchez (25),18,2018,R
409,387.,Donnie Scott (22),18,1984,R
410,387.,Ted Simmons+ (21),18,1971,R
411,387.,Mike Stanley (24),18,1987,R
412,387.,Mike Stanley (33),18,1996,R
413,387.,Josh Thole (25),18,2012,R
414,387.,Jason Varitek (26),18,1998,R
415,416.,Fred Abbott (28),17,1903,R
416,416.,Sam Agnew (28),17,1915,R
417,416.,Earl Averill (29),17,1961,R
418,416.,Joe Azcue (27),17,1967,R
419,416.,Joe Azcue (30),17,1970,R
420,416.,Mark Bailey (22),17,1984,R
421,416.,Ron Brand (25),17,1965,R
422,416.,Roger Bresnahan+ (29),17,1908,R
423,416.,Harry Chiti (22),17,1955,R
424,416.,Boileryard Clarke (24),17,1893,R
425,416.,Jack Clements (28),17,1893,L
426,416.,Jack Clements (33),17,1898,L
427,416.,Dave Duncan (27),17,1973,R
428,416.,Jake Early (26),17,1941,R
429,416.,Ted Easterly (29),17,1914,R
430,416.,Rick Ferrell+ (34),17,1940,R
431,416.,Ray Fosse (23),17,1970,R
432,416.,Mike Grady (24),17,1894,R
433,416.,James Haley,17,1880,R
434,416.,Tom Haller (28),17,1965,R
435,416.,Tom Haller (29),17,1966,R
