,Rank,Player (age that year),Range Factor/Game as CF (s.1901),Year,Throws
175,176.,Bobby Del Greco (27),2.932,1960,R
176,176.,Tom Oliver (28),2.932,1931,R
177,178.,Carlos Beltran (26),2.931,2003,R
178,178.,Mike Cameron (24),2.931,1997,R
179,180.,Danny Taylor (31),2.930,1932,R
180,181.,Mel Almada (24),2.929,1937,L
181,181.,Rocco Baldelli (21),2.929,2003,R
182,181.,Elliott Maddox (26),2.929,1974,R
183,184.,Dwayne Murphy (30),2.927,1985,R
184,184.,Ray Powell (33),2.927,1922,R
185,186.,Bobby Brown (26),2.926,1980,R
186,186.,Andruw Jones (24),2.926,2001,R
187,188.,Jim Piersall (25),2.925,1955,R
188,189.,Kiddo Davis (30),2.924,1932,R
189,189.,Kirby Puckett+ (28),2.924,1988,R
190,191.,Happy Felsch (28),2.923,1920,R
191,191.,Bobby Thomson (25),2.923,1949,R
192,193.,Darrin Jackson (28),2.921,1992,R
193,194.,Ken Henderson (29),2.920,1975,R
194,194.,Hi Myers (34),2.920,1923,R
195,194.,Edd Roush+ (25),2.920,1918,L
196,197.,George Metkovich (23),2.916,1944,L
197,198.,Max Carey+ (35),2.915,1925,R
198,198.,Lenny Dykstra (31),2.915,1994,L
199,198.,Al Simmons+ (23),2.915,1925,R
200,201.,Ruppert Jones (26),2.914,1981,L
201,201.,Eddie Milner (28),2.914,1983,L
202,203.,Dain Clay (24),2.913,1944,R
203,203.,Adam Jones (24),2.913,2010,R
204,205.,Otis Nixon (33),2.912,1992,R
205,206.,Bill Virdon (28),2.910,1959,R
206,207.,Rich Becker (24),2.909,1996,L
207,207.,Vic Davalillo (23),2.909,1963,L
208,207.,Clyde Vollmer (27),2.909,1949,R
209,210.,Chuck Diering (31),2.908,1954,R
210,210.,Bernie Neis (27),2.908,1923,R
211,212.,Tris Speaker+ (25),2.907,1913,L
212,213.,Lorenzo Cain (29),2.904,2015,R
213,213.,Tom Umphlett (22),2.904,1953,R
214,215.,Ray Lankford (25),2.902,1992,L
215,215.,Lloyd Waner+ (22),2.902,1928,R
216,217.,Chad Curtis (24),2.901,1993,R
217,217.,Bill Virdon (26),2.901,1957,R
218,219.,Doc Cramer (29),2.899,1935,R
219,219.,Jim Landis (27),2.899,1961,R
220,219.,Brian McRae (24),2.899,1992,R
221,222.,Andre Dawson+ (27),2.898,1982,R
222,223.,Brett Butler (30),2.897,1987,L
223,223.,Joe DiMaggio+ (24),2.897,1939,R
224,223.,Denny Sothern (24),2.897,1928,R
225,226.,Ken Henderson (28),2.895,1974,R
226,227.,Taylor Douthit (31),2.894,1932,R
227,227.,Ruppert Jones (24),2.894,1979,L
228,227.,Kevin Pillar (26),2.894,2015,R
229,230.,Tris Speaker+ (26),2.892,1914,L
230,231.,Joe Carter (28),2.891,1988,R
231,231.,Bill North (28),2.891,1976,R
232,231.,Dode Paskert (31),2.891,1913,R
233,234.,Jigger Statz (24),2.890,1922,R
234,235.,Chet Lemon (30),2.889,1985,R
235,235.,Gary Pettis (30),2.889,1988,R
236,237.,Mandy Brooks (27),2.888,1925,R
237,237.,Gorman Thomas (32),2.888,1983,R
238,239.,Lorenzo Cain (31),2.887,2017,R
239,240.,Jim Russell (28),2.885,1947,R
240,241.,Tony Armas (23),2.884,1977,R
241,242.,Byron Buxton (23),2.883,2017,R
242,242.,Jim Piersall (31),2.883,1961,R
243,244.,Coco Crisp (27),2.882,2007,R
244,244.,Fred Lynn (23),2.882,1975,L
245,244.,Amos Otis (31),2.882,1978,R
246,244.,Gorman Thomas (28),2.882,1979,R
247,248.,Gorman Thomas (29),2.881,1980,R
248,249.,Whitey Lockman (21),2.880,1948,R
249,249.,Rondell White (26),2.880,1998,R
250,251.,Richie Ashburn+ (28),2.879,1955,R
251,251.,Juan Beniquez (24),2.879,1974,R
252,253.,Torii Hunter (24),2.878,2000,R
253,254.,Ron LeFlore (30),2.877,1978,R
254,254.,Garry Maddox (28),2.877,1978,R
255,256.,Chuck Carr (26),2.875,1994,R
256,257.,Oddibe McDowell (22),2.874,1985,L
257,258.,Kiki Cuyler+ (27),2.873,1926,R
258,258.,Dave Henderson (31),2.873,1990,R
259,258.,Kirby Puckett+ (29),2.873,1989,R
260,258.,Robin Yount+ (32),2.873,1988,R
261,262.,Mule Haas (28),2.872,1932,R
262,262.,Kevin Kiermaier (25),2.872,2015,R
263,264.,Tony Armas (29),2.871,1983,R
264,264.,Chuck Carr (25),2.871,1993,R
265,264.,Chet Lemon (24),2.871,1979,R
266,267.,Luis Matos (24),2.868,2003,R
267,268.,Ira Flagstead (32),2.867,1926,R
268,268.,Ender Inciarte (25),2.867,2016,L
269,270.,Rick Peters (24),2.866,1980,R
270,271.,Devon White (28),2.865,1991,R
271,272.,Devon White (26),2.864,1989,R
272,273.,Chet Lemon (28),2.861,1983,R
273,273.,Jerry Mumphrey (28),2.861,1981,R
274,275.,Garry Maddox (30),2.860,1980,R
275,275.,Hi Myers (29),2.860,1918,R
276,277.,Al Bumbry (35),2.857,1982,R
277,277.,Doc Cramer (30),2.857,1936,R
278,277.,Ryan Thompson (26),2.857,1994,R
279,277.,George Wright (24),2.857,1983,R
280,281.,Joe DiMaggio+ (33),2.855,1948,R
281,281.,Fred Lynn (28),2.855,1980,L
282,281.,Bill Sharp (25),2.855,1975,L
283,284.,Amos Otis (24),2.854,1971,R
284,285.,Tris Speaker+ (30),2.852,1918,L
285,285.,Tris Speaker+ (33),2.852,1921,L
286,287.,Lloyd Moseby (21),2.850,1981,R
287,288.,Baby Doll Jacobson (32),2.849,1923,R
288,288.,Wally Westlake (29),2.849,1950,R
289,290.,Jim Delsing (25),2.848,1951,R
290,291.,Rocco Baldelli (22),2.847,2004,R
291,291.,Cesar Cedeno (23),2.847,1974,R
292,291.,Jeremy Reed (24),2.847,2005,L
293,294.,Chet Lemon (21),2.846,1976,R
294,295.,Harry Rice (28),2.845,1930,R
295,295.,Mookie Wilson (27),2.845,1983,R
296,297.,Franklin Gutierrez (27),2.843,2010,R
297,298.,George Hendrick (27),2.841,1977,R
298,298.,Torii Hunter (27),2.841,2003,R
299,298.,Garry Maddox (27),2.841,1977,R
300,301.,Jim Russell (29),2.840,1948,R
301,302.,Ken Griffey Jr.+ (26),2.839,1996,L
302,302.,Bill Virdon (27),2.839,1958,R
303,304.,Goody Rosen (32),2.837,1945,L
304,304.,Roy Weatherly (25),2.837,1940,R
305,306.,Chili Davis (23),2.835,1983,R
306,306.,Johnny Frederick (29),2.835,1931,L
307,306.,Dan Gladden (26),2.835,1984,R
308,306.,Brian Hunter (27),2.835,1998,R
309,306.,Harry Rice (27),2.835,1929,R
310,311.,Randy Winn (28),2.833,2002,R
311,312.,Earle Combs+ (29),2.832,1928,R
312,313.,Cesar Geronimo (27),2.831,1975,L
313,313.,Tommy Holmes (27),2.831,1944,L
314,315.,Andre Dawson+ (25),2.830,1980,R
315,315.,Happy Felsch (27),2.830,1919,R
316,315.,Angel Pagan (28),2.830,2010,R
317,318.,Kenny Lofton (26),2.829,1993,L
318,318.,Andy Van Slyke (28),2.829,1989,R
319,320.,Andre Dawson+ (28),2.828,1983,R
320,320.,Lance Johnson (28),2.828,1992,L
321,320.,Rick Monday (30),2.828,1976,L
322,323.,Joe DiMaggio+ (26),2.827,1941,R
323,324.,Grady Sizemore (26),2.826,2009,L
