,Rank,Player (age that year),Batters Faced,Year,Throws
411,412.,Doc McJames (22),1448,1897,R
412,413.,Pete Alexander+ (33),1447,1920,R
413,414.,Bill Hill (21),1444,1896,L
414,415.,Christy Mathewson+ (23),1443,1904,R
415,416.,Bob Caruthers (23),1442,1887,R
416,417.,Urban Shocker (31),1441,1922,R
417,418.,Pete Alexander+ (24),1440,1911,R
418,418.,Billy Serad (22),1440,1884,R
419,418.,Cy Young+ (34),1440,1901,R
420,421.,John Kirby (21),1438,1886,R
421,422.,George Bradley (31),1437,1884,R
422,422.,Jack Powell (23),1437,1898,R
423,422.,Jack Taylor (30),1437,1904,R
424,422.,Mickey Welch+ (27),1437,1887,R
425,426.,Phil Niekro+ (40),1436,1979,R
426,427.,Pete Alexander+ (28),1435,1915,R
427,427.,Cy Young+ (37),1435,1904,R
428,429.,Joe McGinnity+ (31),1434,1902,R
429,430.,Charlie Buffinton (26),1431,1887,R
430,430.,Jim Conway (30),1431,1889,R
431,432.,Nig Cuppy (24),1429,1894,R
432,432.,Frank Dwyer (24),1429,1892,R
433,434.,George Mullin (24),1428,1905,R
434,434.,Phil Niekro+ (38),1428,1977,R
435,434.,Tom Parrott (26),1428,1894,R
436,437.,Eddie Plank+ (28),1427,1904,L
437,438.,Stoney McGlynn (35),1426,1907,R
438,439.,Henry Boyle (26),1424,1887,R
439,439.,Chick Fraser (31),1424,1905,R
440,439.,Bob Harmon (23),1424,1911,R
441,439.,Pink Hawley (27),1424,1900,R
442,443.,Jack Coombs (28),1422,1911,R
443,443.,Stump Weidman (24),1422,1885,R
444,445.,Jim McCormick (26),1421,1883,R
445,445.,Dizzy Trout (29),1421,1944,R
446,447.,Pink Hawley (25),1420,1898,R
447,448.,Togie Pittinger (32),1419,1904,R
448,449.,Burleigh Grimes+ (29),1418,1923,R
449,450.,Jim McCormick (30),1417,1887,R
450,451.,Irv Young (28),1416,1906,L
451,452.,Bill Carrick (27),1415,1901,R
452,452.,Ed Seward (22),1415,1889,R
453,454.,Charlie Buffinton (22),1414,1883,R
454,455.,Walter Johnson+ (24),1413,1912,R
455,455.,Cy Young+ (30),1413,1897,R
456,457.,Hank O'Day+ (24),1412,1884,R
457,457.,Robin Roberts+ (26),1412,1953,R
458,459.,Walter Johnson+ (28),1410,1916,R
459,459.,Gaylord Perry+ (34),1410,1973,R
460,461.,Roscoe Miller (24),1408,1901,R
461,462.,Matt Kilroy (22),1407,1888,L
462,463.,Walter Johnson+ (26),1406,1914,R
463,464.,George Haddock (23),1405,1890,R
464,464.,Bill Hart (31),1405,1897,R
465,466.,Kid Madden (19),1404,1887,L
466,467.,Jack Stivetts (28),1403,1896,R
467,467.,Vic Willis+ (29),1403,1905,R
468,469.,Ed Beatin (22),1402,1889,L
469,469.,Willie McGill (19),1402,1893,L
470,471.,Egyptian Healy (21),1401,1888,R
471,471.,Urban Shocker (30),1401,1921,R
472,473.,Carl Mays (29),1400,1921,R
473,474.,Vic Willis+ (23),1399,1899,R
474,475.,Ed Cushman (38),1398,1890,L
475,475.,John Ward+ (21),1398,1881,R
476,477.,Bert Cunningham (33),1396,1899,R
477,477.,Al Maul (27),1396,1893,R
478,477.,Adonis Terry (30),1396,1895,R
479,480.,Harry Salisbury (27),1394,1882,
480,481.,Adonis Terry (24),1393,1889,R
481,482.,Ed Morris (24),1392,1887,L
482,482.,Nolan Ryan+ (27),1392,1974,R
483,484.,Wes Ferrell (27),1391,1935,R
484,484.,Kid Nichols+ (29),1391,1899,R
485,484.,Jack Taylor (24),1391,1897,R
486,487.,Red Ehret (24),1390,1893,R
487,488.,Phil Niekro+ (39),1389,1978,R
488,489.,Willie Sudhoff (23),1388,1898,R
489,490.,Pete Schneider (21),1387,1917,R
490,491.,Kid Carsey (19),1386,1892,R
491,492.,Jack Powell (26),1383,1901,R
492,493.,Fred Klobedanz (26),1380,1897,L
493,493.,Old Hoss Radbourn+ (26),1380,1881,R
494,495.,Togie Pittinger (33),1378,1905,R
495,495.,Phenomenal Smith (23),1378,1888,L
496,497.,Wilbur Cooper (29),1377,1921,L
497,497.,Burleigh Grimes+ (34),1377,1928,R
498,499.,Pink Hawley (24),1376,1897,R
499,499.,Frank Smith (29),1376,1909,R
