,Rank,Player (age that year),Bases On Balls per 9 IP,Year,Throws
294,294.,Roy Patterson (27),1.3091,1904,R
295,296.,Ralph Terry (27),1.3097,1963,R
296,297.,Paul Byrd (36),1.3102,2007,R
297,298.,Schoolboy Rowe (33),1.3116,1943,R
298,299.,Pete Conway (21),1.3120,1888,R
299,300.,Cy Young+ (30),1.3138,1897,R
300,301.,Nick Altrock (29),1.3140,1906,L
301,302.,Doug Fister (30),1.3171,2014,R
302,303.,Roy Halladay+ (32),1.3180,2009,R
303,304.,Brandon McCarthy (27),1.3184,2011,R
304,305.,Phil Reccius (22),1.3222,1884,
305,306.,Tim Keefe+ (27),1.3230,1884,R
306,307.,Lee Richmond (24),1.3237,1881,L
307,308.,Vern Law (30),1.3252,1960,R
308,309.,Charlie Buffinton (27),1.3264,1888,R
309,310.,Pedro Martinez+ (28),1.3272,2000,R
310,311.,Frank Kitson (33),1.3273,1903,R
311,312.,Rube Benton (34),1.3279,1924,L
312,313.,Pete Alexander+ (37),1.3287,1924,R
313,314.,Jack Powell (26),1.3300,1901,R
314,315.,Will White (27),1.3313,1882,R
315,316.,Red Lucas (34),1.3321,1936,R
316,317.,Bartolo Colon (41),1.3344,2014,R
317,318.,Cy Young+ (40),1.3369,1907,R
318,319.,Max Scherzer (30),1.3382,2015,R
319,320.,Milt Pappas (33),1.3385,1972,R
320,321.,Paul Derringer (29),1.3388,1936,R
321,322.,Bill Mountjoy (25),1.3391,1884,R
322,323.,Rick Reed (32),1.3392,1997,R
323,324.,Wilbur Cooper (32),1.3400,1924,L
324,325.,Lum Harris (29),1.3423,1944,R
325,326.,Cy Young+ (29),1.3467,1896,R
326,327.,George Bradley (29),1.3469,1882,R
327,328.,Eddie Rommel (30),1.3474,1928,R
328,329.,Roy Halladay+ (34),1.3481,2011,R
329,330.,Ray Collins (26),1.3500,1913,L
330,330.,Kenta Maeda (32),1.3500,2020,R
331,332.,Larry Benton (34),1.3525,1932,R
332,333.,Eddie Cicotte (34),1.3534,1918,R
333,334.,Deacon Phillippe (28),1.3548,1900,R
334,335.,Ted Lyons+ (38),1.3552,1939,R
335,336.,Greg Maddux+ (37),1.3603,2003,R
336,337.,Amos Booth (28),1.3605,1877,R
337,338.,Adonis Terry (19),1.3613,1884,R
338,339.,Tricky Nichols (26),1.3629,1877,R
339,340.,Nig Cuppy (29),1.3631,1899,R
340,341.,Pete Alexander+ (41),1.3666,1928,R
341,342.,Curt Schilling (34),1.3675,2001,R
342,343.,Pud Galvin+ (30),1.3684,1887,R
343,344.,Cliff Lee (29),1.3701,2008,L
344,345.,Carl Hubbell+ (30),1.3704,1933,L
345,346.,Bartolo Colon (40),1.3713,2013,R
346,347.,Tim Keefe+ (23),1.3714,1880,R
347,348.,Addie Joss+ (26),1.3723,1906,R
348,349.,Ken Raffensberger (33),1.3753,1951,L
349,350.,David Price (28),1.3772,2014,L
350,351.,Charlie Buffinton (22),1.3784,1883,R
351,352.,Rick Reed (36),1.3789,2001,R
352,353.,Fritz Peterson (29),1.3796,1971,L
353,354.,Greg Maddux+ (28),1.3812,1994,R
354,355.,CC Sabathia (26),1.3817,2007,L
355,356.,Ed Siever (28),1.3819,1903,L
356,357.,Fritz Peterson (28),1.3828,1970,L
357,358.,Bob Forsch (30),1.3835,1980,R
358,359.,Jeff Samardzija (32),1.3868,2017,R
359,360.,Ed Morris (25),1.3875,1888,L
360,361.,Curt Schilling (37),1.3897,2004,R
361,362.,Roy Halladay+ (29),1.3909,2006,R
362,363.,Greg Maddux+ (42),1.3918,2008,R
363,364.,Mordecai Brown+ (32),1.3920,1909,R
364,365.,Pete Alexander+ (39),1.3927,1926,R
365,365.,Mike Mussina+ (39),1.3927,2008,R
366,367.,Clark Griffith+ (33),1.3944,1903,R
367,367.,Mickey Welch+ (23),1.3944,1883,R
368,369.,Chief Bender+ (23),1.3951,1907,R
369,370.,Greg Maddux+ (38),1.3966,2004,R
370,371.,Leon Cadore (27),1.4003,1919,R
371,372.,Perry Werden (22),1.4009,1884,R
