,Rank,Player (age that year),Assists as OF,Year,Throws
264,245.,Mike Griffin (27),25,1892,R
265,245.,Ned Hanlon+ (33),25,1891,R
266,245.,Harry Hooper+ (25),25,1913,R
267,245.,Roy Johnson (26),25,1929,R
268,245.,Roy Johnson (28),25,1931,R
269,245.,Charley Jones (35),25,1887,R
270,245.,Fielder Jones (30),25,1902,R
271,245.,Willie Keeler+ (22),25,1894,L
272,245.,Lon Knight (29),25,1882,R
273,245.,Bill Lange (23),25,1894,R
274,245.,Armando Marsans (28),25,1916,R
275,245.,Matty McIntyre (26),25,1906,L
276,245.,Dusty Miller (26),25,1895,R
277,245.,Danny Moeller (27),25,1912,R
278,245.,Jo-Jo Moore (27),25,1936,R
279,245.,Red Murray (23),25,1907,R
280,245.,Hi Myers (32),25,1921,R
281,245.,Jim O'Rourke+ (39),25,1890,R
282,245.,Dode Paskert (28),25,1910,R
283,245.,Ray Powell (31),25,1920,R
284,245.,Sam Rice+ (36),25,1926,R
285,245.,Jimmy Ryan (27),25,1890,L
286,245.,Jimmy Ryan (28),25,1891,L
287,245.,Emmett Seery (26),25,1887,R
288,245.,Kip Selbach (28),25,1900,R
289,245.,Cy Seymour (32),25,1905,L
290,245.,Burt Shotton (31),25,1916,R
291,245.,John Sneed (29),25,1890,
292,245.,Fred Snodgrass (24),25,1912,R
293,245.,Billy Southworth+ (28),25,1921,R
294,245.,Tris Speaker+ (28),25,1916,L
295,245.,Tris Speaker+ (31),25,1919,L
296,245.,George Van Haltren (23),25,1889,L
297,245.,George Van Haltren (30),25,1896,L
298,245.,Curt Welch (23),25,1885,R
299,245.,Sam West (24),25,1929,L
300,245.,George Wood (32),25,1891,R
301,302.,Ed Andrews (27),24,1886,R
302,302.,Johnny Bates (26),24,1910,L
303,302.,Ed Beecher (30),24,1890,L
304,302.,Joe Birmingham (25),24,1910,R
305,302.,Ping Bodie (23),24,1911,R
306,302.,Al Burch (24),24,1908,R
307,302.,Jesse Burkett+ (35),24,1904,L
308,302.,Johnny Callison (23),24,1962,R
309,302.,Chet Chadbourne (30),24,1915,R
310,302.,Ben Chapman (24),24,1933,R
311,302.,Ty Cobb+ (22),24,1909,R
312,302.,Ty Cobb+ (24),24,1911,R
313,302.,John Coleman (23),24,1886,R
314,302.,Sam Crawford+ (22),24,1902,L
315,302.,Warren Cromartie (24),24,1978,L
316,302.,Ray Demmitt (30),24,1914,R
317,302.,Patsy Donovan (31),24,1896,L
318,302.,Steve Evans (27),24,1912,L
319,302.,Happy Felsch (25),24,1917,R
320,302.,Max Flack (25),24,1915,L
321,302.,Ira Flagstead (31),24,1925,R
322,302.,Elmer Flick+ (23),24,1899,R
323,302.,Carl Furillo (29),24,1951,R
324,302.,Carden Gillenwater (28),24,1945,R
325,302.,Grover Gilmore (25),24,1914,L
326,302.,Goose Goslin+ (24),24,1925,R
327,302.,Ed Hahn (31),24,1907,R
328,302.,Charlie Hanford (32),24,1914,R
329,302.,Bill Harbridge (29),24,1884,L
330,302.,Babe Herman (28),24,1931,L
331,302.,Paul Hines (24),24,1879,R
332,302.,Ducky Holmes (30),24,1899,R
333,302.,Charlie Jones (29),24,1905,R
334,302.,King Kelly+ (20),24,1878,R
335,302.,King Kelly+ (28),24,1886,R
336,302.,King Kelly+ (31),24,1889,R
337,302.,Ben Koehler (28),24,1905,R
338,302.,Billy Lush (28),24,1902,R
339,302.,Les Mann (21),24,1914,R
340,302.,Tommy McCarthy+ (27),24,1891,R
341,302.,Sam Mertes (30),24,1903,R
342,302.,Bob Meusel (25),24,1922,R
343,302.,Herbie Moran (28),24,1912,R
344,302.,Red Murray (29),24,1913,R
345,302.,Ron Northey (24),24,1944,R
346,302.,Andy Pafko (23),24,1944,R
347,302.,Paul Radford (27),24,1889,R
348,302.,Sam Rice+ (30),24,1920,R
349,302.,Frank Schulte (32),24,1915,R
350,302.,Kip Selbach (26),24,1898,R
351,302.,Orator Shafer (29),24,1881,R
352,302.,Orator Shafer (32),24,1884,R
353,302.,Jimmy Sheckard (26),24,1905,R
354,302.,Joe Sommer (30),24,1889,R
355,302.,Tris Speaker+ (32),24,1920,L
356,302.,Chick Stahl (33),24,1906,L
357,302.,Harry Stovey (33),24,1890,R
358,302.,Amos Strunk (26),24,1915,L
359,302.,Sam Thompson+ (25),24,1885,R
360,302.,Sam Thompson+ (27),24,1887,R
361,302.,John Titus (29),24,1905,L
362,302.,Ellis Valentine (23),24,1978,R
363,302.,George Van Haltren (27),24,1893,L
364,302.,Curt Walker (25),24,1922,R
365,302.,Tillie Walker (30),24,1918,R
366,302.,Tillie Walker (33),24,1921,R
367,302.,Gary Ward (29),24,1983,R
368,302.,Curt Welch (22),24,1884,R
369,302.,Jimmy Welsh (24),24,1927,R
370,302.,Gus Williams (26),24,1914,L
371,302.,Ken Williams (31),24,1921,R
372,373.,John Anderson (24),23,1898,R
373,373.,Ed Andrews (29),23,1888,R
374,373.,Richie Ashburn+ (25),23,1952,R
375,373.,Turner Barber (27),23,1921,R
376,373.,Steve Brodie (24),23,1893,R
377,373.,Steve Brodie (26),23,1895,R
378,373.,Steve Brodie (33),23,1902,R
379,373.,Tom Brown (30),23,1891,R
380,373.,Al Burch (25),23,1909,R
381,373.,Oyster Burns (25),23,1890,R
382,373.,Max Carey+ (24),23,1914,R
383,373.,Ty Cobb+ (21),23,1908,R
384,373.,John Coleman (22),23,1885,R
385,373.,Bill Collins (28),23,1910,R
386,373.,Pop Corkhill (33),23,1891,R
387,373.,Bill Crowley (23),23,1880,R
388,373.,Roy Cullenbine (31),23,1945,R
389,373.,Ed Delahanty+ (26),23,1894,R
390,373.,Ed Delahanty+ (29),23,1897,R
391,373.,Patsy Donovan (29),23,1894,L
392,373.,Hugh Duffy+ (24),23,1891,R
393,373.,Elmer Flick+ (24),23,1900,R
394,373.,Elmer Flick+ (25),23,1901,R
395,373.,Bob Ganley (32),23,1907,L
396,373.,Doc Gessler (29),23,1910,L
397,373.,George Gore (28),23,1882,R
398,373.,Mike Griffin (30),23,1895,R
399,373.,Harry Hooper+ (26),23,1914,R
400,373.,Harry Hooper+ (27),23,1915,R
401,373.,Joe Hornung (30),23,1887,R
402,373.,Pete Hotaling (26),23,1883,R
403,373.,Pete Hotaling (30),23,1887,R
404,373.,Bob Johnson (38),23,1944,R
405,373.,Johnny Johnston (23),23,1913,R
406,373.,Charley Jones (34),23,1886,R
407,373.,Fielder Jones (34),23,1906,R
408,373.,Al Kaline+ (23),23,1958,R
409,373.,Henry Larkin (25),23,1885,R
410,373.,Duffy Lewis (24),23,1912,R
411,373.,Jim Lillie (23),23,1885,
412,373.,Willie Mays+ (24),23,1955,R
413,373.,Tom McCreery (22),23,1897,R
414,373.,Dusty Miller (29),23,1898,R
415,373.,Mike Mitchell (31),23,1911,R
