,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
335,336.,Al Smith (32),8.04,1940,L
336,337.,Willie Hernandez (29),8.03,1984,L
337,337.,Sparky Lyle (29),8.03,1974,L
338,339.,Juan Pizarro (26),8.02,1963,L
339,340.,Jim Rooker (31),8.01,1974,L
340,341.,Gary Peters (30),8.00,1967,L
341,341.,J.R. Richard (29),8.00,1979,R
342,343.,Larry French (28),7.99,1936,L
343,343.,Luis Tiant (37),7.99,1978,R
344,345.,Vic Aldridge (31),7.98,1925,R
345,345.,Hal Gregg (23),7.98,1945,R
346,347.,Mort Cooper (30),7.97,1943,R
347,347.,Bud Tinning (26),7.97,1932,R
348,349.,Clay Bryant (26),7.96,1938,R
349,349.,Freddie Fitzsimmons (26),7.96,1928,R
350,351.,Bob Shawkey (28),7.95,1919,R
351,352.,Jumbo Elliott (29),7.92,1930,L
352,352.,Ray Narleski (25),7.92,1954,R
353,354.,Jim Bunning+ (32),7.91,1964,R
354,355.,Bruce Kison (29),7.89,1979,R
355,355.,Dan Quisenberry (31),7.89,1984,R
356,355.,Red Ruffing+ (32),7.89,1937,R
357,358.,Art Ditmar (31),7.87,1960,R
358,359.,Johnny Morrison (27),7.83,1923,R
359,359.,Mike Scott (31),7.83,1986,R
360,361.,Whitey Ford+ (29),7.82,1958,L
361,362.,Allie Reynolds (34),7.81,1951,R
362,363.,Steve Carlton+ (35),7.77,1980,L
363,363.,Bob Turley (26),7.77,1957,R
364,365.,John Hiller (30),7.74,1973,L
365,366.,Dick Radatz (26),7.73,1963,R
366,367.,Ted Lyons+ (34),7.71,1935,R
367,368.,Hugh Casey (26),7.70,1940,R
368,368.,Gene Garber (34),7.70,1982,R
369,370.,Jim Palmer+ (27),7.68,1973,R
370,370.,Dutch Ruether (31),7.68,1925,L
371,372.,David Palmer (21),7.67,1979,R
372,373.,Sal Maglie (37),7.66,1954,R
373,374.,Ted Lyons+ (26),7.65,1927,R
374,375.,Lefty Grove+ (38),7.62,1938,L
375,376.,Red Faber+ (31),7.61,1920,R
376,377.,Sam Zoldak (29),7.58,1948,L
377,378.,Tom Sturdivant (26),7.55,1956,R
378,378.,Luis Tiant (27),7.55,1968,R
379,380.,Whitey Ford+ (27),7.54,1956,L
380,380.,Zane Smith (29),7.54,1990,L
381,382.,Johnny Miljus (32),7.53,1927,R
382,383.,Nels Potter (36),7.48,1948,R
383,383.,Virgil Trucks (37),7.48,1954,R
384,385.,Sig Jakucki (34),7.47,1944,R
385,385.,Jimmy Key (24),7.47,1985,L
386,387.,Don Drysdale+ (25),7.45,1962,R
387,388.,Jerry Reuss (31),7.44,1980,L
388,389.,Mike Boddicker (32),7.43,1990,R
389,389.,Warren Spahn+ (26),7.43,1947,L
390,391.,Ryne Duren (29),7.42,1958,R
391,391.,Todd Worrell (27),7.42,1987,R
392,393.,Sam Jones (31),7.40,1957,R
393,394.,Steve Avery (21),7.39,1991,L
394,395.,Hank Borowy (26),7.35,1942,R
395,395.,Jerry Koosman (26),7.35,1969,L
396,395.,Rube Walberg (32),7.35,1929,L
397,398.,Juan Marichal+ (26),7.34,1964,R
398,399.,Pete Alexander+ (35),7.33,1922,R
399,400.,Al Demaree (31),7.32,1916,R
400,401.,Lefty Grove+ (36),7.31,1936,L
401,401.,Pedro Martinez+ (28),7.31,2000,R
402,401.,Eddie Rommel (30),7.31,1928,R
403,401.,Gene Thompson (22),7.31,1939,R
404,401.,Ernie White (24),7.31,1941,L
405,406.,Sad Sam Jones (25),7.29,1918,R
406,406.,Clem Labine (29),7.29,1956,R
407,408.,Harry Brecheen (33),7.28,1948,L
408,408.,Wayne Granger (25),7.28,1969,R
409,410.,Al Benton (38),7.25,1949,R
410,410.,Mike Cuellar (37),7.25,1974,L
411,412.,Al Downing (23),7.23,1964,L
412,412.,Larry Jansen (30),7.23,1951,R
413,414.,Bob Lemon+ (33),7.22,1954,R
414,415.,Johnny Allen (27),7.21,1932,R
415,415.,Spud Chandler (30),7.21,1938,R
416,415.,John Denny (30),7.21,1983,R
417,418.,Matt Herges (37),7.20,2007,R
418,419.,Stan Coveleski+ (29),7.19,1919,R
419,419.,Joe Hatten (30),7.19,1947,L
420,421.,Steve Carlton+ (37),7.18,1982,L
421,421.,Lefty Williams (27),7.18,1920,L
422,423.,Rube Walberg (34),7.17,1931,L
423,424.,Lee Meadows (30),7.15,1925,R
