,Rank,Player (age that year),Singles,Year,Bats
335,319.,Matty McIntyre (31),153,1911,L
336,319.,Clyde Milan (25),153,1912,L
337,319.,Tom Oliver (27),153,1930,R
338,319.,Kirby Puckett+ (25),153,1985,R
339,319.,Jerry Remy (29),153,1982,L
340,319.,Sam Rice+ (38),153,1928,L
341,319.,Chick Stahl (26),153,1899,L
342,319.,Miguel Tejada (32),153,2006,R
343,319.,Cecil Travis (27),153,1941,L
344,319.,George Van Haltren (30),153,1896,L
345,319.,Pinky Whitney (25),153,1930,R
346,319.,Whitey Witt (27),153,1923,L
347,319.,Chicken Wolf (28),153,1890,R
348,349.,Richie Ashburn+ (30),152,1957,L
349,349.,Carlos Baerga (23),152,1992,B
350,349.,Jimmy Barrett (29),152,1904,L
351,349.,Jake Beckley+ (32),152,1900,L
352,349.,Starlin Castro (21),152,2011,R
353,349.,Dain Clay (25),152,1945,R
354,349.,Roberto Clemente+ (29),152,1964,R
355,349.,Doc Cramer (27),152,1933,L
356,349.,Lave Cross (32),152,1898,R
357,349.,Jake Daubert (29),152,1913,L
358,349.,Hugh Duffy+ (27),152,1894,R
359,349.,Curt Flood (25),152,1963,R
360,349.,Bill Gleason (28),152,1887,R
361,349.,Tony Gwynn+ (37),152,1997,L
362,349.,Billy Hamilton+ (26),152,1892,L
363,349.,Rogers Hornsby+ (25),152,1921,R
364,349.,Hughie Jennings+ (26),152,1895,R
365,349.,Bill Lamar (28),152,1925,L
366,349.,Don Mattingly (25),152,1986,L
367,349.,Don Mueller (28),152,1955,L
368,349.,Jack Perconte (29),152,1984,L
369,349.,Placido Polanco (31),152,2007,R
370,349.,Pete Rose (24),152,1965,B
371,349.,Pete Rose (27),152,1968,B
372,349.,Pete Rose (34),152,1975,B
373,349.,Willy Taveras (23),152,2005,R
374,349.,Fred Tenney (25),152,1897,L
375,349.,Jack Tobin (30),152,1922,L
376,349.,George Van Haltren (31),152,1897,L
377,349.,George Van Haltren (35),152,1901,L
378,349.,Randy Velarde (36),152,1999,R
379,349.,Whitey Witt (25),152,1921,L
380,349.,Michael Young (27),152,2004,R
381,349.,Michael Young (28),152,2005,R
382,349.,Ross Youngs+ (26),152,1923,L
383,384.,Matty Alou (32),151,1971,L
384,384.,Luke Appling+ (34),151,1941,R
385,384.,Xander Bogaerts (22),151,2015,R
386,384.,Jim Busby (27),151,1954,R
387,384.,Ty Cobb+ (30),151,1917,L
388,384.,Earle Combs+ (26),151,1925,L
389,384.,Earle Combs+ (30),151,1929,L
390,384.,Bob Ganley (32),151,1907,L
391,384.,Ralph Garr (27),151,1973,L
392,384.,Kid Gleason (30),151,1897,B
393,384.,Bug Holliday (27),151,1894,R
394,384.,Derek Jeter+ (24),151,1998,R
395,384.,Derek Jeter+ (26),151,2000,R
396,384.,Derek Jeter+ (33),151,2007,R
397,384.,Chuck Knoblauch (23),151,1992,R
398,384.,Arlie Latham (27),151,1887,R
399,384.,Clyde Milan (30),151,1917,L
400,384.,Felix Millan (26),151,1970,R
401,384.,Felix Millan (31),151,1975,R
402,384.,Thurman Munson (28),151,1975,R
403,384.,Otis Nixon (36),151,1995,B
404,384.,Rip Radcliff (34),151,1940,L
405,384.,Harold Reynolds (28),151,1989,B
406,384.,Kevin Seitzer (25),151,1987,R
407,384.,Garry Templeton (23),151,1979,B
408,384.,George Van Haltren (27),151,1893,L
409,384.,Paul Waner+ (33),151,1936,L
410,384.,Zack Wheat+ (37),151,1925,L
411,384.,Maury Wills (31),151,1964,B
412,384.,Taffy Wright (28),151,1940,L
413,414.,Richie Ashburn+ (27),150,1954,L
414,414.,Earl Averill+ (34),150,1936,L
415,414.,Ginger Beaumont (30),150,1907,L
416,414.,Wade Boggs+ (28),150,1986,L
417,414.,Jim Bottomley+ (25),150,1925,L
418,414.,Jimmy Brown (29),150,1939,B
419,414.,Dick Burrus (27),150,1925,L
420,414.,Rod Carew+ (29),150,1975,L
421,414.,Rod Carew+ (30),150,1976,L
422,414.,Roberto Clemente+ (32),150,1967,R
423,414.,Eddie Collins+ (36),150,1923,L
424,414.,Doc Cramer (30),150,1936,L
425,414.,Gene DeMontreville (28),150,1901,R
426,414.,Taylor Douthit (27),150,1928,R
427,414.,Jimmy Johnston (32),150,1922,R
428,414.,Fielder Jones (30),150,1902,L
429,414.,George Kell+ (28),150,1951,R
430,414.,Bobby Lowe (28),150,1894,R
431,414.,Vada Pinson (22),150,1961,L
432,414.,Ben Revere (27),150,2015,L
433,414.,Phil Rizzuto+ (32),150,1950,R
434,414.,Stan Rojek (29),150,1948,R
435,414.,Goody Rosen (32),150,1945,L
436,414.,Pete Rose (31),150,1972,B
437,414.,Pete Rose (36),150,1977,B
438,414.,Cy Seymour (32),150,1905,L
439,414.,Cecil Travis (24),150,1938,L
440,414.,Pie Traynor+ (28),150,1927,R
441,414.,Maury Wills (28),150,1961,B
442,443.,Roberto Alomar+ (21),149,1989,B
443,443.,Felipe Alou (31),149,1966,R
444,443.,Jimmy Barrett (25),149,1900,L
445,443.,Beau Bell (28),149,1936,R
446,443.,Larry Bowa (29),149,1975,B
447,443.,Larry Bowa (31),149,1977,B
448,443.,Lou Brock+ (32),149,1971,L
449,443.,Lou Brock+ (34),149,1973,L
450,443.,Steve Brodie (24),149,1893,L
451,443.,George Burns (32),149,1922,R
452,443.,Brett Butler (36),149,1993,L
453,443.,Enos Cabell (28),149,1978,R
454,443.,Rod Carew+ (25),149,1971,L
455,443.,Cupid Childs (24),149,1892,L
456,443.,Roberto Clemente+ (30),149,1965,R
457,443.,Ty Cobb+ (35),149,1922,L
458,443.,Charlie Comiskey+ (27),149,1887,R
459,443.,Tommy Davis (35),149,1974,R
460,443.,Doc Farrell (25),149,1927,R
461,443.,Nellie Fox+ (31),149,1959,L
462,443.,Pete Fox (28),149,1937,R
463,443.,Doug Glanville (28),149,1999,R
464,443.,Stan Hack (29),149,1939,L
465,443.,Billy Hamilton+ (31),149,1897,L
466,443.,George Hausmann (29),149,1945,R
467,443.,Derek Jeter+ (25),149,1999,R
468,443.,George Kell+ (24),149,1947,R
469,443.,DJ LeMahieu (28),149,2017,R
470,443.,Harry Lord (27),149,1909,L
471,443.,Tommy McCarthy+ (26),149,1890,R
472,443.,Barney McCosky (30),149,1947,L
473,443.,Stuffy McInnis (26),149,1917,R
474,443.,Jo-Jo Moore (26),149,1935,L
475,443.,Wally Moses (25),149,1936,L
476,443.,Thurman Munson (31),149,1978,R
477,443.,Dustin Pedroia (32),149,2016,R
478,443.,Johnny Pesky (30),149,1949,L
479,443.,Kirby Puckett+ (26),149,1986,R
480,443.,Kirby Puckett+ (32),149,1992,R
481,443.,Sam Rice+ (39),149,1929,L
482,443.,Mickey Rivers (28),149,1977,L
483,443.,George Sisler+ (24),149,1917,L
484,443.,Pie Traynor+ (30),149,1929,R
485,443.,Joe Vosmik (28),149,1938,R
486,443.,Gee Walker (29),149,1937,R
487,443.,Lloyd Waner+ (31),149,1937,L
488,443.,Zack Wheat+ (36),149,1924,L
489,443.,Maury Wills (36),149,1969,B
490,443.,Maury Wills (38),149,1971,B
491,443.,Tony Womack (28),149,1998,L
492,443.,Eric Young Sr. (29),149,1996,R
493,494.,Sandy Alomar (27),148,1971,B
494,494.,Rick Burleson (26),148,1977,R
495,494.,Orlando Cabrera (32),148,2007,R
496,494.,Jeff Cirillo (28),148,1998,R
497,494.,Kiki Cuyler+ (31),148,1930,R
498,494.,Taylor Douthit (28),148,1929,R
499,494.,Steve Garvey (26),148,1975,R
500,494.,Billy Herman+ (33),148,1943,R
501,494.,Rogers Hornsby+ (26),148,1922,R
502,494.,Cesar Izturis (24),148,2004,B
503,494.,Alex Johnson (25),148,1968,R
504,494.,George Kell+ (27),148,1950,R
505,494.,Jason Kendall (30),148,2004,R
506,494.,Kenny Lofton (26),148,1993,L
507,494.,Paul Molitor+ (25),148,1982,R
508,494.,Kirby Puckett+ (24),148,1984,R
509,494.,Morrie Rath (24),148,1912,L
510,494.,Bobby Richardson (25),148,1961,R
511,494.,Bobby Richardson (28),148,1964,R
512,494.,Pete Rose (30),148,1971,B
513,494.,Steve Sax (31),148,1991,R
514,494.,George Sisler+ (28),148,1921,L
515,494.,George Sisler+ (31),148,1924,L
516,494.,Lloyd Waner+ (26),148,1932,L
517,494.,Paul Waner+ (25),148,1928,L
518,494.,Lou Whitaker (26),148,1983,L
519,494.,Willie Wilson (23),148,1979,B
520,494.,Michael Young (26),148,2003,R
521,494.,Michael Young (29),148,2006,R
