,Rank,Player (age that year),Doubles,Year,Bats
327,256.,Zoilo Versalles (25),45,1965,R
328,256.,Jose Vidro (24),45,1999,B
329,256.,Honus Wagner+ (25),45,1899,R
330,256.,Honus Wagner+ (26),45,1900,R
331,256.,Frank White (31),45,1982,R
332,256.,Walt Wilmot (30),45,1894,B
333,256.,Carl Yastrzemski+ (25),45,1965,L
334,335.,Elvis Andrus (28),44,2017,R
335,335.,Jason Bay (26),44,2005,R
336,335.,Carlos Beltran (25),44,2002,B
337,335.,Wally Berger (25),44,1931,R
338,335.,Craig Biggio+ (28),44,1994,R
339,335.,Craig Biggio+ (37),44,2003,R
340,335.,Wade Boggs+ (25),44,1983,L
341,335.,Wade Boggs+ (32),44,1990,L
342,335.,Barry Bonds (33),44,1998,L
343,335.,Bobby Bonilla (28),44,1991,B
344,335.,Jim Bottomley+ (25),44,1925,L
345,335.,Billy Butler (25),44,2011,R
346,335.,Melky Cabrera (26),44,2011,B
347,335.,Ivan Calderon (28),44,1990,R
348,335.,Matt Carpenter (29),44,2015,L
349,335.,Sean Casey (29),44,2004,L
350,335.,Ty Cobb+ (30),44,1917,L
351,335.,Cecil Cooper (29),44,1979,L
352,335.,Joe Cronin+ (24),44,1931,R
353,335.,Ed Delahanty+ (28),44,1896,R
354,335.,Joe DiMaggio+ (21),44,1936,R
355,335.,Stephen Drew (25),44,2008,L
356,335.,Pat Duncan (28),44,1922,R
357,335.,Jermaine Dye (25),44,1999,R
358,335.,Lenny Dykstra (30),44,1993,L
359,335.,Cliff Floyd (28),44,2001,L
360,335.,Lew Fonseca (30),44,1929,R
361,335.,Johnny Frederick (28),44,1930,L
362,335.,Freddie Freeman (28),44,2018,L
363,335.,Brad Fullmer (23),44,1998,L
364,335.,Nomar Garciaparra (23),44,1997,R
365,335.,Charlie Gehringer+ (29),44,1932,L
366,335.,Bernard Gilkey (29),44,1996,R
367,335.,Mark Grace (35),44,1999,L
368,335.,Khalil Greene (27),44,2007,R
369,335.,Shawn Green (27),44,2000,L
370,335.,Odell Hale (25),44,1934,R
371,335.,Harry Heilmann+ (28),44,1923,R
372,335.,Bobby Higginson (29),44,2000,L
373,335.,Aaron Hill (30),44,2012,R
374,335.,Rogers Hornsby+ (24),44,1920,R
375,335.,Rogers Hornsby+ (25),44,1921,R
376,335.,Shoeless Joe Jackson (24),44,1912,L
377,335.,Derek Jeter+ (30),44,2004,R
378,335.,Bob Johnson (27),44,1933,R
379,335.,Benny Kauff (24),44,1914,L
380,335.,Chuck Klein+ (28),44,1933,L
381,335.,Matt Lawton (28),44,2000,L
382,335.,Chet Lemon (24),44,1979,R
383,335.,Francisco Lindor (23),44,2017,B
384,335.,Evan Longoria (23),44,2009,R
385,335.,Mike Lowell (28),44,2002,R
386,335.,Mike Lowell (30),44,2004,R
387,335.,Gary Matthews (31),44,2006,B
388,335.,Don Mattingly (23),44,1984,L
389,335.,Lee Maye (29),44,1964,L
390,335.,Frank McCormick (29),44,1940,R
391,335.,Marty McManus (25),44,1925,R
392,335.,Johnny Mize+ (26),44,1939,L
393,335.,Yadier Molina (30),44,2013,R
394,335.,Dave Parker (26),44,1977,L
395,335.,Del Pratt (34),44,1922,R
396,335.,Albert Pujols (28),44,2008,R
397,335.,Aramis Ramirez (30),44,2008,R
398,335.,Manny Ramirez (32),44,2004,R
399,335.,Anthony Rendon (28),44,2018,R
400,335.,Anthony Rendon (29),44,2019,R
401,335.,Babe Ruth+ (26),44,1921,L
402,335.,Pablo Sandoval (22),44,2009,B
403,335.,Fred Schulte (27),44,1928,R
404,335.,Corey Seager (25),44,2019,L
405,335.,Ruben Sierra (25),44,1991,B
406,335.,Rusty Staub (23),44,1967,L
407,335.,Shannon Stewart (27),44,2001,R
408,335.,Shannon Stewart (29),44,2003,R
409,335.,Mike Sweeney (25),44,1999,R
410,335.,Frank Thomas+ (32),44,2000,R
411,335.,Justin Upton (29),44,2017,R
412,335.,John Valentin (31),44,1998,R
413,335.,Joey Votto (28),44,2012,L
414,335.,Honus Wagner+ (30),44,1904,R
415,335.,Larry Walker+ (27),44,1994,L
416,335.,Vernon Wells (31),44,2010,R
417,335.,Ted Williams+ (20),44,1939,L
418,335.,Ted Williams+ (29),44,1948,L
419,420.,José Abreu (30),43,2017,R
420,420.,Ozzie Albies (22),43,2019,B
421,420.,Dale Alexander (26),43,1929,R
422,420.,Roberto Alomar+ (28),43,1996,B
423,420.,Nolan Arenado (24),43,2015,R
424,420.,Nolan Arenado (26),43,2017,R
425,420.,Earl Averill+ (27),43,1929,L
426,420.,Jeff Bagwell+ (33),43,2001,R
427,420.,Dick Bartell (23),43,1931,R
428,420.,Dante Bichette (29),43,1993,R
429,420.,Jay Bruce (26),43,2013,L
430,420.,Jack Burns (25),43,1933,L
431,420.,Marlon Byrd (31),43,2009,R
432,420.,Bobby Byrne (25),43,1910,R
433,420.,Miguel Cabrera (22),43,2005,R
434,420.,Orlando Cabrera (27),43,2002,R
435,420.,Vinny Castilla (36),43,2004,R
436,420.,Eric Chavez (23),43,2001,L
437,420.,Shin-Soo Choo (29),43,2012,L
438,420.,Ryan Church (28),43,2007,L
439,420.,Joe Cronin+ (25),43,1932,R
440,420.,Kiki Cuyler+ (26),43,1925,R
441,420.,Harry Davis (28),43,1902,R
442,420.,Ed Delahanty+ (34),43,1902,R
443,420.,Carlos Delgado (26),43,1998,L
444,420.,Delino DeShields (31),43,2000,L
445,420.,Joe DiMaggio+ (26),43,1941,R
446,420.,Ferris Fain (31),43,1952,L
447,420.,Bibb Falk (27),43,1926,L
448,420.,Cliff Floyd (29),43,2002,L
449,420.,Todd Frazier (29),43,2015,R
450,420.,Freddie Freeman (24),43,2014,L
451,420.,Freddie Freeman (26),43,2016,L
452,420.,Augie Galan (32),43,1944,B
453,420.,Paul Goldschmidt (24),43,2012,R
454,420.,Yuli Gurriel (33),43,2017,R
455,420.,Dick Groat (32),43,1963,R
456,420.,Harry Heilmann+ (26),43,1921,R
457,420.,Harry Heilmann+ (35),43,1930,R
458,420.,Babe Herman (28),43,1931,L
459,420.,Richard Hidalgo (28),43,2003,R
460,420.,Shea Hillenbrand (26),43,2002,R
461,420.,Rogers Hornsby+ (28),43,1924,R
462,420.,Raul Ibanez (36),43,2008,L
463,420.,Geoff Jenkins (24),43,1999,L
464,420.,Roy Johnson (31),43,1934,L
465,420.,Jason Kipnis (28),43,2015,L
466,420.,Red Kress (25),43,1930,R
467,420.,Nap Lajoie+ (23),43,1898,R
468,420.,Carlos Lee (31),43,2007,R
469,420.,Derrek Lee (31),43,2007,R
470,420.,Denny Lyons (21),43,1887,R
471,420.,Nick Markakis (23),43,2007,L
472,420.,Nick Markakis (34),43,2018,L
473,420.,Joe Mauer (27),43,2010,L
474,420.,Willie Mays+ (28),43,1959,R
475,420.,Whit Merrifield (29),43,2018,R
476,420.,Bing Miller (36),43,1931,R
477,420.,Kendrys Morales (26),43,2009,B
478,420.,Daniel Murphy (32),43,2017,L
479,420.,Tony Oliva (25),43,1964,L
480,420.,Al Oliver (33),43,1980,L
481,420.,Al Oliver (35),43,1982,L
482,420.,Gerardo Parra (26),43,2013,L
483,420.,Johnny Pesky (27),43,1946,L
484,420.,Dick Porter (28),43,1930,L
485,420.,Joe Randa (35),43,2005,R
486,420.,Alex Rios (26),43,2007,R
487,420.,Anthony Rizzo (26),43,2016,L
488,420.,Jimmy Rollins (25),43,2004,B
489,420.,Jimmy Rollins (30),43,2009,B
490,420.,Steve Sax (26),43,1986,R
491,420.,Red Schoendienst+ (27),43,1950,B
492,420.,Marcus Semien (28),43,2019,R
493,420.,Earl Sheely (32),43,1925,R
494,420.,Al Simmons+ (23),43,1925,R
495,420.,Alfonso Soriano (29),43,2005,R
496,420.,Tris Speaker+ (39),43,1927,L
497,420.,Willie Stargell+ (33),43,1973,L
498,420.,Jake Stenzel (30),43,1897,R
499,420.,Shannon Stewart (26),43,2000,R
500,420.,Mark Teixeira (29),43,2009,B
501,420.,Bill Terry+ (32),43,1931,L
502,420.,Andres Torres (32),43,2010,B
503,420.,Bobby Veach (33),43,1921,L
504,420.,Mickey Vernon (35),43,1953,L
505,420.,Jose Vidro (27),43,2002,B
506,420.,Paul Waner+ (26),43,1929,L
507,420.,Sam West (26),43,1931,L
508,420.,Pinky Whitney (24),43,1929,R
509,420.,Ted Williams+ (21),43,1940,L
510,420.,Preston Wilson (28),43,2003,R
511,420.,Carl Yastrzemski+ (22),43,1962,L
512,420.,Kevin Youkilis (29),43,2008,R
513,420.,Eric Young Sr. (34),43,2001,R
514,420.,Ryan Zimmerman (22),43,2007,R
