,Rank,Player (age that year),Double Plays Turned as 1B,Year,Throws
208,204.,Carlos Delgado (27),134,1999,R
209,204.,Adrian Gonzalez (25),134,2007,L
210,204.,Adrian Gonzalez (30),134,2012,L
211,204.,Mark Grace (29),134,1993,L
212,204.,Mike Hargrove (27),134,1977,L
213,204.,Gil Hodges (34),134,1958,R
214,204.,Walter Holke (31),134,1924,L
215,204.,George McQuinn (28),134,1938,L
216,204.,Dan Meyer (24),134,1977,R
217,204.,Willie Montanez (27),134,1975,L
218,204.,Albert Pujols (31),134,2011,R
219,204.,Richie Sexson (27),134,2002,R
220,204.,J.T. Snow (28),134,1996,L
221,222.,Joe Adcock (33),133,1961,R
222,222.,Jim Bottomley+ (25),133,1925,L
223,222.,Miguel Cabrera (27),133,2010,R
224,222.,Alvin Davis (26),133,1987,R
225,222.,Ike Davis (23),133,2010,L
226,222.,Carlos Delgado (33),133,2005,R
227,222.,Jimmie Foxx+ (26),133,1934,R
228,222.,Bill Glynn (27),133,1953,L
229,222.,Adrian Gonzalez (31),133,2013,L
230,222.,Hank Greenberg+ (26),133,1937,R
231,222.,Wally Joyner (25),133,1987,L
232,222.,Eric Karros (28),133,1996,R
233,222.,Don Kolloway (31),133,1950,R
234,222.,Lee May (29),133,1972,R
235,222.,Justin Morneau (32),133,2013,R
236,222.,Rafael Palmeiro (28),133,1993,L
237,222.,Vic Power (34),133,1962,R
238,222.,Eddie Robinson (28),133,1949,R
239,222.,George Scott (32),133,1976,R
240,222.,J.T. Snow (29),133,1997,L
241,222.,Willie Upshaw (27),133,1984,L
242,222.,Mickey Vernon (28),133,1946,L
243,244.,Dale Alexander (27),132,1930,R
244,244.,Zeke Bonura (29),132,1938,R
245,244.,Bill Buckner (33),132,1983,L
246,244.,Jack Burns (26),132,1934,L
247,244.,Prince Fielder (24),132,2008,R
248,244.,Eric Hosmer (22),132,2012,L
249,244.,Don Hurst (27),132,1933,L
250,244.,High Pockets Kelly+ (25),132,1921,R
251,244.,Derrek Lee (27),132,2003,R
252,244.,Don Mattingly (25),132,1986,L
253,244.,John Mayberry (27),132,1976,L
254,244.,Frank McCormick (31),132,1942,R
255,244.,Fred McGriff (35),132,1999,L
256,244.,Albert Pujols (27),132,2007,R
257,244.,Jim Thome+ (32),132,2003,R
258,259.,José Abreu (29),131,2016,R
259,259.,Jack Burns (23),131,1931,L
260,259.,Orlando Cepeda+ (20),131,1958,R
261,259.,Tony Clark (25),131,1997,R
262,259.,Alvin Davis (24),131,1985,R
263,259.,Elbie Fletcher (23),131,1939,L
264,259.,Paul Goldschmidt (30),131,2018,R
265,259.,Mike Hargrove (33),131,1983,L
266,259.,Joe Hauser (25),131,1924,L
267,259.,Ray Knight (30),131,1983,R
268,259.,Paul Konerko (31),131,2007,R
269,259.,Don Mattingly (27),131,1988,L
270,259.,Stan Musial+ (36),131,1957,L
271,259.,Rafael Palmeiro (27),131,1992,L
272,259.,Tony Perez+ (31),131,1973,R
273,259.,Mark Reynolds (33),131,2017,R
274,259.,Richie Sexson (28),131,2003,R
275,259.,George Sisler+ (36),131,1929,L
276,259.,Jim Spencer (22),131,1970,L
277,259.,Bill Terry+ (35),131,1934,L
278,259.,Jason Thompson (28),131,1983,L
279,259.,Hal Trosky (24),131,1937,R
280,259.,Willie Upshaw (26),131,1983,L
281,282.,José Abreu (30),130,2017,R
282,282.,Jack Burns (24),130,1932,L
283,282.,Will Clark (23),130,1987,L
284,282.,Will Clark (28),130,1992,L
285,282.,Greg Colbrunn (26),130,1996,R
286,282.,Freddie Freeman (24),130,2014,R
287,282.,Charlie Grimm (24),130,1923,L
288,282.,Buddy Hassett (30),130,1942,L
289,282.,Todd Helton (30),130,2004,L
290,282.,Tony Horton (24),130,1969,R
291,282.,Dale Long (32),130,1958,L
292,282.,Frank McCormick (30),130,1941,R
293,282.,Frank McCormick (33),130,1944,R
294,282.,Carlos Pena (25),130,2003,L
295,282.,George Scott (22),130,1966,R
296,282.,Bill Skowron (29),130,1960,R
297,282.,Mark Teixeira (28),130,2008,R
298,299.,Dale Alexander (26),129,1929,R
299,299.,Jack Burns (25),129,1933,L
300,299.,Jack Burns (28),129,1936,L
301,299.,Dolph Camilli (31),129,1938,L
302,299.,Phil Cavarretta (18),129,1935,L
303,299.,Chris Chambliss (28),129,1977,R
304,299.,Babe Dahlgren (29),129,1941,R
305,299.,Nick Esasky (29),129,1989,R
306,299.,Dee Fondy (29),129,1954,L
307,299.,Andres Galarraga (34),129,1995,R
308,299.,Jim Gentile (27),129,1961,L
309,299.,Paul Goldschmidt (27),129,2015,R
310,299.,Adrian Gonzalez (26),129,2008,L
311,299.,Gil Hodges (30),129,1954,R
312,299.,Joe Judge (27),129,1921,L
313,299.,Don Mattingly (31),129,1992,L
314,299.,John Mayberry (30),129,1979,L
315,299.,Stuffy McInnis (33),129,1924,R
316,299.,Carlos Santana (31),129,2017,R
317,299.,Dick Siebert (33),129,1945,L
