,Rank,Player (age that year),Range Factor/9Inn as OF,Year,Throws
405,406.,Jerry Mumphrey (28),2.976,1981,R
406,407.,Wally Berger (30),2.975,1936,R
407,407.,Mark Davidson (27),2.975,1988,R
408,407.,Johnny Watwood (25),2.975,1931,L
409,410.,Carlos Gomez (25),2.974,2011,R
410,410.,Garry Maddox (30),2.974,1980,R
411,412.,Jim Landis (25),2.973,1959,R
412,412.,Bake McBride (26),2.973,1975,R
413,412.,Robin Yount+ (32),2.973,1988,R
414,415.,Darren Lewis (29),2.970,1997,R
415,416.,Fred Lynn (28),2.969,1980,L
416,416.,Willie Mays+ (27),2.969,1958,R
417,418.,Cesar Cedeno (23),2.968,1974,R
418,418.,Dave Henderson (31),2.968,1990,R
419,420.,Dave May (28),2.967,1972,R
420,421.,Lenny Dykstra (31),2.966,1994,L
421,421.,Ken Henderson (29),2.966,1975,R
422,423.,Mike Kreevich (36),2.965,1944,R
423,423.,Luis Matos (24),2.965,2003,R
424,423.,Colby Rasmus (27),2.965,2014,L
425,423.,Al Simmons+ (23),2.965,1925,R
426,427.,Harry Heilmann+ (35),2.963,1930,R
427,427.,Omar Moreno (25),2.963,1978,L
428,427.,Al Nixon (40),2.963,1926,L
429,430.,Paul Lehner (27),2.959,1948,L
430,430.,Harry Walker (28),2.959,1947,R
431,432.,Vince DiMaggio (24),2.958,1937,R
432,433.,Richie Ashburn+ (25),2.957,1952,R
433,433.,Mike Cameron (28),2.957,2001,R
434,433.,Jose Cruz (25),2.957,1999,R
435,433.,Chet Lemon (24),2.957,1979,R
436,437.,Brady Anderson (24),2.955,1988,L
437,437.,Ken Berry (30),2.955,1971,R
438,437.,Vic Davalillo (23),2.955,1963,L
439,437.,Ken Henderson (28),2.955,1974,R
440,437.,Jay Payton (31),2.955,2004,R
441,442.,Ken Griffey Jr.+ (26),2.954,1996,L
442,442.,Dwayne Murphy (24),2.954,1979,R
443,442.,Milt Thompson (27),2.954,1986,R
444,445.,Bill Bruton (29),2.953,1955,R
445,445.,Doc Cramer (29),2.953,1935,R
446,445.,Andruw Jones (24),2.953,2001,R
447,448.,Ruppert Jones (26),2.952,1981,L
448,449.,Gil Coan (27),2.951,1949,R
449,450.,Chet Lemon (30),2.950,1985,R
450,450.,Aaron Rowand (30),2.950,2008,R
451,452.,Jim Busby (30),2.949,1957,R
452,452.,Bob Johnson (32),2.949,1938,R
453,452.,Pat Sheridan (25),2.949,1983,R
454,455.,Brian Hunter (27),2.947,1998,R
455,455.,Juan Lagares (24),2.947,2013,R
456,455.,Chet Lemon (28),2.947,1983,R
457,455.,Rick Miller (30),2.947,1978,L
458,455.,Johnny Wyrostek (26),2.947,1946,R
459,460.,Earle Combs+ (29),2.946,1928,R
460,460.,Lance Johnson (27),2.946,1991,L
461,460.,Chris Young (29),2.946,2013,R
462,463.,Johnny Frederick (29),2.945,1931,L
463,463.,Gorman Thomas (28),2.945,1979,R
464,465.,Willie Wilson (22),2.943,1978,R
465,465.,Willie Wilson (26),2.943,1982,R
466,465.,Eric Yelding (25),2.943,1990,R
467,468.,Tris Speaker+ (26),2.941,1914,L
468,469.,Cesar Geronimo (28),2.940,1976,L
469,469.,Ramon Laureano (25),2.940,2020,R
470,471.,Mandy Brooks (27),2.939,1925,R
471,471.,Max Carey+ (26),2.939,1916,R
472,471.,Bill North (28),2.939,1976,R
473,474.,Buster Adams (28),2.938,1943,R
474,474.,Sam Chapman (24),2.938,1940,R
475,474.,Paul Lehner (26),2.938,1947,L
476,477.,Richie Ashburn+ (28),2.937,1955,R
477,477.,Tom Goodwin (29),2.937,1998,R
478,477.,Mule Haas (26),2.937,1930,R
479,477.,Corey Patterson (26),2.937,2006,R
480,481.,Fred Clarke+ (22),2.936,1895,R
481,481.,Dave Collins (27),2.936,1980,L
482,483.,Hoot Evers (27),2.935,1948,R
483,483.,Derrel Thomas (28),2.935,1979,R
484,483.,Ryan Thompson (26),2.935,1994,R
485,486.,Andre Dawson+ (27),2.934,1982,R
486,486.,Nook Logan (25),2.934,2005,R
487,486.,Al Oliver (29),2.934,1976,L
488,486.,Pete Whisenant (26),2.934,1956,R
489,490.,Happy Felsch (28),2.933,1920,R
490,490.,Charlie Jamieson (35),2.933,1928,L
491,492.,Adam Comorosky (27),2.932,1932,R
492,492.,Andy Van Slyke (28),2.932,1989,R
493,494.,Brandon Barnes (27),2.931,2013,R
494,494.,Johnny Damon (31),2.931,2005,L
495,494.,Kevin Pillar (26),2.931,2015,R
496,494.,Bill Sharp (25),2.931,1975,L
497,498.,Fred Brickell (23),2.930,1930,R
498,498.,Johnny Cooney (35),2.930,1936,L
499,498.,Joe DiMaggio+ (22),2.930,1937,R
