,Rank,Player (age that year),Situ. Wins Added (WPA/LI),Year,Bats
262,260.,Jim Thome+ (30),5.71,2001,L
263,264.,Stan Musial+ (33),5.70,1954,L
264,265.,Ryan Braun (28),5.69,2012,R
265,265.,Josh Donaldson (29),5.69,2015,R
266,265.,Jim Rice+ (25),5.69,1978,R
267,268.,Al Simmons+ (27),5.68,1929,R
268,269.,Dick Allen (26),5.67,1968,R
269,269.,Barry Bonds (30),5.67,1995,L
270,269.,Darryl Strawberry (26),5.67,1988,L
271,272.,Brian Giles (30),5.66,2001,L
272,273.,John Olerud (29),5.65,1998,L
273,273.,Mel Ott+ (26),5.65,1935,L
274,273.,Alex Rodriguez (26),5.65,2002,R
275,273.,Frank Thomas+ (23),5.65,1991,R
276,277.,Al Kaline+ (32),5.64,1967,R
277,277.,Harmon Killebrew+ (30),5.64,1966,R
278,277.,Eddie Mathews+ (28),5.64,1960,L
279,277.,Alex Rodriguez (24),5.64,2000,R
280,277.,Darryl Strawberry (25),5.64,1987,L
281,282.,Jose Bautista (33),5.63,2014,R
282,282.,Manny Ramirez (36),5.63,2008,R
283,284.,Johnny Mize+ (25),5.62,1938,L
284,285.,Stan Musial+ (29),5.61,1950,L
285,286.,Mel Ott+ (33),5.60,1942,L
286,287.,Hank Greenberg+ (24),5.59,1935,R
287,287.,Joe Morgan+ (29),5.59,1973,L
288,287.,Boog Powell (28),5.59,1970,L
289,287.,Tris Speaker+ (32),5.59,1920,L
290,291.,Jose Bautista (29),5.58,2010,R
291,291.,Ken Griffey Jr.+ (28),5.58,1998,L
292,291.,Reggie Smith (32),5.58,1977,B
293,294.,Craig Biggio+ (31),5.57,1997,R
294,294.,Travis Hafner (28),5.57,2005,L
295,296.,Vladimir Guerrero+ (25),5.55,2000,R
296,296.,Harmon Killebrew+ (28),5.55,1964,R
297,296.,Stan Musial+ (30),5.55,1951,L
298,296.,Mike Trout (22),5.55,2014,R
299,300.,Hank Aaron+ (28),5.54,1962,R
300,300.,Stan Musial+ (36),5.54,1957,L
301,300.,Jim Thome+ (32),5.54,2003,L
302,303.,Matt Holliday (27),5.53,2007,R
303,304.,George Foster (28),5.52,1977,R
304,304.,Rogers Hornsby+ (29),5.52,1925,R
305,304.,Eddie Mathews+ (22),5.52,1954,L
306,304.,Don Mattingly (25),5.52,1986,L
307,304.,Joe Morgan+ (30),5.52,1974,L
308,309.,Jimmie Foxx+ (31),5.50,1939,R
309,309.,Ken Griffey Jr.+ (23),5.50,1993,L
310,309.,Boog Powell (27),5.50,1969,L
311,312.,Jeff Bagwell+ (32),5.49,2000,R
312,312.,Jimmie Foxx+ (27),5.49,1935,R
313,312.,Pete Rose (28),5.49,1969,B
314,312.,Sammy Sosa (30),5.49,1999,R
315,316.,Al Kaline+ (31),5.48,1966,R
316,316.,Fred Lynn (27),5.48,1979,L
317,316.,Lefty O'Doul (32),5.48,1929,L
318,316.,Mel Ott+ (21),5.48,1930,L
319,316.,Anthony Rizzo (25),5.48,2015,L
320,316.,Sammy Sosa (33),5.48,2002,R
321,316.,Paul Waner+ (25),5.48,1928,L
322,316.,Billy Williams+ (32),5.48,1970,L
323,324.,Aaron Judge (25),5.47,2017,R
324,325.,Charlie Keller (29),5.46,1946,L
325,325.,Frank Thomas+ (28),5.46,1996,R
326,327.,Charlie Keller (24),5.44,1941,L
327,327.,Robin Yount+ (26),5.44,1982,R
328,329.,Rogers Hornsby+ (31),5.43,1927,R
329,329.,Frank Thomas+ (32),5.43,2000,R
330,329.,Joey Votto (27),5.43,2011,L
331,329.,Ted Williams+ (28),5.43,1947,L
332,333.,Willie Mays+ (28),5.42,1959,R
333,334.,Gary Sheffield (23),5.41,1992,R
334,335.,Willie Mays+ (30),5.40,1961,R
335,335.,Johnny Mize+ (34),5.40,1947,L
336,335.,Babe Ruth+ (27),5.40,1922,L
337,338.,Jeff Burroughs (27),5.39,1978,R
338,338.,David Wright (25),5.39,2008,R
339,340.,Dolph Camilli (34),5.38,1941,L
340,341.,Ripper Collins (30),5.37,1934,B
341,341.,Lou Gehrig+ (26),5.37,1929,L
342,341.,Chuck Klein+ (24),5.37,1929,L
343,344.,Ernie Banks+ (27),5.36,1958,R
344,344.,Craig Biggio+ (32),5.36,1998,R
345,344.,Miguel Cabrera (23),5.36,2006,R
346,347.,Duke Snider+ (29),5.35,1956,L
347,348.,Dale Murphy (27),5.34,1983,R
348,348.,Bill Terry+ (31),5.34,1930,L
349,350.,Bobby Bonds (27),5.33,1973,R
