,Rank,Player (age that year),Caught Stealing %,Year,Throws
229,230.,Sam Agnew (26),54.07,1913,R
230,230.,Lou Criger (36),54.07,1908,R
231,232.,Rick Ferrell+ (24),54.05,1930,R
232,232.,Mike Guerra (34),54.05,1947,R
233,232.,Sherm Lollar (31),54.05,1956,R
234,232.,Phil Roof (30),54.05,1971,R
235,232.,Mike Tresh (32),54.05,1946,R
236,237.,Benny Bengough (26),54.02,1925,R
237,237.,Yogi Berra+ (26),54.02,1951,R
238,237.,Ed Sweeney (21),54.02,1910,R
239,240.,Clyde Kluttz (30),54.00,1948,R
240,240.,Yadier Molina (24),54.00,2007,R
241,242.,Dick Bertell (28),53.97,1964,R
242,242.,Jimmie Wilson (29),53.97,1930,R
243,244.,Walter Schmidt (36),53.95,1923,R
244,245.,Sam Agnew (31),53.92,1918,R
245,246.,Larry McLean (27),53.89,1909,R
246,247.,Claude Berry (35),53.85,1915,R
247,247.,Buck Crouse (28),53.85,1925,R
248,247.,Rick Ferrell+ (39),53.85,1945,R
249,247.,Ed FitzGerald (35),53.85,1959,R
250,247.,Ron Karkovice (29),53.85,1993,R
251,247.,Clyde McCullough (25),53.85,1942,R
252,253.,Roger Bresnahan+ (27),53.75,1906,R
253,254.,Boss Schmidt (25),53.73,1906,R
254,255.,Ray Berres (33),53.70,1941,R
255,255.,Sal Butera (28),53.70,1981,R
256,255.,Buck Crouse (31),53.70,1928,R
257,255.,Doc Marshall (28),53.70,1904,R
258,255.,Wes Westrum (27),53.70,1950,R
259,260.,Steve O'Neill (26),53.69,1918,R
260,261.,Ray Schalk+ (23),53.68,1916,R
261,262.,Joe Astroth (29),53.66,1952,R
262,262.,Roy Campanella+ (31),53.66,1953,R
263,262.,Roy Campanella+ (32),53.66,1954,R
264,262.,Shanty Hogan (28),53.66,1934,R
265,262.,Kenji Johjima (33),53.66,2009,R
266,267.,Fred Jacklitsch (31),53.51,1907,R
267,268.,Clyde McCullough (34),53.49,1951,R
268,269.,Bert Whaling (26),53.47,1914,R
269,270.,Roger Bresnahan+ (30),53.45,1909,R
270,270.,Rick Dempsey (26),53.45,1976,R
271,270.,Bill Dickey+ (29),53.45,1936,R
272,273.,George Mitterwald (25),53.43,1970,R
273,274.,Walker Cooper (37),53.33,1952,R
274,274.,Mike LaValliere (34),53.33,1995,R
275,274.,Ernie Lombardi+ (31),53.33,1939,R
276,274.,Joe Mauer (24),53.33,2007,R
277,278.,Ray Schalk+ (22),53.29,1915,R
278,279.,Muddy Ruel (27),53.25,1923,R
279,280.,Chief Meyers (33),53.22,1914,R
280,281.,Mike González (26),53.19,1917,R
281,281.,Gabby Hartnett+ (23),53.19,1924,R
282,283.,Lou Criger (31),53.14,1903,R
283,284.,Ferrell Anderson (28),53.13,1946,R
284,284.,Stew Hofferth (32),53.13,1945,R
285,284.,Billy Sullivan (29),53.13,1940,R
286,287.,Otto Miller (23),53.09,1912,R
287,287.,Gil Reyes (27),53.09,1991,R
288,289.,Luke Sewell (26),53.08,1927,R
289,290.,Bill Freehan (22),53.06,1964,R
290,290.,Buddy Rosar (30),53.06,1945,R
291,292.,Luke Sewell (27),53.04,1928,R
292,293.,Larry McLean (28),52.97,1910,R
293,294.,Pinky Hargrave (36),52.94,1932,R
294,294.,Jack O'Connor (36),52.94,1902,R
295,294.,Brian Schneider (26),52.94,2003,R
296,294.,Roy Spencer (32),52.94,1932,R
297,294.,Mike Tresh (29),52.94,1943,R
298,299.,Butch Wynegar (23),52.89,1979,R
299,300.,Boss Schmidt (27),52.87,1908,R
300,301.,Harry Danning (28),52.86,1940,R
301,302.,Butch Henline (26),52.83,1921,R
302,302.,Terry Humphrey (22),52.83,1972,R
303,302.,Johnny Kling (32),52.83,1908,R
304,305.,Ray Schalk+ (29),52.80,1922,R
305,306.,Frank Snyder (21),52.78,1915,R
306,307.,Al Spohrer (29),52.73,1932,R
307,308.,Rip Williams (32),52.70,1914,R
308,309.,Mike Matheny (29),52.69,2000,R
309,310.,Hank Gowdy (29),52.63,1919,R
310,310.,Jerry Grote (29),52.63,1972,R
311,310.,Rollie Hemsley (27),52.63,1934,R
312,310.,Del Rice (29),52.63,1952,R
313,314.,Chris Cannizzaro (27),52.54,1965,R
314,315.,Joe Azcue (27),52.50,1967,R
315,315.,Frank Bowerman (31),52.50,1900,R
316,315.,Rollie Hemsley (37),52.50,1944,R
317,315.,Glenn Myatt (33),52.50,1931,R
318,319.,Hank Gowdy (26),52.47,1916,R
319,320.,Clint Courtney (26),52.46,1953,R
320,320.,Del Crandall (29),52.46,1959,R
321,322.,Muddy Ruel (25),52.44,1921,R
322,323.,Mike Heydon (31),52.43,1906,R
323,324.,Buck Rodgers (28),52.38,1967,R
324,324.,Ellie Rodriguez (27),52.38,1973,R
325,324.,Jack Shepard (24),52.38,1955,R
326,324.,Farmer Steelman (26),52.38,1901,R
327,324.,Ron Tingley (32),52.38,1991,R
328,329.,Doc Powers (35),52.34,1906,R
329,330.,Hank Gowdy (32),52.33,1922,R
330,331.,Bill Carrigan (25),52.29,1909,R
331,331.,Lou Criger (30),52.29,1902,R
332,331.,Jack Warner (24),52.29,1897,R
333,334.,Billy Sullivan (31),52.28,1906,R
334,335.,Roy Campanella+ (33),52.27,1955,R
335,335.,Bill Rariden (27),52.27,1915,R
336,335.,Steve Yeager (36),52.27,1985,R
337,338.,Billy Sullivan (29),52.23,1904,R
338,339.,Ivey Wingo (30),52.22,1921,R
339,340.,Bob Swift (30),52.17,1945,R
340,341.,Ernie Lombardi+ (37),52.08,1945,R
341,341.,Bob O'Farrell (24),52.08,1921,R
342,341.,Aaron Robinson (31),52.08,1946,R
343,341.,Jimmie Wilson (23),52.08,1924,R
344,345.,Hank Gowdy (24),52.05,1914,R
345,346.,Charlie Graham (28),52.00,1906,R
346,346.,Frank Snyder (29),52.00,1923,R
347,348.,Jimmy Archer (30),51.98,1913,R
348,349.,Walter Schmidt (32),51.94,1919,R
349,350.,Jim Hegan (27),51.92,1948,R
350,350.,Sammy White (28),51.92,1956,R
351,352.,Yogi Berra+ (30),51.85,1955,R
352,353.,Rick Cerone (26),51.82,1980,R
353,353.,Cy Perkins (22),51.82,1918,R
354,353.,Ivan Rodriguez+ (20),51.82,1992,R
355,356.,Patsy Gharrity (30),51.81,1922,R
356,356.,Gabby Hartnett+ (26),51.81,1927,R
357,358.,Bill Killefer (25),51.79,1913,R
358,358.,Jeff Newman (28),51.79,1977,R
359,358.,Mickey Owen (25),51.79,1941,R
360,361.,Duke Farrell (36),51.72,1903,R
361,361.,Ray Lamanno (22),51.72,1942,R
362,361.,Morgan Murphy (31),51.72,1898,R
363,361.,Wally Schang (25),51.72,1915,R
364,365.,George Gibson (28),51.69,1909,R
365,366.,Mickey Cochrane+ (31),51.67,1934,R
366,366.,Wes Westrum (28),51.67,1951,R
367,368.,Bill Bergen (30),51.65,1908,R
368,369.,Cliff Lee (23),51.61,1920,R
369,369.,Paul Richards (36),51.61,1945,R
370,371.,Lou Criger (33),51.60,1905,R
