,Rank,Player (age that year),AB per SO,Year,Bats
220,220.,Willie Keeler+ (35),47.00,1907,L
221,222.,Arky Vaughan+ (31),46.92,1943,L
222,223.,Charlie Deal (29),46.89,1921,R
223,224.,Eddie Collins+ (39),46.88,1926,L
224,225.,Billy Goodman (27),46.73,1953,L
225,226.,Charlie Ganzel (33),46.67,1895,R
226,227.,Doc Cramer (37),46.62,1943,L
227,228.,Nellie Fox+ (32),46.54,1960,L
228,229.,Frank McCormick (30),46.38,1941,R
229,230.,Nellie Fox+ (28),46.36,1956,L
230,231.,Jumbo Latham (24),46.33,1877,R
231,232.,Nellie Fox+ (24),46.29,1952,L
232,233.,Ed Busch (27),46.22,1945,R
233,234.,Tommy McCarthy+ (29),46.20,1893,R
234,235.,Ed McKean (30),46.17,1894,R
235,236.,Joe Sewell+ (24),46.08,1923,L
236,237.,Jack Clements (30),46.00,1895,L
237,237.,Johnny Cooney (38),46.00,1939,R
238,237.,John Glenn (26),46.00,1876,R
239,240.,Cap Anson+ (31),45.89,1883,R
240,241.,Buttercup Dickerson (22),45.88,1881,L
241,242.,Joe Sewell+ (25),45.69,1924,L
242,243.,Heinie Manush+ (26),45.57,1928,L
243,244.,Tommy Bond (20),45.50,1876,R
244,245.,Jimmy Wasdell (31),45.45,1945,L
245,246.,John Ward+ (27),45.42,1887,L
246,247.,Jim O'Rourke+ (29),45.38,1880,R
247,248.,Willie Keeler+ (32),45.25,1904,L
248,249.,Hugh Duffy+ (32),45.23,1899,R
249,250.,Jimmy Collins+ (30),45.08,1900,R
250,251.,Frank Connaughton (27),45.00,1896,R
251,251.,Tommy Corcoran (30),45.00,1899,R
252,251.,Charlie Sweasy (28),45.00,1876,R
253,254.,Woody Jensen (27),44.79,1935,L
254,255.,Ossee Schrecongost (27),44.75,1902,R
255,255.,Lloyd Waner+ (31),44.75,1937,L
256,257.,Jack Glasscock (27),44.60,1885,R
257,258.,Dick Higham (24),44.57,1876,L
258,259.,Doggie Miller (27),44.50,1892,R
259,259.,Paul Waner+ (24),44.50,1927,L
260,261.,Lefty O'Doul (31),44.25,1928,L
261,262.,Patsy Tebeau (28),44.18,1893,R
262,263.,Lou Bierbauer (21),44.17,1887,L
263,264.,John Ward+ (31),44.10,1891,L
264,265.,Lou Bierbauer (27),44.00,1893,L
265,265.,Doc Cramer (35),44.00,1941,L
266,265.,Carey Selph (30),44.00,1932,R
267,268.,Frankie Frisch+ (31),43.92,1929,B
268,269.,Edd Roush+ (31),43.91,1924,L
269,270.,Billy Southworth+ (28),43.77,1921,L
270,271.,Sport McAllister (26),43.71,1901,B
271,272.,Hugh Duffy+ (31),43.69,1898,R
272,273.,John McGraw+ (20),43.64,1893,L
273,274.,Cupid Childs (26),43.55,1894,L
274,275.,John Clapp (29),43.50,1881,R
275,275.,Dave Eggler (27),43.50,1876,R
276,275.,Edd Roush+ (25),43.50,1918,L
277,278.,Jack McCarthy (30),43.46,1899,L
278,279.,Bob Wood (35),43.25,1901,R
279,280.,Red Schoendienst+ (34),43.20,1957,B
280,281.,John McGraw+ (22),43.11,1895,L
281,282.,Hugh Duffy+ (26),43.08,1893,R
282,282.,Willie Keeler+ (33),43.08,1905,L
283,282.,Hank Severeid (31),43.08,1922,R
284,285.,Johnny Cooney (36),43.00,1937,R
285,285.,Willie Keeler+ (30),43.00,1902,L
286,285.,Mike McGeary (26),43.00,1877,R
287,285.,Billy Southworth+ (32),43.00,1925,L
288,289.,Charlie Hollocher (25),42.92,1921,L
289,290.,Del Pratt (36),42.90,1924,R
290,291.,Jack McCarthy (32),42.88,1901,L
291,292.,Willie Keeler+ (31),42.67,1903,L
292,292.,John McGraw+ (21),42.67,1894,L
293,292.,Ed Somerville (23),42.67,1876,R
294,295.,Ossie Vitt (29),42.64,1919,R
295,296.,Duke Farrell (26),42.58,1893,B
296,297.,Lloyd Waner+ (25),42.56,1931,L
297,298.,John Clapp (25),42.50,1877,R
298,299.,Tris Speaker+ (32),42.46,1920,L
299,300.,Jimmy Brown (28),42.44,1938,B
300,301.,Nellie Fox+ (27),42.40,1955,L
301,302.,Sam Rice+ (40),42.36,1930,L
302,302.,Bobby Wallace+ (24),42.36,1898,R
303,304.,Stuffy McInnis (27),42.30,1918,R
304,305.,Dave Orr (30),42.18,1890,R
305,306.,Clyde Milan (33),42.17,1920,L
306,306.,Tris Speaker+ (33),42.17,1921,L
307,308.,Buddy Hassett (27),42.14,1939,L
308,308.,Vic Power (30),42.14,1958,R
309,310.,Jack Manning (23),42.00,1877,R
310,311.,Jack Glasscock (23),41.88,1881,R
311,312.,George Sisler+ (29),41.86,1922,L
312,313.,Sparky Adams (30),41.80,1925,R
313,314.,Earl Smith (29),41.71,1926,L
314,315.,Jake Stenzel (31),41.69,1898,R
315,316.,Jimmy Johnston (33),41.67,1923,R
316,317.,Joe DiMaggio+ (26),41.62,1941,R
317,317.,Kid Gleason (29),41.62,1896,B
318,319.,Jack Tobin (35),41.56,1927,L
319,320.,Herman Long (29),41.54,1895,L
320,321.,John Grim (25),41.50,1893,R
321,322.,Mike Griffin (33),41.31,1898,L
322,323.,Doggie Miller (30),41.17,1895,R
323,323.,Tris Speaker+ (31),41.17,1919,L
324,323.,Bobby Wallace+ (28),41.17,1902,R
325,326.,Lou Bierbauer (22),41.15,1888,L
326,327.,Ezra Sutton (30),41.14,1880,R
327,328.,Lou Finney (29),41.08,1940,L
328,328.,Mike Griffin (32),41.08,1897,L
329,330.,Sam Rice+ (38),41.07,1928,L
330,331.,Pie Traynor+ (27),41.00,1926,R
331,332.,George Sisler+ (34),40.93,1927,L
332,333.,Tommy Corcoran (27),40.92,1896,R
333,334.,Ty Cobb+ (40),40.83,1927,L
334,334.,Mike Smith (26),40.83,1894,L
335,336.,Bill Dickey+ (28),40.73,1935,L
336,336.,Nap Lajoie+ (37),40.73,1912,R
337,338.,Shoeless Joe Jackson (32),40.71,1920,L
338,339.,Dan Brouthers+ (27),40.70,1885,L
339,340.,Tommy Holmes (29),40.57,1946,L
340,341.,Johnny Cooney (39),40.56,1940,R
341,342.,Joe Vosmik (24),40.50,1934,R
342,343.,Cupid Childs (25),40.42,1893,L
343,344.,Earl Sheely (33),40.38,1926,R
344,344.,Jake Stenzel (27),40.38,1894,R
345,346.,Burgess Whitehead (31),40.30,1941,R
346,347.,Wally Pipp (34),40.27,1927,L
347,348.,Ross Barnes (26),40.25,1876,R
348,349.,Cap Anson+ (44),40.20,1896,R
349,350.,Dan Brouthers+ (30),40.15,1888,L
350,350.,George Kell+ (26),40.15,1949,R
351,352.,Roger Connor+ (37),40.10,1895,B
352,353.,Irish Meusel (26),40.08,1919,R
353,354.,Doc Cramer (31),40.00,1937,L
354,354.,Stuffy McInnis (28),40.00,1919,R
355,354.,Ossee Schrecongost (26),40.00,1901,R
356,357.,Bill Lange (26),39.92,1897,R
357,358.,Deacon White+ (33),39.88,1881,L
358,359.,Frankie Frisch+ (33),39.85,1931,B
359,360.,Emil Verban (29),39.80,1945,R
360,361.,Jack Glasscock (24),39.78,1882,R
361,362.,Sam Thompson+ (36),39.77,1896,L
362,363.,Fred Tenney (28),39.73,1900,L
363,364.,Ty Cobb+ (36),39.71,1923,L
364,364.,Johnny Frederick (31),39.71,1933,L
365,366.,John McGraw+ (25),39.62,1898,L
366,367.,Charlie Jamieson (31),39.60,1924,L
367,368.,Frankie Frisch+ (24),39.54,1922,B
368,369.,Charlie Grimm (23),39.53,1922,L
369,370.,Bill Killefer (31),39.38,1919,R
370,370.,Frank McCormick (28),39.38,1939,R
371,372.,Stan Spence (27),39.31,1942,L
372,373.,Lou Bierbauer (24),39.27,1890,L
373,373.,Hank Severeid (32),39.27,1923,R
374,375.,John Ward+ (28),39.23,1888,L
375,376.,Tris Speaker+ (27),39.07,1915,L
376,377.,Ed McKean (29),38.93,1893,R
377,378.,Ossee Schrecongost (24),38.82,1899,R
378,379.,Home Run Baker+ (32),38.77,1918,L
379,380.,Tris Speaker+ (34),38.73,1922,L
380,381.,Connie Mack+ (27),38.69,1890,R
381,382.,Joe Boley (31),38.64,1928,R
382,383.,Cap Anson+ (24),38.63,1876,R
383,383.,Tommy Holmes (30),38.63,1947,L
384,385.,Edd Roush+ (32),38.57,1925,L
385,386.,Charlie Irwin (29),38.54,1898,L
386,387.,George Cutshaw (35),38.38,1922,R
