,Rank,Player (age that year),Earned Runs,Year,Throws
421,408.,Jack Scott (35),132,1927,R
422,423.,Lew Burdette (32),131,1959,R
423,423.,Larry Corcoran (23),131,1883,R
424,423.,Dixie Davis (30),131,1921,R
425,423.,George Derby (24),131,1882,R
426,423.,Howard Ehmke (28),131,1922,R
427,423.,Shawn Estes (31),131,2004,L
428,423.,Hank Gastright (25),131,1890,R
429,423.,George Keefe (22),131,1889,L
430,423.,Jose Lima (32),131,2005,R
431,423.,Mickey Lolich (32),131,1973,L
432,423.,Charlie McCullough (24),131,1890,R
433,423.,Billy Rhines (28),131,1897,R
434,423.,Jimmy Ring (28),131,1923,R
435,423.,Jimmy Ring (30),131,1925,R
436,423.,John Sowders (23),131,1890,L
437,438.,Pedro Astacio (30),130,1999,R
438,438.,George Caster (32),130,1940,R
439,438.,Ice Box Chamberlain (19),130,1887,R
440,438.,Ed Daily (27),130,1890,R
441,438.,George Earnshaw (32),130,1932,R
442,438.,Sammy Ellis (25),130,1966,R
443,438.,Hank Gastright (28),130,1893,R
444,438.,Pretzels Getzien (22),130,1886,R
445,438.,Burleigh Grimes+ (29),130,1923,R
446,438.,Willis Hudlin (25),130,1931,R
447,438.,Wayne LaMaster (30),130,1937,L
448,438.,Con Lucid (21),130,1895,
449,438.,Jason Marquis (27),130,2006,R
450,438.,Doc McJames (22),130,1897,R
451,438.,Mike Mussina+ (27),130,1996,R
452,438.,Toad Ramsey (23),130,1888,L
453,438.,Buck Ross (21),130,1936,R
454,438.,Johnny Sain (31),130,1949,R
455,438.,Dupee Shaw (28),130,1887,L
456,438.,Vic Sorrell (28),130,1929,R
457,438.,Dave Stewart (34),130,1991,R
458,438.,George Uhle (23),130,1922,R
459,438.,Bucky Walters (28),130,1937,R
460,438.,Lefty Williams (27),130,1920,L
461,438.,Jamey Wright (23),130,1998,R
462,463.,Bill Bernhard (30),129,1901,R
463,463.,Theodore Breitenstein (28),129,1897,L
464,463.,Murry Dickson (34),129,1951,R
465,463.,Jack Dunn (25),129,1898,R
466,463.,Jack Fifield (25),129,1897,R
467,463.,Pud Galvin+ (29),129,1886,R
468,463.,George Haddock (22),129,1889,R
469,463.,Erik Hanson (31),129,1996,R
470,463.,Mel Harder (26),129,1936,R
471,463.,LaTroy Hawkins (26),129,1999,R
472,463.,Pink Hawley (27),129,1900,R
473,463.,Mark Langston (25),129,1986,L
474,463.,Rick Mahler (32),129,1986,R
475,463.,Sadie McMahon (26),129,1894,R
476,463.,Bobo Newsom (34),129,1942,R
477,463.,Phil Niekro+ (40),129,1979,R
478,463.,Gaylord Perry+ (34),129,1973,R
479,463.,Charlie Root (28),129,1927,R
480,463.,Dutch Ruether (29),129,1923,L
481,463.,Bill Sherdel (32),129,1929,L
482,463.,Urban Shocker (30),129,1921,R
483,463.,Tanyon Sturtze (31),129,2002,R
484,463.,Tommy Thomas (31),129,1931,R
485,463.,Mickey Welch+ (23),129,1883,R
486,463.,Mickey Welch+ (27),129,1887,R
487,463.,Claude Willoughby (31),129,1930,R
488,489.,John Clarkson+ (23),128,1885,R
489,489.,Benny Frey (24),128,1930,R
490,489.,Pud Galvin+ (31),128,1888,R
491,489.,Slim Harriss (24),128,1922,R
492,489.,Hardie Henderson (21),128,1884,R
493,489.,Hardie Henderson (23),128,1886,R
494,489.,Sid Hudson (25),128,1940,R
495,489.,Watty Lee (21),128,1901,L
496,489.,Elmer Myers (22),128,1916,R
497,489.,Bobo Newsom (33),128,1941,R
498,489.,Monte Pearson (25),128,1934,R
499,489.,Bill Rotes (22),128,1893,
500,489.,Henry Schmidt (30),128,1903,R
501,489.,Sherry Smith (34),128,1925,L
502,489.,Frank Viola (23),128,1983,L
503,489.,David Wells (33),128,1996,L
504,489.,Jim Whitney (25),128,1883,R
505,489.,Wilbur Wood (32),128,1974,L
506,489.,Early Wynn+ (28),128,1948,R
