,Rank,Player (age that year),Putouts as SS,Year,Throws
188,188.,Alfredo Griffin (24),319,1982,R
189,188.,Harry Lochhead (23),319,1899,R
190,188.,Rabbit Maranville+ (37),319,1929,R
191,188.,Roy McMillan (26),319,1956,R
192,188.,Ollie O'Mara (24),319,1915,R
193,188.,Joe Sewell+ (22),319,1921,R
194,195.,Rudy Hulswitt (25),318,1902,R
195,195.,Red Kress (23),318,1928,R
196,195.,Roger Peckinpaugh (30),318,1921,R
197,198.,Dave Bancroft+ (35),317,1926,R
198,198.,Dick Bartell (28),317,1936,R
199,198.,Donie Bush (24),317,1912,R
200,198.,George Davis+ (28),317,1899,R
201,198.,Jimmy Esmond (24),317,1914,R
202,198.,Wally Gerber (32),317,1924,R
203,198.,Ed Holly (27),317,1907,R
204,198.,Rabbit Maranville+ (21),317,1913,R
205,198.,Leo Norris (28),317,1936,R
206,198.,Phil Rizzuto+ (33),317,1951,R
207,208.,Bill Dahlen (34),316,1904,R
208,208.,George McBride (32),316,1913,R
209,208.,Pee Wee Reese+ (30),316,1949,R
