,Rank,Player (age that year),Range Factor/Game as RF (s.1901),Year,Throws
324,322.,Sammy Sosa (27),2.161,1996,R
325,326.,Jose Canseco (23),2.160,1988,R
326,326.,Dale Murphy (34),2.160,1990,R
327,328.,Larry Walker+ (26),2.159,1993,R
328,329.,Ken Griffey (32),2.158,1982,L
329,329.,Red Murray (29),2.158,1913,R
330,329.,Leon Roberts (24),2.158,1975,R
331,329.,Dave Winfield+ (33),2.158,1985,R
332,333.,Raul Mondesi (29),2.156,2000,R
333,334.,Dixie Walker (32),2.155,1943,R
334,335.,Bobby Higginson (32),2.154,2003,R
335,336.,Jay Bruce (22),2.153,2009,L
336,336.,Joe Orsulak (30),2.153,1992,L
337,338.,Chuck Klein+ (28),2.151,1933,R
338,338.,Sammy Sosa (21),2.151,1990,R
339,340.,Jesse Barfield (27),2.150,1987,R
340,340.,Jim Lemon (28),2.150,1956,R
341,340.,Dave Parker (27),2.150,1978,R
342,340.,George Springer (26),2.150,2016,R
343,340.,Claudell Washington (24),2.150,1979,L
344,345.,Dwight Evans (27),2.149,1979,R
345,345.,Chris James (25),2.149,1988,R
346,347.,Lee King (24),2.147,1917,R
347,348.,Kole Calhoun (32),2.146,2020,L
348,349.,Tommy Henrich (34),2.145,1947,L
349,349.,Dale Murphy (31),2.145,1987,R
350,349.,Sam Rice+ (29),2.145,1919,R
351,352.,Jay Bruce (26),2.144,2013,L
352,352.,Cliff Heathcote (25),2.144,1923,L
353,352.,Mike Mitchell (31),2.144,1911,R
354,352.,Ellis Valentine (23),2.144,1978,R
355,356.,Ira Flagstead (26),2.143,1920,R
356,356.,Harry Heilmann+ (28),2.143,1923,R
357,356.,Sam Mele (29),2.143,1951,R
358,356.,Curt Walker (25),2.143,1922,R
359,360.,George Burns (33),2.140,1923,R
360,360.,David Justice (27),2.140,1993,L
361,360.,Willard Marshall (28),2.140,1949,R
362,360.,Hosken Powell (25),2.140,1980,L
363,364.,Rocky Colavito (23),2.139,1957,R
364,364.,Kiki Cuyler+ (29),2.139,1928,R
365,364.,Johnny Frederick (31),2.139,1933,L
366,367.,Tommy Henrich (35),2.138,1948,L
367,367.,Wes Schulmerich (29),2.138,1931,R
