,Rank,Player (age that year),Range Factor/Game as OF,Year,Throws
475,475.,Rick Manning (25),2.777,1980,R
476,477.,Mike Cameron (36),2.776,2009,R
477,477.,Andruw Jones (23),2.776,2000,R
478,477.,Otis Nixon (37),2.776,1996,R
479,480.,Liz Funk (27),2.775,1932,L
480,481.,Bill North (32),2.774,1980,R
481,481.,Harry Walker (28),2.774,1947,R
482,483.,Willie Davis (36),2.773,1976,L
483,483.,Shane Mack (29),2.773,1993,R
484,485.,Jerry Mumphrey (29),2.772,1982,R
485,485.,Denny Sothern (24),2.772,1928,R
486,487.,Earl Averill+ (30),2.771,1932,R
487,488.,Ty Cobb+ (37),2.768,1924,R
488,488.,Milt Cuyler (22),2.768,1991,R
489,490.,Harry Rice (26),2.767,1928,R
490,490.,Devon White (24),2.767,1987,R
491,490.,Mookie Wilson (28),2.767,1984,R
492,493.,Bill Bruton (30),2.766,1956,R
493,493.,Jack Rothrock (24),2.766,1929,R
494,495.,Carlos Gonzalez (22),2.765,2008,L
495,495.,Aaron Hicks (23),2.765,2013,R
496,495.,Devon White (31),2.765,1994,R
497,495.,George Wright (23),2.765,1982,R
498,499.,Tom Brunansky (21),2.764,1982,R
499,499.,Chick Hafey+ (31),2.764,1934,R
