,Rank,Player (age that year),Hit By Pitch,Year,Bats
121,104.,Connie Mack+ (27),20,1890,R
122,104.,Melvin Mora (30),20,2002,R
123,104.,Carlos Quentin (25),20,2008,R
124,104.,Carlos Quentin (27),20,2010,R
125,104.,Anthony Rizzo (28),20,2018,L
126,104.,Frank Robinson+ (20),20,1956,R
127,104.,Joe Sullivan (26),20,1896,
128,104.,Tommy Tucker (29),20,1893,B
129,130.,Brady Anderson (33),19,1997,L
130,130.,Jake Beckley+ (26),19,1894,L
131,130.,Robinson Chirinos (34),19,2018,R
132,130.,Carlos Delgado (31),19,2003,L
133,130.,Damion Easley (29),19,1999,R
134,130.,Danny Espinosa (24),19,2011,B
135,130.,Steve Evans (26),19,1911,L
136,130.,Art Fletcher (32),19,1917,R
137,130.,Jason Giambi (34),19,2005,L
138,130.,Carlos Gomez (28),19,2014,R
139,130.,Carlos Gomez (31),19,2017,R
140,130.,Alex Gordon (35),19,2019,L
141,130.,Jose Guillen (29),19,2005,R
142,130.,Jose Guillen (31),19,2007,R
143,130.,Dave Hollins (26),19,1992,B
144,130.,Geoff Jenkins (30),19,2005,L
145,130.,Hughie Jennings+ (30),19,1899,R
146,130.,Jason Kendall (30),19,2004,R
147,130.,Red Killefer (30),19,1915,R
148,130.,Chuck Knoblauch (27),19,1996,R
149,130.,Starling Marte (26),19,2015,R
150,130.,Dan McGann (33),19,1905,B
151,130.,Dan McGann (36),19,1908,B
152,130.,John McGraw+ (25),19,1898,L
153,130.,Frank Menechino (30),19,2001,R
154,130.,Dick Padden (27),19,1898,R
155,130.,Aaron Rowand (29),19,2007,R
156,130.,Jake Stenzel (31),19,1898,R
157,130.,Tommy Tucker (31),19,1895,B
158,130.,Tommy Tucker (34),19,1898,B
159,130.,Justin Turner (32),19,2017,R
160,130.,Justin Upton (23),19,2011,R
161,130.,Rickie Weeks (23),19,2006,R
162,130.,Curt Welch (27),19,1889,R
163,130.,Deacon White+ (42),19,1890,L
164,165.,Don Baylor (29),18,1978,R
165,165.,Angel Berroa (25),18,2003,R
166,165.,Steve Brodie (27),18,1896,L
167,165.,Dan Brouthers+ (32),18,1890,L
168,165.,Kris Bryant (24),18,2016,R
169,165.,Mark Canha (30),18,2019,R
170,165.,Shin-Soo Choo (36),18,2019,L
171,165.,Brady Clark (32),18,2005,R
172,165.,Alex Cora (28),18,2004,L
173,165.,Bert Daniels (28),18,1911,R
174,165.,Bert Daniels (29),18,1912,R
175,165.,Bert Daniels (30),18,1913,R
176,165.,Derek Dietrich (27),18,2017,L
177,165.,Frank Fennelly (26),18,1886,R
178,165.,Andy Fox (27),18,1998,L
179,165.,Buck Freeman (27),18,1899,L
180,165.,Bucky Harris+ (24),18,1921,R
181,165.,Jon Jay (33),18,2018,L
182,165.,Bill Joyce (30),18,1898,L
183,165.,Willie Keeler+ (22),18,1894,L
184,165.,Chuck Knoblauch (29),18,1998,R
185,165.,Denny Lyons (25),18,1891,R
186,165.,Mike Macfarlane (30),18,1994,R
187,165.,Martin Maldonado (30),18,2017,R
188,165.,Dan McGann (32),18,1904,B
189,165.,Dick Padden (33),18,1904,R
190,165.,Rick Reichardt (25),18,1968,R
191,165.,John Reilly (29),18,1888,R
192,165.,John Reilly (30),18,1889,R
193,165.,Frank Robinson+ (29),18,1965,R
194,165.,Sean Rodriguez (26),18,2011,R
195,165.,Aaron Rowand (28),18,2006,R
196,165.,Jimmy Sheckard (20),18,1899,L
197,165.,Kelly Shoppach (29),18,2009,R
198,165.,Tommy Tucker (24),18,1888,B
199,165.,Chase Utley (31),18,2010,L
200,165.,Shane Victorino (32),18,2013,R
201,165.,Fernando Vina (33),18,2002,L
202,203.,Jack Barry (29),17,1916,R
203,203.,Craig Biggio+ (36),17,2002,R
204,203.,Craig Biggio+ (39),17,2005,R
205,203.,Kris Bryant (26),17,2018,R
206,203.,Marlon Byrd (32),17,2010,R
207,203.,Frank Chance+ (28),17,1905,R
208,203.,Shin-Soo Choo (26),17,2009,L
209,203.,C.J. Cron (28),17,2018,R
210,203.,Carlos Delgado (33),17,2005,L
211,203.,Brian Downing (35),17,1986,R
212,203.,Brian Downing (36),17,1987,R
213,203.,Steve Evans (27),17,1912,L
214,203.,Prince Fielder (28),17,2012,L
215,203.,Carlton Fisk+ (37),17,1985,R
216,203.,Nellie Fox+ (27),17,1955,L
217,203.,Andres Galarraga (35),17,1996,R
218,203.,Andres Galarraga (36),17,1997,R
219,203.,Andres Galarraga (39),17,2000,R
220,203.,Billy Gilbert (28),17,1904,R
221,203.,Keith Ginter (27),17,2003,R
222,203.,Travis Hafner (27),17,2004,L
223,203.,Buck Herzog (25),17,1911,R
224,203.,Charlie Hickman (24),17,1900,R
225,203.,Matt Holliday (34),17,2014,R
226,203.,Brandon Inge (32),17,2009,R
227,203.,Bill Joyce (29),17,1897,L
228,203.,Jung Ho Kang (28),17,2015,R
229,203.,Jason Kendall (35),17,2009,R
230,203.,Chuck Knoblauch (28),17,1997,R
231,203.,Heinie Manush+ (21),17,1923,L
232,203.,Starling Marte (25),17,2014,R
233,203.,Kevin Millar (32),17,2004,R
234,203.,Minnie Minoso (27),17,1953,R
235,203.,Minnie Minoso (33),17,1959,R
236,203.,Charlie O'Brien (36),17,1996,R
237,203.,Dick Padden (28),17,1899,R
238,203.,Josh Phelps (25),17,2003,R
239,203.,Carlos Quentin (29),17,2012,R
240,203.,Yank Robinson (27),17,1887,R
241,203.,Grady Sizemore (24),17,2007,L
242,203.,Ed Sprague (31),17,1999,R
243,203.,Jake Stahl (26),17,1905,R
244,203.,Ed Swartwood (31),17,1890,L
245,203.,Roy Thomas (25),17,1899,L
246,203.,Cesar Tovar (27),17,1968,R
247,203.,Tommy Tucker (30),17,1894,B
248,203.,Dave Valle (32),17,1993,R
249,203.,Curt Welch (30),17,1892,R
250,203.,Kevin Youkilis (33),17,2012,R
251,203.,Mike Zunino (23),17,2014,R
252,253.,Dave Altizer (32),16,1909,L
253,253.,Brian Anderson (25),16,2018,R
254,253.,Jeff Bagwell+ (29),16,1997,R
255,253.,Jose Bautista (25),16,2006,R
256,253.,Craig Biggio+ (34),16,2000,R
257,253.,Jeff Blauser (27),16,1993,R
258,253.,Phil Bradley (29),16,1988,R
259,253.,Dan Brouthers+ (34),16,1892,L
260,253.,Jeromy Burnitz (30),16,1999,L
261,253.,Frank Chance+ (27),16,1904,R
262,253.,Fred Clarke+ (26),16,1899,L
263,253.,Bert Daniels (27),16,1910,R
264,253.,Carlos Delgado (29),16,2001,L
265,253.,Einar Diaz (28),16,2001,R
266,253.,Damion Easley (27),16,1997,R
267,253.,Damion Easley (28),16,1998,R
268,253.,Kid Elberfeld (30),16,1905,R
269,253.,Sal Fasano (26),16,1998,R
270,253.,Elmer Flick+ (24),16,1900,L
271,253.,Lew Ford (28),16,2005,R
272,253.,Nellie Fox+ (29),16,1957,L
273,253.,Doc Gessler (29),16,1910,L
274,253.,Jason Giambi (35),16,2006,L
275,253.,Richard Hidalgo (26),16,2001,R
276,253.,Ron Hunt (33),16,1974,R
277,253.,Lou Johnson (30),16,1965,R
278,253.,Reed Johnson (28),16,2005,R
279,253.,Bill Keister (27),16,1899,L
280,253.,Red Killefer (25),16,1910,R
281,253.,Mike Kinkade (30),16,2003,R
282,253.,Henry Larkin (29),16,1889,R
283,253.,Sherm Lollar (31),16,1956,R
284,253.,Mike Macfarlane (29),16,1993,R
285,253.,Heinie Manush+ (22),16,1924,L
286,253.,Starling Marte (27),16,2016,R
287,253.,Starling Marte (30),16,2019,R
288,253.,John McGraw+ (20),16,1893,L
289,253.,Pat Meares (28),16,1997,R
