,Rank,Player (age that year),Range Factor/9Inn as LF (s.1948),Year,Throws
314,313.,Corey Dickerson (29),2.230,2018,R
315,313.,Scott Podsednik (29),2.230,2005,L
316,317.,Steve Henderson (25),2.229,1978,R
317,318.,Coco Crisp (25),2.228,2005,R
318,319.,Shane Mack (28),2.227,1992,R
319,320.,Barney McCosky (31),2.226,1948,R
320,321.,Hank Aaron+ (39),2.225,1973,R
321,321.,George Foster (31),2.225,1980,R
322,321.,Charlie Maxwell (32),2.225,1959,L
323,321.,Jay Payton (30),2.225,2003,R
324,321.,Alfonso Soriano (31),2.225,2007,R
325,326.,Rico Carty (32),2.224,1972,R
326,326.,George Foster (27),2.224,1976,R
327,328.,Vince Coleman (28),2.223,1990,R
328,328.,Corey Dickerson (28),2.223,2017,R
329,328.,Kevin McReynolds (31),2.223,1991,R
330,331.,George Foster (34),2.222,1983,R
331,332.,Tim Raines+ (28),2.221,1988,R
332,333.,Dave Roberts (34),2.218,2006,L
333,334.,Juan Gonzalez (23),2.217,1993,R
334,334.,Pete Rose (33),2.217,1974,R
335,336.,George Bell (30),2.216,1990,R
336,336.,Ted Williams+ (29),2.216,1948,R
337,338.,Gus Zernial (29),2.215,1952,R
338,339.,Joe Carter (35),2.214,1995,R
339,339.,Bill White (25),2.214,1959,L
340,341.,Albert Belle (28),2.213,1995,R
341,341.,Geoff Jenkins (25),2.213,2000,R
342,341.,Gene Woodling (34),2.213,1957,R
343,344.,Tito Francona (27),2.210,1961,L
344,344.,Lou Piniella (35),2.210,1979,R
345,346.,Jose Cruz (32),2.209,1980,L
346,346.,Dan Gladden (33),2.209,1991,R
347,346.,Billy Hatcher (30),2.209,1991,R
348,349.,Brian Downing (34),2.207,1985,R
349,349.,Mike Greenwell (24),2.207,1988,R
350,349.,Kevin Mitchell (27),2.207,1989,R
351,352.,Ted Williams+ (32),2.206,1951,R
352,353.,Phil Bradley (30),2.205,1989,R
353,353.,Ralph Garr (29),2.205,1975,R
354,353.,Austin Kearns (30),2.205,2010,R
355,356.,Luis Gonzalez (27),2.204,1995,R
356,357.,Scott Podsednik (34),2.203,2010,L
357,358.,Hoot Evers (32),2.202,1953,R
358,359.,Mickey Brantley (27),2.201,1988,R
359,359.,John Briggs (29),2.201,1973,L
360,359.,Yoenis Céspedes (27),2.201,2013,R
361,359.,Bob Nieman (32),2.201,1959,R
362,359.,Tim Raines+ (31),2.201,1991,R
363,364.,Ray Lankford (32),2.200,1999,L
364,364.,Nolan Reimold (25),2.200,2009,R
365,364.,Al Woods (25),2.200,1979,L
366,367.,Ken Henderson (26),2.199,1972,R
367,368.,Ben Francisco (26),2.198,2008,R
368,369.,Steve Henderson (26),2.197,1979,R
369,370.,Hank Sauer (31),2.194,1948,R
370,370.,Roy White (29),2.194,1973,R
371,372.,Carl Crawford (25),2.193,2007,L
372,372.,Ralph Kiner+ (28),2.193,1951,R
373,374.,Jerry Mumphrey (26),2.192,1979,R
374,374.,Shannon Stewart (33),2.192,2007,R
375,376.,Greg Briley (24),2.191,1989,R
376,377.,Jose Cruz (31),2.189,1979,L
377,377.,Kevin Mench (27),2.189,2005,R
378,377.,Tim Raines+ (27),2.189,1987,R
379,377.,Al Woods (23),2.189,1977,L
380,381.,Geoff Jenkins (26),2.187,2001,R
381,381.,B.J. Surhoff (35),2.187,2000,R
382,383.,Garret Anderson (24),2.186,1996,L
383,383.,Gus Zernial (31),2.186,1954,R
384,385.,Doug Glanville (26),2.185,1997,R
385,386.,Glenn Braggs (26),2.184,1989,R
386,386.,Rajai Davis (33),2.184,2014,R
387,386.,Adam Duvall (29),2.184,2018,R
388,386.,Kevin Reimer (28),2.184,1992,R
