,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
150,151.,Gus Zernial (32),2.350,1955,R
151,152.,Stan Musial+ (30),2.349,1951,L
152,153.,Steve Kemp (26),2.348,1981,L
153,154.,Garret Anderson (31),2.347,2003,L
154,154.,Albert Belle (26),2.347,1993,R
155,156.,Pat Duncan (27),2.346,1921,R
156,156.,Ben Oglivie (33),2.346,1982,L
157,158.,Goose Goslin+ (21),2.345,1922,R
158,158.,Johnny Mokan (27),2.345,1923,R
159,158.,Al Smith (31),2.345,1959,R
160,161.,Joe Medwick+ (32),2.344,1944,R
161,162.,Ray Blades (28),2.342,1925,R
162,163.,Carl Crawford (23),2.340,2005,L
163,163.,Hersh Martin (35),2.340,1945,R
164,165.,Al Simmons+ (29),2.339,1931,R
165,165.,Gary Ward (28),2.339,1982,R
166,167.,Eric Tipton (30),2.337,1945,R
167,168.,Roy White (32),2.336,1976,R
168,169.,George Burns (31),2.333,1921,R
169,169.,Del Ennis (21),2.333,1946,R
170,169.,Shane Mack (30),2.333,1994,R
171,169.,Matty McIntyre (25),2.333,1905,L
172,169.,Jimmy Sheckard (32),2.333,1911,R
173,169.,Gary Ward (32),2.333,1986,R
174,175.,Bobby Higginson (30),2.331,2001,R
175,176.,Tom Paciorek (34),2.329,1981,R
176,176.,Zack Wheat+ (28),2.329,1916,R
177,178.,Bibb Falk (25),2.328,1924,L
178,178.,Bobby Veach (30),2.328,1918,R
179,180.,Tony Phillips (35),2.327,1994,R
180,180.,Zack Wheat+ (29),2.327,1917,R
181,182.,Heinie Manush+ (26),2.325,1928,L
182,183.,Morrie Arnovich (27),2.323,1938,R
183,183.,Monte Irvin+ (37),2.323,1956,R
184,183.,Sherry Magee (20),2.323,1905,R
185,186.,Eddie Brown (35),2.320,1927,R
186,187.,Warren Cromartie (24),2.319,1978,L
187,187.,Sherry Magee (32),2.319,1917,R
188,189.,Marty Cordova (26),2.317,1996,R
189,190.,Barry Bonds (25),2.315,1990,L
190,190.,Bob Johnson (31),2.315,1937,R
191,192.,Hoot Evers (28),2.313,1949,R
192,193.,Roy White (31),2.311,1975,R
193,194.,Bob Fothergill (29),2.309,1927,R
194,194.,Greg Vaughn (27),2.309,1993,R
195,196.,Eddie Brown (34),2.308,1926,R
196,197.,Rocky Colavito (28),2.306,1962,R
197,197.,Rickey Henderson+ (30),2.306,1989,L
198,199.,Bill Lamar (28),2.305,1925,R
199,199.,Whitey Lockman (22),2.305,1949,R
200,199.,Mike McCormick (24),2.305,1941,R
201,202.,Barney McCosky (30),2.304,1947,R
202,202.,Bing Miller (28),2.304,1923,R
203,204.,Dale Mitchell (27),2.302,1949,L
204,205.,Jimmy Sheckard (31),2.301,1910,R
205,205.,Roy Sievers (27),2.301,1954,R
206,207.,George Burns (23),2.299,1913,R
207,207.,George Jackson (30),2.299,1912,R
208,209.,Matty McIntyre (24),2.298,1904,L
209,209.,Matty McIntyre (28),2.298,1908,L
210,209.,Hank Sauer (34),2.298,1951,R
211,212.,Danny Litwhiler (24),2.297,1941,R
212,213.,Carmelo Martinez (23),2.296,1984,R
213,214.,Ray Blades (29),2.295,1926,R
214,215.,Jack Graney (28),2.294,1914,L
215,215.,Jim Greengrass (25),2.294,1953,R
216,215.,Hal Lee (27),2.294,1932,R
217,218.,Mel Hall (31),2.293,1992,L
218,218.,Duffy Lewis (29),2.293,1917,R
219,220.,Albert Belle (30),2.292,1997,R
220,220.,Rube Bressler (32),2.292,1927,L
221,220.,Mickey Hatcher (30),2.292,1985,R
222,223.,Jose Cruz (33),2.289,1981,L
223,223.,Bing Miller (26),2.289,1921,R
224,225.,Rickey Henderson+ (35),2.288,1994,L
225,225.,Bob Johnson (28),2.288,1934,R
226,225.,Alex Metzler (26),2.288,1929,R
227,225.,Red Schoendienst+ (22),2.288,1945,R
228,229.,Bob Cerv (33),2.287,1958,R
229,229.,Carl Crawford (22),2.287,2004,L
230,231.,George Burns (30),2.286,1920,R
231,231.,Hal Lee (30),2.286,1935,R
232,233.,Sid Gordon (32),2.285,1950,R
233,234.,Hersh Martin (34),2.282,1944,R
234,235.,Warren Cromartie (25),2.279,1979,L
235,236.,Bob Bescher (25),2.278,1909,L
236,236.,Marty Cordova (28),2.278,1998,R
237,236.,Jeff Heath (25),2.278,1940,R
238,236.,Jim Rice+ (28),2.278,1981,R
239,240.,Larry Herndon (27),2.277,1981,R
240,241.,Joe Adcock (24),2.276,1952,R
241,242.,Gary Ward (27),2.274,1981,R
242,243.,Beals Becker (27),2.273,1914,L
243,243.,Pat Duncan (26),2.273,1920,R
244,245.,Rusty Greer (27),2.272,1996,L
245,246.,Dale Mitchell (26),2.271,1948,L
246,246.,Roy White (33),2.271,1977,R
247,248.,Walton Cruise (31),2.270,1921,R
248,248.,Gus Zernial (27),2.270,1950,R
249,248.,Gus Zernial (30),2.270,1953,R
