,Rank,Player (age that year),Win Probability Added (WPA),Year,Bats
361,362.,Jeff Bagwell+ (31),5.53,1999,R
362,362.,George Brett+ (32),5.53,1985,L
363,364.,Hank Aaron+ (36),5.52,1970,R
364,364.,Don Buford (33),5.52,1970,B
365,364.,Jose Canseco (23),5.52,1988,R
366,364.,Steve Garvey (26),5.52,1975,R
367,364.,Rickey Henderson+ (31),5.52,1990,R
368,364.,Eddie Mathews+ (25),5.52,1957,L
369,364.,Rafael Palmeiro (34),5.52,1999,L
370,371.,Harmon Killebrew+ (26),5.51,1962,R
371,371.,Hack Wilson+ (29),5.51,1929,R
372,373.,Tommy Henrich (34),5.50,1947,L
373,373.,Chuck Klein+ (25),5.50,1930,L
374,373.,Frank Robinson+ (25),5.50,1961,R
375,376.,Ripper Collins (30),5.49,1934,B
376,376.,Larry Doby+ (30),5.49,1954,L
377,376.,Harmon Killebrew+ (34),5.49,1970,R
378,379.,Roberto Alomar+ (31),5.48,1999,B
379,379.,Wally Berger (27),5.48,1933,R
380,379.,Lance Berkman (26),5.48,2002,B
381,382.,Jim Edmonds (30),5.47,2000,L
382,382.,Ralph Kiner+ (28),5.47,1951,R
383,382.,Stan Musial+ (32),5.47,1953,L
384,382.,Ryne Sandberg+ (32),5.47,1992,R
385,382.,Roy White (27),5.47,1971,B
386,387.,Leon Durham (24),5.46,1982,L
387,387.,Todd Helton (27),5.46,2001,L
388,387.,Keith Hernandez (25),5.46,1979,L
389,387.,Mickey Mantle+ (22),5.46,1954,B
390,387.,Denis Menke (29),5.46,1970,R
391,387.,Larry Walker+ (32),5.46,1999,L
392,393.,Joe Cunningham (27),5.45,1959,L
393,393.,Fred Lynn (27),5.45,1979,L
394,395.,Tommy Henrich (36),5.44,1949,L
395,395.,Charlie Keller (24),5.44,1941,L
396,395.,Eddie Murray+ (26),5.44,1982,B
397,398.,Jimmie Foxx+ (32),5.43,1940,R
398,398.,Rickey Henderson+ (33),5.43,1992,R
399,398.,Stan Musial+ (36),5.43,1957,L
400,401.,Roberto Clemente+ (34),5.42,1969,R
401,401.,Steve Garvey (29),5.42,1978,R
402,401.,Rogers Hornsby+ (33),5.42,1929,R
403,401.,J.D. Martinez (30),5.42,2018,R
404,405.,Bobby Bonds (24),5.41,1970,R
405,405.,Darren Daulton (31),5.41,1993,L
406,407.,Ray Boone (29),5.40,1953,R
407,407.,Jim Thome+ (30),5.40,2001,L
408,409.,Craig Biggio+ (31),5.39,1997,R
409,409.,Mark McGwire (32),5.39,1996,R
410,409.,Gary Sheffield (33),5.39,2002,R
411,412.,Mel Ott+ (26),5.38,1935,L
412,412.,Tim Raines+ (27),5.38,1987,B
413,414.,Shin-Soo Choo (30),5.37,2013,L
414,414.,Mark Grace (35),5.37,1999,L
415,414.,Carl Yastrzemski+ (28),5.37,1968,L
416,417.,Bernie Williams (33),5.36,2002,B
417,418.,Jeff Bagwell+ (33),5.35,2001,R
418,418.,Gregg Jefferies (25),5.35,1993,B
419,418.,Willie Jones (30),5.35,1956,R
420,418.,Willie McCovey+ (29),5.35,1967,L
421,422.,Carlos Beltran (29),5.34,2006,B
422,422.,Eric Davis (25),5.34,1987,R
423,422.,Johnny Mize+ (25),5.34,1938,L
424,422.,Albert Pujols (30),5.34,2010,R
425,426.,Bob Meusel (28),5.33,1925,R
426,427.,Matt Carpenter (29),5.32,2015,L
427,427.,Bill Terry+ (35),5.32,1934,L
428,429.,Von Hayes (30),5.31,1989,L
429,430.,Dave Parker (28),5.30,1979,L
430,431.,Augie Galan (31),5.29,1943,B
