,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
484,484.,John Hiller (30),3.50,1973,L
485,484.,Charlie Hough (37),3.50,1985,R
486,484.,Ted Lyons+ (29),3.50,1930,R
487,484.,Mike Mussina+ (34),3.50,2003,R
488,484.,Gaylord Perry+ (31),3.50,1970,R
489,484.,Billy Pierce (30),3.50,1957,L
490,484.,George Uhle (27),3.50,1926,R
491,492.,Bert Blyleven+ (34),3.49,1985,R
492,492.,Dean Chance (27),3.49,1968,R
493,492.,Cole Hamels (27),3.49,2011,L
494,492.,Hoyt Wilhelm+ (42),3.49,1965,R
495,496.,Doyle Alexander (36),3.48,1987,R
496,496.,Murry Dickson (30),3.48,1947,R
497,496.,Lefty Grove+ (39),3.48,1939,L
498,496.,Claude Osteen (29),3.48,1969,L
499,496.,Urban Shocker (31),3.48,1922,R
