,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
211,211.,Sam McDowell (25),2.248,1968,L
212,211.,Earl Moore (26),2.248,1904,R
213,211.,Eddie Plank+ (28),2.248,1904,L
214,211.,Hippo Vaughn (30),2.248,1918,L
215,216.,Roger Clemens (34),2.249,1997,R
216,217.,Al Orth (33),2.253,1906,R
217,218.,Nick Altrock (30),2.255,1907,L
218,219.,Tully Sparks (32),2.256,1907,R
219,219.,Jesse Tannehill (27),2.256,1902,L
220,219.,Hooks Wiltse (26),2.256,1906,L
221,222.,Charlie Buffinton (27),2.257,1888,R
222,223.,Greg Maddux+ (29),2.259,1995,R
223,224.,Pete Alexander+ (27),2.260,1914,R
224,225.,Guy Morton (25),2.264,1918,R
225,225.,John Ward+ (18),2.264,1878,R
226,227.,Jacob deGrom (32),2.265,2020,R
227,228.,Doc Ayers (23),2.267,1914,R
228,229.,Sonny Siebert (28),2.268,1965,R
229,229.,Hippo Vaughn (28),2.268,1916,L
230,231.,Howie Camnitz (25),2.269,1907,R
231,232.,Gaylord Perry+ (27),2.272,1966,R
232,232.,Pat Ragan (32),2.272,1916,R
233,232.,Sam Weaver (22),2.272,1878,R
234,232.,Doc White (31),2.272,1910,L
235,236.,Mike Cuellar (29),2.273,1966,L
236,237.,Guy Hecker (26),2.274,1882,R
237,238.,Ed Siever (32),2.275,1907,L
238,239.,Tully Sparks (33),2.276,1908,R
239,240.,Eddie Plank+ (29),2.279,1905,L
240,241.,Rube Waddell+ (25),2.280,1902,L
241,242.,Bob Black (21),2.282,1884,R
242,243.,Howie Camnitz (28),2.283,1910,R
243,243.,Reb Russell (28),2.283,1917,L
244,245.,Nap Rucker (24),2.285,1909,L
245,245.,Nolan Ryan+ (34),2.285,1981,R
246,247.,Roy Patterson (27),2.286,1904,R
247,247.,Noah Syndergaard (23),2.286,2016,R
248,249.,Claude Hendrix (25),2.288,1914,R
249,249.,Vic Willis+ (32),2.288,1908,R
250,251.,Bob Gibson+ (34),2.289,1970,R
251,251.,Hooks Wiltse (28),2.289,1908,L
252,253.,Jim Whitney (25),2.291,1883,R
253,254.,Sam McDowell (26),2.292,1969,L
254,254.,Gaylord Perry+ (29),2.292,1968,R
255,256.,Wilbur Cooper (26),2.293,1918,L
256,256.,George Mullin (28),2.293,1909,R
257,256.,Jim Whitney (24),2.293,1882,R
258,259.,Bert Gallia (23),2.294,1915,R
259,259.,Ed Summers (23),2.294,1908,R
260,261.,Spud Chandler (35),2.295,1943,R
261,261.,Willie Mitchell (25),2.295,1915,L
262,261.,Bugs Raymond (26),2.295,1908,R
263,261.,Bill Singer (24),2.295,1968,R
264,265.,Bob Gibson+ (33),2.296,1969,R
265,266.,Jack Chesbro+ (32),2.297,1906,R
266,266.,Frank Corridon (26),2.297,1907,R
267,268.,Frank Arellanes (27),2.299,1909,R
268,269.,Randy Johnson+ (40),2.300,2004,L
269,270.,Jose Fernandez (23),2.301,2016,R
270,270.,Chris Short (26),2.301,1964,L
271,272.,Eddie Cicotte (31),2.302,1915,R
