,Rank,Player (age that year),At Bats,Year,Bats
291,281.,Jack Rothrock (29),647,1934,B
292,281.,Alfonso Soriano (30),647,2006,R
293,281.,Ichiro Suzuki (28),647,2002,L
294,281.,Garry Templeton (22),647,1978,B
295,296.,Craig Biggio+ (32),646,1998,R
296,296.,Starlin Castro (22),646,2012,R
297,296.,Al Dark (29),646,1951,R
298,296.,Augie Galan (23),646,1935,B
299,296.,Steve Garvey (28),646,1977,R
300,296.,Adrian Gonzalez (25),646,2007,L
301,296.,Tommy Harper (24),646,1965,R
302,296.,Willie Horton (36),646,1979,R
303,296.,Freddie Lindstrom+ (22),646,1928,R
304,296.,Herman Long (26),646,1892,L
305,296.,Tom Oliver (27),646,1930,R
306,296.,Sam Rice+ (34),646,1924,L
307,296.,Cal Ripken Jr.+ (28),646,1989,R
308,296.,Chuck Schilling (23),646,1961,R
309,296.,Carl Yastrzemski+ (22),646,1962,L
310,311.,Ethan Allen (31),645,1935,R
311,311.,George Brett+ (23),645,1976,L
312,311.,George Brett+ (26),645,1979,L
313,311.,Jimmy Brown (29),645,1939,B
314,311.,Al Bumbry (33),645,1980,L
315,311.,Vinny Castilla (30),645,1998,R
316,311.,Omar Moreno (29),645,1982,L
317,311.,Pete Rose (31),645,1972,B
318,311.,Billy Williams+ (26),645,1964,L
319,311.,Billy Williams+ (27),645,1965,L
320,311.,Delmon Young (21),645,2007,R
321,311.,Michael Young (31),645,2008,R
322,323.,Charlie Blackmon (30),644,2017,L
323,323.,Rick Burleson (29),644,1980,R
324,323.,Doc Cramer (29),644,1935,L
325,323.,Carl Crawford (23),644,2005,L
326,323.,Johnny Damon (27),644,2001,L
327,323.,Al Dark (32),644,1954,R
328,323.,Bob Dillinger (29),644,1948,R
329,323.,Joe Dugan (26),644,1923,R
330,323.,Billy Gardner (29),644,1957,R
331,323.,Charlie Jamieson (30),644,1923,L
332,323.,Derek Jeter+ (28),644,2002,R
333,323.,Adam Jones (28),644,2014,R
334,323.,Lyn Lary (31),644,1937,R
335,323.,Jose Lopez (24),644,2008,R
