,Rank,Player (age that year),Losses,Year,Throws
533,483.,Chick Fraser (23),19,1897,R
534,483.,Larry French (30),19,1938,L
535,483.,Bob Friend (28),19,1959,R
536,483.,Bob Friend (30),19,1961,R
537,483.,Sam Frock (27),19,1910,R
538,483.,Wayne Garland (26),19,1977,R
539,483.,Milt Gaston (33),19,1929,R
540,483.,Milt Gaston (38),19,1934,R
541,483.,Hank Gastright (26),19,1891,R
542,483.,Joe Genewich (27),19,1924,R
543,483.,Al Gerheauser (26),19,1943,L
544,483.,Fred Goldsmith (27),19,1883,R
545,483.,Dolly Gray (30),19,1909,L
546,483.,Dolly Gray (31),19,1910,L
547,483.,Bill Greif (24),19,1974,R
548,483.,Burleigh Grimes+ (31),19,1925,R
549,483.,Bob Groom (32),19,1917,R
550,483.,Ad Gumbert (24),19,1892,R
551,483.,Warren Hacker (28),19,1953,R
552,483.,George Haddock (22),19,1889,R
553,483.,Noodles Hahn (22),19,1901,L
554,483.,Jesse Haines+ (30),19,1924,R
555,483.,George Hemming (25),19,1894,R
556,483.,Hardie Henderson (23),19,1886,R
557,483.,Kirby Higbe (25),19,1940,R
558,483.,Chief Hogsett (33),19,1937,L
559,483.,Jay Hook (25),19,1962,R
560,483.,Bill Hutchison (31),19,1891,R
561,483.,Elmer Jacobs (24),19,1917,R
562,483.,Al Javery (26),19,1944,R
563,483.,Si Johnson (24),19,1931,R
564,483.,Si Johnson (35),19,1942,R
565,483.,Bobby Jones (31),19,2001,R
566,483.,Cowboy Jones (25),19,1900,L
567,483.,George Kahler (22),19,1912,R
568,483.,Ed Karger (23),19,1906,L
569,483.,Ed Karger (24),19,1907,L
570,483.,Tim Keefe+ (30),19,1887,R
571,483.,Ted Kennedy (21),19,1886,R
572,483.,Matt Kilroy (21),19,1887,L
573,483.,Dave Koslo (26),19,1946,L
574,483.,Gene Krapp (28),19,1915,R
575,483.,Lerrin LaGrow (25),19,1974,R
576,483.,Wayne LaMaster (30),19,1937,L
577,483.,Rick Langford (25),19,1977,R
578,483.,Tim Leary (31),19,1990,R
579,483.,Dutch Leonard (31),19,1940,R
580,483.,Mickey Lolich (29),19,1970,L
581,483.,Albie Lopez (29),19,2001,R
582,483.,Tom Lovett (27),19,1891,R
583,483.,Dolf Luque (30),19,1921,R
584,483.,Art Mahaffey (23),19,1961,R
