,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
242,243.,Terry Larkin (28),6.100,1884,R
243,244.,Bobby Grich (26),6.099,1975,R
244,244.,Billy Herman+ (28),6.099,1938,R
245,246.,Johnny Evers+ (31),6.098,1913,R
246,246.,Al Myers (25),6.098,1889,R
247,248.,Bob Ferguson (37),6.096,1882,R
248,249.,John Ward+ (33),6.095,1893,R
249,250.,Lenny Harris (27),6.089,1992,R
250,251.,Lou Whitaker (21),6.086,1978,R
251,252.,George Grantham (24),6.084,1924,R
252,253.,Rabbit Maranville+ (40),6.081,1932,R
253,254.,Cupid Childs (26),6.080,1894,R
254,254.,Ted Sizemore (34),6.080,1979,R
255,256.,George Grantham (23),6.077,1923,R
256,256.,Bobby Lowe (36),6.077,1902,R
257,258.,Cub Stricker (32),6.076,1891,R
258,259.,Irv Hall (26),6.075,1945,R
259,259.,Marty McManus (24),6.075,1924,R
260,259.,Yank Robinson (27),6.075,1887,R
261,262.,Johnny Evers+ (22),6.074,1904,R
262,262.,Jack Glasscock (21),6.074,1879,R
263,262.,Don Heffner (29),6.074,1940,R
264,265.,Bobby Doerr+ (31),6.073,1949,R
265,265.,Bill Wambsganss (29),6.073,1923,R
266,267.,John Kerr (32),6.070,1931,R
267,267.,Ski Melillo (26),6.070,1926,R
268,269.,Eddie Collins+ (33),6.066,1920,R
269,270.,Dan Shannon (24),6.064,1889,
270,271.,Manny Trillo (30),6.060,1981,R
271,272.,Lou Bierbauer (25),6.059,1891,R
272,273.,Elias Peak (25),6.057,1884,
273,274.,Joe Gordon+ (31),6.055,1946,R
274,275.,Luke Boone (24),6.053,1914,R
275,276.,Billy Herman+ (25),6.052,1935,R
276,277.,Bobby Grich (32),6.050,1981,R
277,278.,Joe Gordon+ (23),6.049,1938,R
278,279.,Cass Michaels (24),6.046,1950,R
279,280.,Hod Ford (23),6.045,1921,R
280,281.,Bob Ferguson (36),6.043,1881,R
281,282.,Whitey Alpermann (27),6.042,1907,R
282,283.,Billy Hitchcock (33),6.041,1950,R
283,284.,Billy Herman+ (30),6.040,1940,R
284,284.,Reddy Mack (21),6.040,1887,
285,286.,George Creamer (25),6.039,1880,R
286,287.,Bobby Lowe (32),6.038,1898,R
287,288.,Max Bishop (24),6.035,1924,R
288,288.,Miller Huggins+ (27),6.035,1905,R
289,288.,Al Myers (22),6.035,1886,R
290,288.,Pop Smith (30),6.035,1887,R
291,292.,Dick Padden (26),6.034,1897,R
