,Rank,Player (age that year),Errors Committed as RF (s.1901),Year,Throws
365,306.,Reggie Jackson+ (27),9,1973,L
366,306.,Reggie Jackson+ (30),9,1976,L
367,306.,Charlie Jamieson (24),9,1917,L
368,306.,Al Kaline+ (19),9,1954,R
369,306.,Bevo LeBourveau (24),9,1921,R
370,306.,Buddy Lewis (23),9,1940,R
371,306.,Buddy Lewis (29),9,1946,R
372,306.,Buddy Lewis (30),9,1947,R
373,306.,Bris Lord (28),9,1912,R
374,306.,Sherry Magee (19),9,1904,R
375,306.,Tex McDonald (23),9,1914,R
376,306.,Paul Meloan (22),9,1911,R
377,306.,Irish Meusel (28),9,1921,R
378,306.,Mike Mitchell (28),9,1908,R
379,306.,Mike Mitchell (31),9,1911,R
380,306.,Danny Moeller (27),9,1912,R
381,306.,Herbie Moran (30),9,1914,R
382,306.,Wally Moses (24),9,1935,L
383,306.,Red Murray (24),9,1908,R
384,306.,Red Murray (29),9,1913,R
385,306.,Bill Nicholson (25),9,1940,R
386,306.,Bill Nicholson (26),9,1941,R
387,306.,Fred Nicholson (27),9,1922,R
388,306.,Melvin Nieves (24),9,1996,R
389,306.,Mel Ott+ (32),9,1941,R
390,306.,Dave Parker (24),9,1975,R
391,306.,Dave Parker (29),9,1980,R
392,306.,Dave Parker (35),9,1986,R
393,306.,Hosken Powell (25),9,1980,L
394,306.,Manny Ramirez (24),9,1996,R
395,306.,Hunter Renfroe (25),9,2017,R
396,306.,Sam Rice+ (35),9,1925,R
397,306.,Sam Rice+ (39),9,1929,R
398,306.,Lance Richbourg (32),9,1930,R
399,306.,Jack Rothrock (29),9,1934,R
400,306.,Babe Ruth+ (25),9,1920,L
401,306.,Frank Schulte (30),9,1913,R
402,306.,Joe Schultz (26),9,1920,R
403,306.,Jimmy Sebring (23),9,1905,R
404,306.,Ruben Sierra (23),9,1989,R
405,306.,Ruben Sierra (28),9,1994,R
406,306.,Al Smith (32),9,1960,R
407,306.,Cory Snyder (24),9,1987,R
408,306.,Sammy Sosa (29),9,1998,R
409,306.,Casey Stengel+ (26),9,1917,L
410,306.,Casey Stengel+ (28),9,1919,L
411,306.,Darryl Strawberry (26),9,1988,L
412,306.,Homer Summa (27),9,1926,R
413,306.,Ron Swoboda (23),9,1967,R
414,306.,John Titus (32),9,1908,L
415,306.,John Titus (37),9,1913,L
416,306.,Jack Tobin (22),9,1914,L
417,306.,Jim Tyrone (28),9,1977,R
418,306.,Dixie Walker (32),9,1943,R
419,306.,Dixie Walker (33),9,1944,R
420,306.,Paul Waner+ (28),9,1931,L
421,306.,Paul Waner+ (34),9,1937,L
422,306.,Frank Welch (25),9,1923,R
423,306.,Mark Whiten (26),9,1993,R
424,306.,Mark Whiten (27),9,1994,R
425,306.,Mark Whiten (29),9,1996,R
426,306.,Dave Winfield+ (23),9,1975,R
427,306.,Ken Wood (25),9,1950,R
428,429.,Hank Aaron+ (21),8,1955,R
429,429.,Bobby Abreu (24),8,1998,R
430,429.,Bobby Abreu (27),8,2001,R
431,429.,Bobby Abreu (35),8,2009,R
432,429.,Bob Allison (26),8,1961,R
433,429.,Jesse Barfield (23),8,1983,R
434,429.,Jesse Barfield (30),8,1990,R
435,429.,Hank Bauer (33),8,1956,R
436,429.,Beau Bell (28),8,1936,R
437,429.,Derek Bell (26),8,1995,R
438,429.,Derek Bell (29),8,1998,R
439,429.,Dante Bichette (36),8,2000,R
440,429.,Casey Blake (31),8,2005,R
441,429.,Bobby Bonds (24),8,1970,R
442,429.,Buzz Boyle (26),8,1934,L
443,429.,Lou Brock+ (24),8,1963,L
444,429.,Bruce Campbell (28),8,1938,R
445,429.,Roy Carlyle (25),8,1926,R
446,429.,Joe Carter (32),8,1992,R
447,429.,Gino Cimoli (32),8,1962,R
448,429.,Jack Clark (24),8,1980,R
449,429.,Roberto Clemente+ (25),8,1960,R
450,429.,Roberto Clemente+ (27),8,1962,R
451,429.,Otis Clymer (32),8,1908,R
452,429.,Rocky Colavito (30),8,1964,R
453,429.,Shano Collins (36),8,1922,R
454,429.,Doc Cook (28),8,1914,R
455,429.,Dick Cox (30),8,1926,R
456,429.,Sam Crawford+ (33),8,1913,L
457,429.,Willie Crawford (27),8,1974,L
458,429.,Jose Cruz (30),8,1978,L
459,429.,Kiki Cuyler+ (30),8,1929,R
460,429.,Bobby Darwin (31),8,1974,R
461,429.,Chili Davis (26),8,1986,R
462,429.,Andre Dawson+ (29),8,1984,R
463,429.,Rob Deer (29),8,1990,R
464,429.,Patsy Donovan (39),8,1904,L
465,429.,Jermaine Dye (31),8,2005,R
466,429.,Juan Encarnacion (31),8,2007,R
467,429.,Steve Evans (25),8,1910,L
468,429.,Steve Evans (26),8,1911,L
469,429.,Lou Finney (24),8,1935,R
470,429.,Max Flack (30),8,1920,L
471,429.,Ira Flagstead (25),8,1919,R
472,429.,Elmer Flick+ (31),8,1907,R
473,429.,Dan Ford (25),8,1977,R
474,429.,Dan Ford (29),8,1981,R
475,429.,Carl Furillo (28),8,1950,R
476,429.,Ival Goodman (27),8,1936,R
477,429.,Ival Goodman (31),8,1940,R
478,429.,Ken Griffey Jr.+ (37),8,2007,L
479,429.,Tommy Griffith (23),8,1913,R
480,429.,Tommy Griffith (34),8,1924,R
481,429.,Jose Guillen (27),8,2003,R
482,429.,Jose Guillen (31),8,2007,R
483,429.,Chick Hafey+ (22),8,1925,R
484,429.,Josh Hamilton (32),8,2013,L
485,429.,Mitch Haniger (27),8,2018,R
486,429.,George Harper (35),8,1927,R
487,429.,Roy Hartzell (26),8,1908,R
488,429.,Harry Heilmann+ (32),8,1927,R
489,429.,Tim Hendryx (26),8,1917,R
490,429.,Jeremy Hermida (22),8,2006,R
491,429.,Bill Hinchman (32),8,1915,R
492,429.,Bill Hinchman (33),8,1916,R
493,429.,Harry Hooper+ (27),8,1915,R
494,429.,Harry Hooper+ (29),8,1917,R
495,429.,Harry Hooper+ (37),8,1925,R
496,429.,Frank Howard (26),8,1963,R
497,429.,Pat Hynes (20),8,1904,L
498,429.,Reggie Jackson+ (24),8,1970,L
499,429.,Smead Jolley (28),8,1930,R
