,Rank,Player (age that year),Games Started,Year,Throws
488,479.,Jim Bunning+ (32),39,1964,R
489,479.,Jim Bunning+ (33),39,1965,R
490,479.,Lew Burdette (32),39,1959,R
491,479.,Ray Burris (26),39,1977,R
492,479.,Steve Carlton+ (29),39,1974,L
493,479.,Bob Caruthers (23),39,1887,R
494,479.,Dean Chance (26),39,1967,R
495,479.,Dean Chance (27),39,1968,R
496,479.,Watty Clark (27),39,1929,L
497,479.,Joe Coleman (25),39,1972,R
498,479.,Larry Corcoran (22),39,1882,R
499,479.,Harry Coveleski (30),39,1916,L
500,479.,General Crowder (33),39,1932,R
501,479.,Mike Cuellar (32),39,1969,L
502,479.,Hooks Dauss (33),39,1923,R
503,479.,Dave Davenport (27),39,1917,R
504,479.,George Derby (24),39,1882,R
505,479.,Pat Dobson (32),39,1974,R
506,479.,Frank Dwyer (26),39,1894,R
507,479.,George Earnshaw (30),39,1930,R
508,479.,Howard Ehmke (29),39,1923,R
509,479.,Sammy Ellis (24),39,1965,R
510,479.,John Ewing (26),39,1889,R
511,479.,Red Faber+ (31),39,1920,R
512,479.,Red Faber+ (32),39,1921,R
513,479.,Whitey Ford+ (32),39,1961,L
514,479.,Fred Goldsmith (25),39,1881,R
515,479.,Dave Goltz (28),39,1977,R
516,479.,Mudcat Grant (29),39,1965,R
517,479.,Ross Grimsley (24),39,1974,L
518,479.,Pink Hawley (24),39,1897,R
519,479.,Kirby Higbe (26),39,1941,R
520,479.,Bill Hill (21),39,1896,L
521,479.,Ken Holtzman (23),39,1969,L
522,479.,Catfish Hunter+ (29),39,1975,R
523,479.,Larry Jackson (34),39,1965,R
524,479.,Fergie Jenkins+ (27),39,1970,R
525,479.,Fergie Jenkins+ (28),39,1971,R
526,479.,Walter Johnson+ (27),39,1915,R
527,479.,Randy Jones (29),39,1979,L
528,479.,Jim Kaat (35),39,1974,L
529,479.,Brickyard Kennedy (30),39,1898,R
530,479.,Frank Killen (27),39,1898,L
531,479.,Ron Kline (24),39,1956,R
532,479.,Gus Krock (22),39,1888,R
533,479.,Sam Leever (27),39,1899,R
534,479.,Mickey Lolich (29),39,1970,L
535,479.,Jim Lonborg (25),39,1967,R
536,479.,Jim Lonborg (32),39,1974,R
537,479.,Art Mahaffey (24),39,1962,R
538,479.,Rick Mahler (31),39,1985,R
539,479.,Rick Mahler (32),39,1986,R
540,479.,Dennis Martinez (25),39,1979,R
541,479.,Dennis Martinez (28),39,1982,R
542,479.,Sam McDowell (27),39,1970,L
543,479.,Joe McGinnity+ (31),39,1902,R
544,479.,Stoney McGlynn (35),39,1907,R
545,479.,Doc McJames (22),39,1897,R
546,479.,Win Mercer (20),39,1894,R
547,479.,Andy Messersmith (28),39,1974,R
548,479.,Carl Morton (31),39,1975,R
549,479.,Tony Mullane (34),39,1893,R
550,479.,Tricky Nichols (26),39,1877,R
551,479.,Phil Niekro+ (35),39,1974,R
552,479.,Billy O'Dell (29),39,1962,L
553,479.,Al Orth (33),39,1906,R
554,479.,Claude Osteen (27),39,1967,L
555,479.,Orval Overall (24),39,1905,R
556,479.,Jim Palmer+ (24),39,1970,R
557,479.,Jim Palmer+ (31),39,1977,R
558,479.,Casey Patten (30),39,1904,L
559,479.,Gaylord Perry+ (30),39,1969,R
560,479.,Jim Perry (35),39,1971,R
561,479.,Togie Pittinger (31),39,1903,R
562,479.,Jack Powell (27),39,1902,R
563,479.,J.R. Richard (26),39,1976,R
564,479.,Robin Roberts+ (23),39,1950,R
565,479.,Robin Roberts+ (24),39,1951,R
566,479.,Nap Rucker (25),39,1910,L
567,479.,Nolan Ryan+ (25),39,1972,R
568,479.,Nolan Ryan+ (26),39,1973,R
569,479.,Nolan Ryan+ (29),39,1976,R
570,479.,Johnny Sain (30),39,1948,R
571,479.,Ben Sanders (24),39,1889,R
572,479.,Chris Short (28),39,1966,L
573,479.,Warren Spahn+ (29),39,1950,L
574,479.,Jack Stivetts (26),39,1894,R
575,479.,Mel Stottlemyre (27),39,1969,R
576,479.,Jack Taylor (25),39,1899,R
577,479.,Jack Taylor (30),39,1904,R
578,479.,Adonis Terry (24),39,1889,R
579,479.,Ralph Terry (26),39,1962,R
580,479.,Jeff Tesreau (27),39,1915,R
581,479.,Mike Torrez (29),39,1976,R
582,479.,Jake Weimer (32),39,1906,L
583,479.,Jim Whitney (30),39,1888,R
584,479.,Clyde Wright (29),39,1970,L
